new,host,a,cname,soa,status_code,aaaa,cdn,cdn-name,mx,txt,ns,has_internal_ips,internal_ips,caa
[x],upload-43-0-0.twitter.com,104.244.42.3,,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
[x],vevo.twitter.com,"104.244.42.3, 104.244.42.195, 104.244.42.131, 104.244.42.67",s.twitter.com,"a.u06.twtrdns.net, noc\@twitter.com, noc.twitter.com",NOERROR,,,,,,,,,
[x],vidman-eu-west-3.periscope.tv,"35.180.206.75, 15.188.108.3",,"ns-599.awsdns-10.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,"ns-1323.awsdns-37.org, ns-1733.awsdns-24.co.uk, ns-506.awsdns-63.com, ns-599.awsdns-10.net",,,
,10pic.twitter.com,54.144.128.85,,,NOERROR,,,,,,,,,
,2010.twitter.com,"104.244.42.67, 104.244.42.131, 104.244.42.195, 104.244.42.3",s.twitter.com,"a.u06.twtrdns.net, noc\@twitter.com, noc.twitter.com",NOERROR,,,,,,,,,
,2014.twitter.com,"104.244.42.67, 104.244.42.3, 104.244.42.195, 104.244.42.131",s.twitter.com,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
,21savage.twitter.com,"104.244.42.131, 104.244.42.67, 104.244.42.195, 104.244.42.3",s.twitter.com,"a.u06.twtrdns.net, noc.twitter.com",NOERROR,,,,,,,,,
,2chainz.twitter.com,"104.244.42.67, 104.244.42.3, 104.244.42.195, 104.244.42.131",s.twitter.com,"a.u06.twtrdns.net, noc\@twitter.com, noc.twitter.com",NOERROR,,,,,,,,,
,a.pscp.tv,"54.149.206.25, 52.40.210.172, 35.167.34.31",public-api.periscope.tv,"ns-599.awsdns-10.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,a.r10.mopub.com,205.251.196.20,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,,,
,aa.twitter.com,"104.244.42.195, 104.244.42.131, 104.244.42.67, 104.244.42.3",s.twitter.com,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
,about-dev.twitter.com,"104.244.42.195, 104.244.42.3, 104.244.42.131, 104.244.42.67",s.twitter.com,"a.u06.twtrdns.net, noc\@twitter.com, noc.twitter.com",NOERROR,,,,,,,,,
,about-staging.twitter.com,104.244.42.67,s.twitter.com,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
,about.twitter.com,"104.244.42.67, 104.244.42.131, 104.244.42.195, 104.244.42.3",s.twitter.com,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
,abs-0.twimg.com,104.244.43.131,abs-zero.twimg.com,"a.u06.twtrdns.net, noc\@twitter.com",NOERROR,,,,,,,,,
,abs-ak.twimg.com,151.101.44.159,"wildcard.twimg.com, twimg.twitter.map.fastly.net","ns1.fastly.net, hostmaster.fastly.com",NOERROR,,True,fastly,,,,,,
,abs-ec.twimg.com,152.199.21.141,cs510.wpc.edgecastcdn.net,"ns1.edgecastcdn.net, noc.edgecast.com",NOERROR,2606:2800:233:8173:898f:63b3:95c3:79d2,,,,,,,,
,abs-ft.twimg.com,146.75.116.159,twimg.twitter.map.fastly.net,"ns1.fastly.net, hostmaster.fastly.com",NOERROR,,True,fastly,,,,,,
,abs-o-ak.twimg.com,"104.244.42.137, 104.244.42.9, 104.244.42.201, 104.244.42.73",abs-o.twimg.com,"a.u06.twtrdns.net, noc\@twitter.com, noc.twitter.com",NOERROR,,,,,,,,,
,abs-o-ec.twimg.com,,abs-o.twimg.com,"a.u06.twtrdns.net, noc.twitter.com",NOERROR,,,,,,,,,
,abs-o.twimg.com,"104.244.42.201, 104.244.42.73, 104.244.42.137, 104.244.42.9",,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
,abs-t-2.twimg.com,146.75.120.159,"abs-ft.twimg.com, twimg.twitter.map.fastly.net","ns1.fastly.net, hostmaster.fastly.com",NOERROR,,True,fastly,,,,,,
,abs-t-3.twimg.com,146.75.120.159,"abs-ft.twimg.com, twimg.twitter.map.fastly.net","ns1.fastly.net, hostmaster.fastly.com",NOERROR,,True,fastly,,,,,,
,abs-t-4.twimg.com,146.75.116.159,"abs-ft.twimg.com, twimg.twitter.map.fastly.net","ns1.fastly.net, hostmaster.fastly.com",NOERROR,,True,fastly,,,"ns1.fastly.net, ns2.fastly.net, ns3.fastly.net, ns4.fastly.net",,,
,abs-t-5.twimg.com,146.75.120.159,"wildcard.twimg.com, twimg.twitter.map.fastly.net","ns1.fastly.net, hostmaster.fastly.com",NOERROR,,True,fastly,,,,,,
,abs.twimg.com,152.199.21.141,cs510.wpc.edgecastcdn.net,"ns1.edgecastcdn.net, noc.edgecast.com",NOERROR,2606:2800:233:8173:898f:63b3:95c3:79d2,,,,,,,,
,ac.twitter.com,"104.244.42.67, 104.244.42.131, 104.244.42.195, 104.244.42.3",s.twitter.com,"a.u06.twtrdns.net, noc\@twitter.com",NOERROR,,,,,,,,,
,acmaredcarpet.twitter.com,"104.244.42.195, 104.244.42.131, 104.244.42.3, 104.244.42.67",s.twitter.com,"a.u06.twtrdns.net, noc\@twitter.com, noc.twitter.com",NOERROR,,,,,,,,,
,acmawards.twitter.com,"104.244.42.131, 104.244.42.3, 104.244.42.67, 104.244.42.195",s.twitter.com,"a.u06.twtrdns.net, noc\@twitter.com, noc.twitter.com",NOERROR,,,,,,,,,
,admin-test.mpx.mopub.com,199.16.156.9,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,,,
,admin.mpx.mopub.com,,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,,,
,admin.vine.co,"54.187.212.99, 54.71.89.0",,"ns-2008.awsdns-59.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,ads-api-sandbox.twitter.com,"104.244.42.195, 104.244.42.3, 104.244.42.67, 104.244.42.131",s.twitter.com,"a.u06.twtrdns.net, noc\@twitter.com, noc.twitter.com",NOERROR,,,,,,,,,
,ads-api.twitter.com,"104.244.42.67, 104.244.42.131, 104.244.42.195, 104.244.42.3",s.twitter.com,"a.u06.twtrdns.net, noc\@twitter.com, noc.twitter.com",NOERROR,,,,,,,,,
,ads-bidder-api-sandbox.twitter.com,104.244.42.3,s.twitter.com,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
,ads-bidder-api-sandbox2.twitter.com,"104.244.42.131, 104.244.42.195, 104.244.42.3, 104.244.42.67",s.twitter.com,"a.u06.twtrdns.net, noc\@twitter.com, noc.twitter.com",NOERROR,,,,,,,,,
,ads-bidder-api-sandbox3.twitter.com,,s.twitter.com,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
,ads-bidder-api-sandbox4.twitter.com,"199.16.156.73, 199.16.156.200, 199.16.156.41, 199.16.156.232, 199.16.156.9, 199.16.156.105",,"a.u06.twtrdns.net, noc\@twitter.com, noc.twitter.com",NOERROR,,,,,,,,,
,ads-bidder-api-sandbox5.twitter.com,"104.244.42.3, 104.244.42.67, 104.244.42.195, 104.244.42.131",s.twitter.com,"a.u06.twtrdns.net, noc.twitter.com",NOERROR,,,,,,,,,
,ads-bidder-api-sandbox8.twitter.com,104.244.42.67,s.twitter.com,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
,ads-dev.twitter.com,104.244.42.131,s.twitter.com,"a.u06.twtrdns.net, noc\@twitter.com",NOERROR,,,,,,,,,
,ads-staging.mopub.com,"192.48.236.11, 192.48.236.10, 192.48.236.12, 192.48.236.9",s2.mopub.com,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,,,
,ads-staging.twitter.com,"104.244.42.3, 104.244.42.131, 104.244.42.67, 104.244.42.195",s.twitter.com,"a.u06.twtrdns.net, noc\@twitter.com, noc.twitter.com",NOERROR,,,,,,,,,
,ads.mopub.com,34.111.158.155,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,True,google,,,,,,
,adserver.mopub.com,,ads.mopub.com,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,True,google,,,,,,
,aem-author-application.twitter.com,"104.244.42.3, 104.244.42.195, 104.244.42.67, 104.244.42.131",s.twitter.com,"a.u06.twtrdns.net, noc.twitter.com",NOERROR,,,,,,,,,
,aem-author-production.twitter.com,"104.244.42.131, 104.244.42.3, 104.244.42.195, 104.244.42.67",s.twitter.com,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
,aem-demo-dev.twitter.com,"104.244.42.131, 104.244.42.67, 104.244.42.3, 104.244.42.195",s.twitter.com,"a.u06.twtrdns.net, noc\@twitter.com, noc.twitter.com",NOERROR,,,,,,,,,
,afl.twitter.com,104.244.42.131,s.twitter.com,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
,altmx.twitter.com,"199.59.149.107, 199.59.148.215, 199.59.149.108, 199.59.148.218, 199.59.148.217, 199.59.149.106, 199.59.148.219, 199.59.149.105, 199.59.149.109, 199.59.148.216",,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
,amp-0.twimg.com,104.244.43.163,amp-zero.twimg.com,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
,amp-eb.twimg.com,199.232.16.159,"wildcard.twimg.com, twimg.twitter.map.fastly.net","ns1.fastly.net, hostmaster.fastly.com",NOERROR,,True,fastly,,,,,,
,amp-o.twimg.com,"104.244.42.9, 104.244.42.73, 104.244.42.137, 104.244.42.201",,"a.u06.twtrdns.net, noc\@twitter.com, noc.twitter.com",NOERROR,,,,,,,,,
,amp.twimg.com,151.101.244.159,twimg.twitter.map.fastly.net,"ns1.fastly.net, hostmaster.fastly.com",NOERROR,,True,fastly,,,,,,
,amplify.twitter.com,104.244.42.131,s.twitter.com,"a.u06.twtrdns.net, noc\@twitter.com, noc.twitter.com",NOERROR,,,,,,,,,
,analytics.twitter.com,"104.244.42.3, 104.244.42.195, 104.244.42.67, 104.244.42.131","ads.twitter.com, s.twitter.com","a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
,angryretbankerpic.twitter.com,,,,NOERROR,,,,,,,,,
,anishmohammedpic.twitter.com,,,,NOERROR,,,,,,,,,
,anywhere.twitter.com,"104.244.42.3, 104.244.42.195, 104.244.42.67, 104.244.42.131",s.twitter.com,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
,api-0-4-0.twitter.com,209.237.196.128,,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
,api-0-4-3.twitter.com,209.237.198.128,,"a.u06.twtrdns.net, noc\@twitter.com",NOERROR,,,,,,,,,
,api-0-4-4.twitter.com,209.237.199.128,,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
,api-0-4-5.twitter.com,209.237.203.128,,"a.u06.twtrdns.net, noc.twitter.com",NOERROR,,,,,,,,,
,api-0-4-6.twitter.com,209.237.200.128,,"a.u06.twtrdns.net, noc\@twitter.com, noc.twitter.com",NOERROR,,,,,,,,,
,api-0-4-7.twitter.com,209.237.201.128,,"a.u06.twtrdns.net, noc\@twitter.com, noc.twitter.com",NOERROR,,,,,,,,,
,api-1-0-0.twitter.com,209.237.193.128,,"a.u06.twtrdns.net, noc\@twitter.com, noc.twitter.com",NOERROR,,,,,,"a.u06.twtrdns.net, b.u06.twtrdns.net, c.u06.twtrdns.net, d.u06.twtrdns.net, b.r06.twtrdns.net, c.r06.twtrdns.net, a.r06.twtrdns.net, d.r06.twtrdns.net",,,
,api-20-0-0.twitter.com,69.195.186.128,,"a.u06.twtrdns.net, noc\@twitter.com, noc.twitter.com",NOERROR,,,,,,,,,
,api-21-0-0.twitter.com,69.195.166.128,,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
,api-22-0-0.twitter.com,69.195.167.128,,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
,api-23-0-0.twitter.com,69.195.182.128,,"a.u06.twtrdns.net, noc.twitter.com",NOERROR,,,,,,,,,
,api-24-0-0.twitter.com,69.195.179.128,,"a.u06.twtrdns.net, noc.twitter.com",NOERROR,,,,,,,,,
,api-25-0-0.twitter.com,,,"a.u06.twtrdns.net, noc\@twitter.com",NOERROR,,,,,,,,,
,api-26-0-0-26-0-1.twitter.com,69.195.187.129,,"a.u06.twtrdns.net, noc.twitter.com",NOERROR,,,,,,,,,
,api-26-0-0-26-4-1.twitter.com,69.195.187.130,,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
,api-26-0-0-26-4-2.twitter.com,69.195.187.131,,"a.u06.twtrdns.net, noc\@twitter.com, noc.twitter.com",NOERROR,,,,,,,,,
,api-26-0-0-26-4-3.twitter.com,,,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
,api-26-0-0-26-5-1.twitter.com,69.195.187.133,,"a.u06.twtrdns.net, noc\@twitter.com, noc.twitter.com",NOERROR,,,,,,,,,
,api-26-0-0-26-5-2.twitter.com,69.195.187.134,,"a.u06.twtrdns.net, noc\@twitter.com, noc.twitter.com",NOERROR,,,,,,,,,
,api-26-0-0-26-6-1.twitter.com,,,"a.u06.twtrdns.net, noc\@twitter.com, noc.twitter.com",NOERROR,,,,,,,,,
,api-26-0-0-c.twitter.com,69.195.187.128,api-26-0-0.twitter.com,"a.u06.twtrdns.net, noc\@twitter.com, noc.twitter.com",NOERROR,,,,,,,,,
,api-26-0-0-o.twitter.com,69.195.187.129,api-26-0-0-26-0-1.twitter.com,"a.u06.twtrdns.net, noc.twitter.com",NOERROR,,,,,,,,,
,api-26-0-0.twitter.com,69.195.187.128,,"a.u06.twtrdns.net, noc\@twitter.com",NOERROR,,,,,,,,,
,api-26-5-2-26-6-1.twitter.com,209.237.209.135,,"a.u06.twtrdns.net, noc.twitter.com",NOERROR,,,,,,,,,
,api-28-0-0.twitter.com,,,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
,api-29-0-0.twitter.com,69.195.161.128,,"a.u06.twtrdns.net, noc\@twitter.com, noc.twitter.com",NOERROR,,,,,,,,,
,api-3-0-0.twitter.com,209.237.194.128,,"a.u06.twtrdns.net, noc.twitter.com",NOERROR,,,,,,,,,
,api-32-0-0-32-0-1.twitter.com,69.195.184.129,,"a.u06.twtrdns.net, noc\@twitter.com, noc.twitter.com",NOERROR,,,,,,,,,
,api-32-0-0-32-4-1.twitter.com,69.195.184.130,,"a.u06.twtrdns.net, noc\@twitter.com, noc.twitter.com",NOERROR,,,,,,,,,
,api-32-0-0-32-4-2.twitter.com,69.195.184.131,,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
,api-32-0-0-32-4-3.twitter.com,69.195.184.132,,"a.u06.twtrdns.net, noc.twitter.com",NOERROR,,,,,,,,,
,api-32-0-0-32-5-1.twitter.com,69.195.184.133,,"a.u06.twtrdns.net, noc\@twitter.com, noc.twitter.com",NOERROR,,,,,,,,,
,api-32-0-0-32-5-2.twitter.com,69.195.184.134,,"a.u06.twtrdns.net, noc\@twitter.com, noc.twitter.com",NOERROR,,,,,,,,,
,api-32-0-0-32-5-3.twitter.com,69.195.184.135,,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
,api-32-0-0-32-6-2.twitter.com,69.195.184.137,,"a.u06.twtrdns.net, noc\@twitter.com, noc.twitter.com",NOERROR,,,,,,,,,
,api-32-0-0-32-6-3.twitter.com,69.195.184.138,,"a.u06.twtrdns.net, noc\@twitter.com",NOERROR,,,,,,,,,
,api-32-0-0-32-6-4.twitter.com,69.195.184.139,,"a.u06.twtrdns.net, noc\@twitter.com",NOERROR,,,,,,,,,
,api-32-0-0-o.twitter.com,69.195.184.129,api-32-0-0-32-0-1.twitter.com,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
,api-34-0-0.twitter.com,69.195.178.128,,"a.u06.twtrdns.net, noc\@twitter.com, noc.twitter.com",NOERROR,,,,,,,,,
,api-35-0-0.twitter.com,69.195.164.128,,"a.u06.twtrdns.net, noc\@twitter.com",NOERROR,,,,,,,,,
,api-36-0-0.twitter.com,69.195.174.128,,"a.u06.twtrdns.net, noc\@twitter.com, noc.twitter.com",NOERROR,,,,,,,,,
,api-37-0-0.twitter.com,,,"a.u06.twtrdns.net, noc.twitter.com",NOERROR,,,,,,,,,
,api-38-0-0.twitter.com,69.195.185.128,,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
,api-39-0-0-39-4-2.twitter.com,69.195.175.131,,"a.u06.twtrdns.net, noc.twitter.com",NOERROR,,,,,,,,,
,api-39-0-0-39-4-3.twitter.com,69.195.175.132,,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
,api-39-0-0-o.twitter.com,69.195.175.129,api-39-0-0-39-0-1.twitter.com,"a.u06.twtrdns.net, noc\@twitter.com, noc.twitter.com",NOERROR,,,,,,,,,
,api-39-0-0.twitter.com,69.195.175.128,,"a.u06.twtrdns.net, noc\@twitter.com",NOERROR,,,,,,,,,
,api-39-4-2-39-4-2.twitter.com,209.237.222.131,,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
,api-39-4-2-39-4-3.twitter.com,209.237.222.132,,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
,api-39-4-3-39-4-2.twitter.com,209.237.203.131,,"a.u06.twtrdns.net, noc.twitter.com",NOERROR,,,,,,,,,
,api-39-4-3-39-4-3.twitter.com,209.237.203.132,,"a.u06.twtrdns.net, noc\@twitter.com, noc.twitter.com",NOERROR,,,,,,,,,
,api-39-4-4-39-4-3.twitter.com,209.237.204.132,,"a.u06.twtrdns.net, noc.twitter.com",NOERROR,,,,,,,,,
,api-39-4-4-39-4-4.twitter.com,209.237.204.133,,"a.u06.twtrdns.net, noc\@twitter.com",NOERROR,,,,,,,,,
,api-40-0-0.twitter.com,69.195.181.128,,"a.u06.twtrdns.net, noc\@twitter.com, noc.twitter.com",NOERROR,,,,,,,,,
,api-41-0-0-41-0-1.twitter.com,69.195.171.129,,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
,api-41-0-0-41-4-1.twitter.com,69.195.171.132,,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
,api-41-0-0-41-5-1.twitter.com,69.195.171.130,,"a.u06.twtrdns.net, noc.twitter.com",NOERROR,,,,,,,,,
,api-41-0-0-41-5-2.twitter.com,69.195.171.131,,"a.u06.twtrdns.net, noc\@twitter.com",NOERROR,,,,,,,,,
,api-41-0-0-41-6-1.twitter.com,69.195.171.135,,"a.u06.twtrdns.net, noc\@twitter.com",NOERROR,,,,,,,,,
,api-41-0-0-41-6-3.twitter.com,69.195.171.137,,"a.u06.twtrdns.net, noc.twitter.com",NOERROR,,,,,,,,,
,api-41-0-0-41-6-5.twitter.com,69.195.171.139,,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
,api-41-0-0-o.twitter.com,69.195.171.129,api-41-0-0-41-0-1.twitter.com,"a.u06.twtrdns.net, noc\@twitter.com, noc.twitter.com",NOERROR,,,,,,,,,
,api-41-4-1-41-0-0.twitter.com,209.237.216.128,,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
,api-41-4-1-41-4-2.twitter.com,209.237.216.133,,"a.u06.twtrdns.net, noc.twitter.com",NOERROR,,,,,,,,,
,api-41-4-1-41-5-1.twitter.com,209.237.216.130,,"a.u06.twtrdns.net, noc\@twitter.com, noc.twitter.com",NOERROR,,,,,,,,,
,api-41-4-2-41-5-2.twitter.com,209.237.217.131,,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
,api-41-4-2-41-6-5.twitter.com,209.237.217.139,,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
,api-41-4-3-41-5-2.twitter.com,209.237.218.131,,"a.u06.twtrdns.net, noc\@twitter.com, noc.twitter.com",NOERROR,,,,,,,,,
,api-41-4-3-41-6-5.twitter.com,209.237.218.139,,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
,api-41-4-3-41-6-6.twitter.com,209.237.218.140,,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
,api-41-5-1-41-5-2.twitter.com,209.237.214.131,,"a.u06.twtrdns.net, noc\@twitter.com, noc.twitter.com",NOERROR,,,,,,,,,
,api-41-5-1-41-6-4.twitter.com,209.237.214.138,,"a.u06.twtrdns.net, noc\@twitter.com, noc.twitter.com",NOERROR,,,,,,,,,
