input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn_name,webserver,cdn,tls_mismatched,tls_wildcard_certificate,final_url,csp_domains_,location,tls_expired,tls_self_signed
afx.chase.com,Request Denied,403,14413,afx.chase.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-06T04:17:08Z,2024-01-06T04:17:07Z,"CN=afx.chase.com, serialNumber=691011, businessCategory=Private Organization, O=JPMorgan Chase and Co., jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, L=New York, ST=New York, C=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",afx.chase.com,JPMorgan Chase and Co.,afx.chase.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",32452fa88e037280c2129007c92e68fc,d310e170c4e8f82cb9555773ecd952d69d1cdfdd542d069d0ae351dd1a037c07,ctls,afx.chase.com,443,https://afx.chase.com:443,https,text/html,GET,159.53.119.19,/,-1558612079,159.53.119.19,,148,False,,,,,,,,,,
aggregation-iav.chase.com,,200,21,aggregation-iav.chase.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-19T01:59:06Z,2024-04-18T01:59:06Z,"CN=aggregation-iav.chase.com, serialNumber=691011, businessCategory=Private Organization, O=JPMorgan Chase and Co., jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, L=New York, ST=New York, C=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",aggregation-iav.chase.com,JPMorgan Chase and Co.,aggregation-iav.chase.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",7c3c18c0fe4f34240017a3288f4fe0d4,467ad332d01d0de36d2bf23d3b5d795e57ead5e29aa467fea1606887b4daf4b1,ctls,aggregation-iav.chase.com,443,https://aggregation-iav.chase.com:443,https,,GET,159.53.62.147,/,1847743655,159.53.62.147,HSTS,1,False,,,,,,,,,,
als-static.chase.com,403 Forbidden,403,202,als-static.chase.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-24T11:36:44Z,2023-06-24T11:36:44Z,"CN=als-static.chase.com, serialNumber=691011, businessCategory=Private Organization, O=JPMorgan Chase and Co., jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, L=New York, ST=New York, C=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",als-static.chase.com,JPMorgan Chase and Co.,als-static.chase.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",05241d5604220610300a605f38eadeae,6a4a260e797a75d0db1a18572bbbb2d299d53dd4bdffec2eb1804808aa7e0c7f,ctls,als-static.chase.com,443,https://als-static.chase.com:443,https,text/html,GET,104.18.27.180,/,-366337701,104.18.26.180,HSTS,9,False,cloudflare,cloudflare,True,,,,,,,
alsuat-static.chase.com,403 Forbidden,403,202,alsuat-static.chase.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-12T03:43:42Z,2023-06-12T03:43:42Z,"CN=alsuat-static.chase.com, serialNumber=691011, businessCategory=Private Organization, O=JPMorgan Chase and Co., jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, L=New York, ST=New York, C=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",alsuat-static.chase.com,JPMorgan Chase and Co.,alsuat-static.chase.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",09b6224127e2b8b55e82cebc1fbeb61e,78ccec470f1cc2289218d9190a53318054a5cc3ec2f2719e6e53987ef48370e6,ctls,alsuat-static.chase.com,443,https://alsuat-static.chase.com:443,https,text/html,GET,104.18.16.102,/,-366337701,104.18.17.102,HSTS,9,False,cloudflare,cloudflare,True,,,,,,,
alumni.jpmorganchase.com,Alumni Network - JPMorgan Chase & Co. | Official Website,200,55414,alumni.jpmorganchase.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-07-14T00:31:50Z,2023-07-14T00:31:50Z,"CN=alumni.jpmorganchase.com, serialNumber=691011, businessCategory=Private Organization, O=JPMorgan Chase and Co., jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, L=New York, ST=New York, C=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",alumni.jpmorganchase.com,JPMorgan Chase and Co.,alumni.jpmorganchase.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",e9f7d9450f80ab87d4736951bf44d7fc,becf905c3176efac934cd0e239b390fafa6e6e49a9be0856c9681c9403a37d40,ctls,alumni.jpmorganchase.com,443,https://alumni.jpmorganchase.com:443,https,text/html,GET,159.53.34.229,/,-212036391,159.53.34.229,React,9,False,,,,,,,https://js.intercomcdn.com,,,
analytics.chase.com,404 Not Found,404,196,analytics.chase.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-10T16:26:38Z,2023-10-10T16:26:38Z,"CN=analytics.chase.com, serialNumber=691011, businessCategory=Private Organization, O=JPMorgan Chase and Co., jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, L=New York, ST=New York, C=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",analytics.chase.com,JPMorgan Chase and Co.,test-analytics.chase.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",ecdabd7cd296ffdd1249edb9fd166221,2ebaab2b57eea7590947c5829d6c5e3607bbf71dfa063fee63f0eaa47771ffa9,ctls,analytics.chase.com,443,https://analytics.chase.com:443,https,text/html,GET,104.126.37.160,/,-780928015,104.126.37.137,HSTS,8,False,,,,,,,,,,
analyticsext.chase.com,Swagger UI,200,4743,analyticsext.chase.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-10T01:09:31Z,2024-02-10T01:09:30Z,"CN=analyticsext.chase.com, serialNumber=691011, businessCategory=Private Organization, O=JPMorgan Chase and Co., jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, L=New York, ST=New York, C=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",analyticsext.chase.com,JPMorgan Chase and Co.,analyticsext.chase.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",497eef39e02aca48d33df33dbd74090b,286415ed4e25d228034fd75dd28cba036ef611aa00c8fc226df407972c5ca322,ctls,analyticsext.chase.com,443,https://analyticsext.chase.com:443,https,text/html,GET,159.53.34.97,/,-1840324437,159.53.34.97,,118,False,,,,,,https://analyticsext.chase.com/index.html,,,,
api-sandbox.chase.com,,404,166,api-sandbox.chase.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-13T05:45:39Z,2024-04-12T05:45:39Z,"CN=api2-sandbox.chase.com, serialNumber=691011, businessCategory=Private Organization, O=JPMorgan Chase and Co., jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, L=New York, ST=New York, C=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",api2-sandbox.chase.com,JPMorgan Chase and Co.,api-sandbox.chase.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",3dfd86cf6359318f90a3c44b461a550b,1c607107636ed16d7d83ba3ee236765fcf0b7b01adfd2bdb1522db4af6d524af,ctls,api-sandbox.chase.com,443,https://api-sandbox.chase.com:443,https,application/json,GET,159.53.85.95,/,672529266,159.53.85.95,,3,False,,,,,,,,,,
api-uat.chase.com,,200,12212,api-uat.chase.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-31T08:26:31Z,2023-10-31T08:26:31Z,"CN=appstore-uat.jpmorgan.com, serialNumber=691011, businessCategory=Private Organization, O=JPMorgan Chase and Co., jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, L=New York, ST=New York, C=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",appstore-uat.jpmorgan.com,JPMorgan Chase and Co.,api-uat.chase.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",805f831f12879d858cdaaf1b2f778bf3,75f7eb22969baab921dc446f3f76e32bac4684a20e8e2152b716f9711b149edf,ctls,api-uat.chase.com,443,https://api-uat.chase.com:443,https,text/html,GET,159.53.43.196,/,-1840324437,159.53.43.196,Java,338,False,,,,,,,,,,
api.chase.com,,404,155,api.chase.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-13T05:33:22Z,2024-04-12T05:33:22Z,"CN=api2.chase.com, serialNumber=691011, businessCategory=Private Organization, O=JPMorgan Chase and Co., jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, L=New York, ST=New York, C=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",api2.chase.com,JPMorgan Chase and Co.,api.chase.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",1238058886dd9ead75f4290bbc912149,6ac5ed659d09b1bdbec0afd335da1c60eb2378381597e2403bb68d4b17d8b13d,ctls,api.chase.com,443,https://api.chase.com:443,https,application/json,GET,159.53.52.218,/,244609073,159.53.52.218,HSTS,1,False,,,,,,,,,,
api2-cert.chase.com,,404,155,api2-cert.chase.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-13T05:24:50Z,2024-04-12T05:24:49Z,"CN=api2-cert.chase.com, serialNumber=691011, businessCategory=Private Organization, O=JPMorgan Chase and Co., jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, L=New York, ST=New York, C=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",api2-cert.chase.com,JPMorgan Chase and Co.,api-cert.chase.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",e07b5ed08cd60d021b1cabfb0e00e099,2fbcce86c318f0046f44a42fffc7fe74d664302c06fa504969fe75c90207e49d,ctls,api2-cert.chase.com,443,https://api2-cert.chase.com:443,https,application/json,GET,159.53.52.183,/,244609073,159.53.52.183,HSTS,1,False,,,,,,,,,,
api2-oauth-cert.chase.com,,404,163,api2-oauth-cert.chase.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-13T05:05:27Z,2024-04-12T05:05:27Z,"CN=api2-oauth-cert.chase.com, serialNumber=691011, businessCategory=Private Organization, O=JPMorgan Chase and Co., jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, L=New York, ST=New York, C=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",api2-oauth-cert.chase.com,JPMorgan Chase and Co.,api2-oauth-cert.chase.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",271af771265115a835126b5cf41283cc,857f3f9112fc6a74737f1cce729a697997bb2ac93cd7d96fe7b10b9b985e7277,ctls,api2-oauth-cert.chase.com,443,https://api2-oauth-cert.chase.com:443,https,application/json,GET,159.53.52.165,/,-1667431066,159.53.52.165,HSTS,1,False,,,,,,,,,,
api2-oauth-sandbox.chase.com,,404,163,api2-oauth-sandbox.chase.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-13T04:40:38Z,2024-04-12T04:40:38Z,"CN=api2-oauth-sandbox.chase.com, serialNumber=691011, businessCategory=Private Organization, O=JPMorgan Chase and Co., jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, L=New York, ST=New York, C=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",api2-oauth-sandbox.chase.com,JPMorgan Chase and Co.,api2-oauth-sandbox.chase.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",ea5fbc784344b9976ede503336971682,7ac96b3589a5441117010f7c4d4006faa3a97645522c1c644606a382ce7d4391,ctls,api2-oauth-sandbox.chase.com,443,https://api2-oauth-sandbox.chase.com:443,https,application/json,GET,159.53.117.209,/,244609073,159.53.117.209,HSTS,1,False,,,,,,,,,,
api2.chase.com,,404,155,api2.chase.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-13T05:33:22Z,2024-04-12T05:33:22Z,"CN=api2.chase.com, serialNumber=691011, businessCategory=Private Organization, O=JPMorgan Chase and Co., jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, L=New York, ST=New York, C=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",api2.chase.com,JPMorgan Chase and Co.,api.chase.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",1238058886dd9ead75f4290bbc912149,6ac5ed659d09b1bdbec0afd335da1c60eb2378381597e2403bb68d4b17d8b13d,ctls,api2.chase.com,443,https://api2.chase.com:443,https,application/json,GET,159.53.52.218,/,244609073,159.53.52.218,HSTS,1,False,,,,,,,,,,
apidemo.chase.com,Chase Developer Experience,200,1164,apidemo.chase.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-14T00:18:25Z,2024-04-13T00:18:25Z,"CN=apidemo.chase.com, serialNumber=691011, businessCategory=Private Organization, O=JPMorgan Chase and Co., jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, L=New York, ST=New York, C=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",apidemo.chase.com,JPMorgan Chase and Co.,developer.chase.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",7ef1048e002116c132c8728da1680b2c,e0273d10828b70b0e61f87776afdd16d7b433a39024f10e43551dd9dd2149a69,ctls,apidemo.chase.com,443,https://apidemo.chase.com:443,https,text/html,GET,159.53.117.216,/,-1596641190,159.53.117.216,HSTS,1,False,,,,,,,,,,
