new,host,cname,soa,txt,status_code,a,mx,ns,aaaa,caa
[x],006.wordcamp.org,wordcamp.org,"ns1.wordpress.org, hostmaster.wordpress.org",v=spf1 ip4:66.155.40.205/32 ip4:66.155.40.24/32 ip4:66.155.40.234/32 ip4:198.143.164.0/24 include:helpscoutemail.com include:_spf.google.com ~all,NOERROR,198.143.164.106,"alt3.aspmx.l.google.com, alt2.aspmx.l.google.com, alt1.aspmx.l.google.com, alt4.aspmx.l.google.com, aspmx.l.google.com","ns3.wordpress.org, ns4.wordpress.org, ns2.wordpress.org, ns1.wordpress.org",,
[x],007.wordcamp.org,wordcamp.org,"ns1.wordpress.org, hostmaster.wordpress.org",v=spf1 ip4:66.155.40.205/32 ip4:66.155.40.24/32 ip4:66.155.40.234/32 ip4:198.143.164.0/24 include:helpscoutemail.com include:_spf.google.com ~all,NOERROR,198.143.164.106,"alt4.aspmx.l.google.com, alt2.aspmx.l.google.com, alt1.aspmx.l.google.com, aspmx.l.google.com, alt3.aspmx.l.google.com",,,
[x],007onlyforyoureyes.wordpress.net,wordpress.net,"ns1.mobiusltd.com, sysops.automattic.com",v=spf1 +a +mx +ip4:66.155.40.30 +ip4:66.155.40.164 +include:helpscoutemail.com ~all,NOERROR,66.155.40.164,wordpress.net,"ns1.mobiusltd.com, ns2.mobiusltd.com",,
[x],007rohitarora.wordcamp.org,wordcamp.org,"ns1.wordpress.org, hostmaster.wordpress.org",v=spf1 ip4:66.155.40.205/32 ip4:66.155.40.24/32 ip4:66.155.40.234/32 ip4:198.143.164.0/24 include:helpscoutemail.com include:_spf.google.com ~all,NOERROR,"198.143.164.106, 198.181.116.10, 198.181.117.10, 192.0.74.10, 192.0.75.10","alt2.aspmx.l.google.com, alt3.aspmx.l.google.com, aspmx.l.google.com, alt1.aspmx.l.google.com, alt4.aspmx.l.google.com","ns3.wordpress.org, ns1.wordpress.org, ns2.wordpress.org, ns4.wordpress.org","2a04:fa87:ffff::c6b5:740a, 2a04:fa87:ffff::c6b5:750a, 2620:115:c00f::c000:4a0a, 2620:115:c00f::c000:4b0a",
[x],009.wordcamp.org,wordcamp.org,"ns1.wordpress.org, hostmaster.wordpress.org",v=spf1 ip4:66.155.40.205/32 ip4:66.155.40.24/32 ip4:66.155.40.234/32 ip4:198.143.164.0/24 include:helpscoutemail.com include:_spf.google.com ~all,NOERROR,198.143.164.106,"alt2.aspmx.l.google.com, alt4.aspmx.l.google.com, aspmx.l.google.com, alt1.aspmx.l.google.com, alt3.aspmx.l.google.com","ns4.wordpress.org, ns1.wordpress.org, ns2.wordpress.org, ns3.wordpress.org",,
[x],01.wordcamp.org,wordcamp.org,"ns1.wordpress.org, hostmaster.wordpress.org",v=spf1 ip4:66.155.40.205/32 ip4:66.155.40.24/32 ip4:66.155.40.234/32 ip4:198.143.164.0/24 include:helpscoutemail.com include:_spf.google.com ~all,NOERROR,198.143.164.106,"alt2.aspmx.l.google.com, alt3.aspmx.l.google.com, alt1.aspmx.l.google.com, alt4.aspmx.l.google.com, aspmx.l.google.com","ns2.wordpress.org, ns4.wordpress.org, ns1.wordpress.org, ns3.wordpress.org",,
[x],010.wordcamp.org,wordcamp.org,"ns1.wordpress.org, hostmaster.wordpress.org",v=spf1 ip4:66.155.40.205/32 ip4:66.155.40.24/32 ip4:66.155.40.234/32 ip4:198.143.164.0/24 include:helpscoutemail.com include:_spf.google.com ~all,NOERROR,198.143.164.106,,"ns3.wordpress.org, ns1.wordpress.org, ns2.wordpress.org, ns4.wordpress.org",,
[x],010system-com.wordcamp.org,wordcamp.org,"ns1.wordpress.org, hostmaster.wordpress.org",v=spf1 ip4:66.155.40.205/32 ip4:66.155.40.24/32 ip4:66.155.40.234/32 ip4:198.143.164.0/24 include:helpscoutemail.com include:_spf.google.com ~all,NOERROR,198.143.164.106,,"ns2.wordpress.org, ns1.wordpress.org, ns4.wordpress.org, ns3.wordpress.org",,
[x],011.wordcamp.org,wordcamp.org,"ns1.wordpress.org, hostmaster.wordpress.org",v=spf1 ip4:66.155.40.205/32 ip4:66.155.40.24/32 ip4:66.155.40.234/32 ip4:198.143.164.0/24 include:helpscoutemail.com include:_spf.google.com ~all,NOERROR,198.143.164.106,"aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, alt3.aspmx.l.google.com, alt4.aspmx.l.google.com","ns3.wordpress.org, ns4.wordpress.org, ns1.wordpress.org, ns2.wordpress.org",,
[x],012-vc.wordcamp.org,wordcamp.org,"ns1.wordpress.org, hostmaster.wordpress.org",v=spf1 ip4:66.155.40.205/32 ip4:66.155.40.24/32 ip4:66.155.40.234/32 ip4:198.143.164.0/24 include:helpscoutemail.com include:_spf.google.com ~all,NOERROR,198.143.164.106,"alt3.aspmx.l.google.com, alt2.aspmx.l.google.com, alt1.aspmx.l.google.com, alt4.aspmx.l.google.com, aspmx.l.google.com","ns1.wordpress.org, ns4.wordpress.org, ns2.wordpress.org, ns3.wordpress.org",,
[x],012.wordcamp.org,wordcamp.org,"ns1.wordpress.org, hostmaster.wordpress.org",v=spf1 ip4:66.155.40.205/32 ip4:66.155.40.24/32 ip4:66.155.40.234/32 ip4:198.143.164.0/24 include:helpscoutemail.com include:_spf.google.com ~all,NOERROR,198.143.164.106,"alt1.aspmx.l.google.com, aspmx.l.google.com, alt4.aspmx.l.google.com, alt2.aspmx.l.google.com, alt3.aspmx.l.google.com","ns2.wordpress.org, ns3.wordpress.org, ns1.wordpress.org, ns4.wordpress.org",,
[x],013.wordcamp.org,wordcamp.org,"ns1.wordpress.org, hostmaster.wordpress.org",,NOERROR,198.143.164.106,,,,
[x],014.wordcamp.org,wordcamp.org,"ns1.wordpress.org, hostmaster.wordpress.org",v=spf1 ip4:66.155.40.205/32 ip4:66.155.40.24/32 ip4:66.155.40.234/32 ip4:198.143.164.0/24 include:helpscoutemail.com include:_spf.google.com ~all,NOERROR,"198.143.164.106, 198.181.116.10, 198.181.117.10, 192.0.74.10, 192.0.75.10","alt3.aspmx.l.google.com, alt1.aspmx.l.google.com, alt4.aspmx.l.google.com, aspmx.l.google.com, alt2.aspmx.l.google.com","ns4.wordpress.org, ns1.wordpress.org, ns2.wordpress.org, ns3.wordpress.org","2a04:fa87:ffff::c6b5:740a, 2a04:fa87:ffff::c6b5:750a, 2620:115:c00f::c000:4a0a, 2620:115:c00f::c000:4b0a",
[x],015.wordcamp.org,wordcamp.org,"ns1.wordpress.org, hostmaster.wordpress.org",v=spf1 ip4:66.155.40.205/32 ip4:66.155.40.24/32 ip4:66.155.40.234/32 ip4:198.143.164.0/24 include:helpscoutemail.com include:_spf.google.com ~all,NOERROR,198.143.164.106,"aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, alt3.aspmx.l.google.com, alt4.aspmx.l.google.com","ns1.wordpress.org, ns2.wordpress.org, ns3.wordpress.org, ns4.wordpress.org",,
[x],02.wordcamp.org,wordcamp.org,"ns1.wordpress.org, hostmaster.wordpress.org",v=spf1 ip4:66.155.40.205/32 ip4:66.155.40.24/32 ip4:66.155.40.234/32 ip4:198.143.164.0/24 include:helpscoutemail.com include:_spf.google.com ~all,NOERROR,198.143.164.106,"aspmx.l.google.com, alt1.aspmx.l.google.com, alt4.aspmx.l.google.com, alt2.aspmx.l.google.com, alt3.aspmx.l.google.com","ns2.wordpress.org, ns4.wordpress.org, ns1.wordpress.org, ns3.wordpress.org",,
[x],020.wordcamp.org,wordcamp.org,"ns1.wordpress.org, hostmaster.wordpress.org",,NOERROR,198.143.164.106,"alt3.aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx.l.google.com, alt4.aspmx.l.google.com","ns3.wordpress.org, ns1.wordpress.org, ns4.wordpress.org, ns2.wordpress.org",,
[x],021.wordcamp.org,wordcamp.org,"ns1.wordpress.org, hostmaster.wordpress.org",,NOERROR,,"alt1.aspmx.l.google.com, aspmx.l.google.com, alt2.aspmx.l.google.com, alt3.aspmx.l.google.com, alt4.aspmx.l.google.com","ns3.wordpress.org, ns1.wordpress.org, ns4.wordpress.org, ns2.wordpress.org",,
[x],024.wordcamp.org,wordcamp.org,"ns1.wordpress.org, hostmaster.wordpress.org",v=spf1 ip4:66.155.40.205/32 ip4:66.155.40.24/32 ip4:66.155.40.234/32 ip4:198.143.164.0/24 include:helpscoutemail.com include:_spf.google.com ~all,NOERROR,198.143.164.106,"alt1.aspmx.l.google.com, alt3.aspmx.l.google.com, aspmx.l.google.com, alt2.aspmx.l.google.com, alt4.aspmx.l.google.com","ns3.wordpress.org, ns4.wordpress.org, ns2.wordpress.org, ns1.wordpress.org",,
[x],025.wordcamp.org,wordcamp.org,"ns1.wordpress.org, hostmaster.wordpress.org",v=spf1 ip4:66.155.40.205/32 ip4:66.155.40.24/32 ip4:66.155.40.234/32 ip4:198.143.164.0/24 include:helpscoutemail.com include:_spf.google.com ~all,NOERROR,198.143.164.106,"alt1.aspmx.l.google.com, aspmx.l.google.com, alt4.aspmx.l.google.com, alt2.aspmx.l.google.com, alt3.aspmx.l.google.com","ns3.wordpress.org, ns4.wordpress.org, ns2.wordpress.org, ns1.wordpress.org",,
[x],0250587150-com.wordcamp.org,wordcamp.org,"ns1.wordpress.org, hostmaster.wordpress.org",v=spf1 ip4:66.155.40.205/32 ip4:66.155.40.24/32 ip4:66.155.40.234/32 ip4:198.143.164.0/24 include:helpscoutemail.com include:_spf.google.com ~all,NOERROR,198.143.164.106,,,,
[x],0257762813-com.wordcamp.org,wordcamp.org,"ns1.wordpress.org, hostmaster.wordpress.org",,NOERROR,198.143.164.106,"alt2.aspmx.l.google.com, aspmx.l.google.com, alt4.aspmx.l.google.com, alt3.aspmx.l.google.com, alt1.aspmx.l.google.com",,,
[x],026.wordcamp.org,wordcamp.org,"ns1.wordpress.org, hostmaster.wordpress.org",v=spf1 ip4:66.155.40.205/32 ip4:66.155.40.24/32 ip4:66.155.40.234/32 ip4:198.143.164.0/24 include:helpscoutemail.com include:_spf.google.com ~all,NOERROR,198.143.164.106,"alt4.aspmx.l.google.com, alt1.aspmx.l.google.com, aspmx.l.google.com, alt3.aspmx.l.google.com, alt2.aspmx.l.google.com","ns1.wordpress.org, ns2.wordpress.org, ns4.wordpress.org, ns3.wordpress.org",,
[x],027.wordcamp.org,wordcamp.org,"ns1.wordpress.org, hostmaster.wordpress.org",v=spf1 ip4:66.155.40.205/32 ip4:66.155.40.24/32 ip4:66.155.40.234/32 ip4:198.143.164.0/24 include:helpscoutemail.com include:_spf.google.com ~all,NOERROR,"198.143.164.106, 198.181.116.10, 198.181.117.10, 192.0.74.10, 192.0.75.10","alt1.aspmx.l.google.com, alt3.aspmx.l.google.com, aspmx.l.google.com, alt2.aspmx.l.google.com, alt4.aspmx.l.google.com","ns3.wordpress.org, ns4.wordpress.org, ns1.wordpress.org, ns2.wordpress.org","2a04:fa87:ffff::c6b5:740a, 2a04:fa87:ffff::c6b5:750a, 2620:115:c00f::c000:4a0a, 2620:115:c00f::c000:4b0a",
[x],028.wordcamp.org,wordcamp.org,"ns1.wordpress.org, hostmaster.wordpress.org",v=spf1 ip4:66.155.40.205/32 ip4:66.155.40.24/32 ip4:66.155.40.234/32 ip4:198.143.164.0/24 include:helpscoutemail.com include:_spf.google.com ~all,NOERROR,198.143.164.106,"aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, alt3.aspmx.l.google.com, alt4.aspmx.l.google.com","ns1.wordpress.org, ns2.wordpress.org, ns3.wordpress.org, ns4.wordpress.org",,
[x],029.wordcamp.org,wordcamp.org,"ns1.wordpress.org, hostmaster.wordpress.org",v=spf1 ip4:66.155.40.205/32 ip4:66.155.40.24/32 ip4:66.155.40.234/32 ip4:198.143.164.0/24 include:helpscoutemail.com include:_spf.google.com ~all,NOERROR,198.143.164.106,"alt1.aspmx.l.google.com, alt3.aspmx.l.google.com, aspmx.l.google.com, alt2.aspmx.l.google.com, alt4.aspmx.l.google.com","ns4.wordpress.org, ns3.wordpress.org, ns2.wordpress.org, ns1.wordpress.org",,
[x],02creative.wordcamp.org,wordcamp.org,"ns1.wordpress.org, hostmaster.wordpress.org",v=spf1 ip4:66.155.40.205/32 ip4:66.155.40.24/32 ip4:66.155.40.234/32 ip4:198.143.164.0/24 include:helpscoutemail.com include:_spf.google.com ~all,NOERROR,"198.143.164.106, 198.181.116.10, 198.181.117.10, 192.0.74.10, 192.0.75.10","alt4.aspmx.l.google.com, aspmx.l.google.com, alt2.aspmx.l.google.com, alt1.aspmx.l.google.com, alt3.aspmx.l.google.com","ns3.wordpress.org, ns2.wordpress.org, ns1.wordpress.org, ns4.wordpress.org","2a04:fa87:ffff::c6b5:740a, 2a04:fa87:ffff::c6b5:750a, 2620:115:c00f::c000:4a0a, 2620:115:c00f::c000:4b0a",
[x],02ne.wordcamp.org,wordcamp.org,"ns1.wordpress.org, hostmaster.wordpress.org",v=spf1 ip4:66.155.40.205/32 ip4:66.155.40.24/32 ip4:66.155.40.234/32 ip4:198.143.164.0/24 include:helpscoutemail.com include:_spf.google.com ~all,NOERROR,198.143.164.106,"alt1.aspmx.l.google.com, alt3.aspmx.l.google.com, aspmx.l.google.com, alt2.aspmx.l.google.com, alt4.aspmx.l.google.com","ns3.wordpress.org, ns2.wordpress.org, ns1.wordpress.org, ns4.wordpress.org",,
[x],02varvara.wordpress.net,wordpress.net,"ns1.mobiusltd.com, sysops.automattic.com",v=spf1 +a +mx +ip4:66.155.40.30 +ip4:66.155.40.164 +include:helpscoutemail.com ~all,NOERROR,"66.155.40.164, 66.155.40.24, 66.155.9.169",wordpress.net,"ns2.mobiusltd.com, ns1.mobiusltd.com",,
[x],03.wordcamp.org,wordcamp.org,"ns1.wordpress.org, hostmaster.wordpress.org",,NOERROR,198.143.164.106,"alt3.aspmx.l.google.com, aspmx.l.google.com, alt4.aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com",,,
[x],030.wordcamp.org,wordcamp.org,"ns1.wordpress.org, hostmaster.wordpress.org",,NOERROR,,,,,
[x],031.wordcamp.org,wordcamp.org,"ns1.wordpress.org, hostmaster.wordpress.org",v=spf1 ip4:66.155.40.205/32 ip4:66.155.40.24/32 ip4:66.155.40.234/32 ip4:198.143.164.0/24 include:helpscoutemail.com include:_spf.google.com ~all,NOERROR,198.143.164.106,"aspmx.l.google.com, alt3.aspmx.l.google.com, alt2.aspmx.l.google.com, alt4.aspmx.l.google.com, alt1.aspmx.l.google.com","ns3.wordpress.org, ns1.wordpress.org, ns2.wordpress.org, ns4.wordpress.org",,
[x],032.wordcamp.org,wordcamp.org,"ns1.wordpress.org, hostmaster.wordpress.org",v=spf1 ip4:66.155.40.205/32 ip4:66.155.40.24/32 ip4:66.155.40.234/32 ip4:198.143.164.0/24 include:helpscoutemail.com include:_spf.google.com ~all,NOERROR,198.143.164.106,"aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, alt3.aspmx.l.google.com, alt4.aspmx.l.google.com","ns1.wordpress.org, ns2.wordpress.org, ns3.wordpress.org, ns4.wordpress.org",,
[x],033.wordcamp.org,wordcamp.org,"ns1.wordpress.org, hostmaster.wordpress.org",v=spf1 ip4:66.155.40.205/32 ip4:66.155.40.24/32 ip4:66.155.40.234/32 ip4:198.143.164.0/24 include:helpscoutemail.com include:_spf.google.com ~all,NOERROR,198.143.164.106,"alt4.aspmx.l.google.com, alt3.aspmx.l.google.com, aspmx.l.google.com, alt2.aspmx.l.google.com, alt1.aspmx.l.google.com","ns4.wordpress.org, ns2.wordpress.org, ns1.wordpress.org, ns3.wordpress.org",,
[x],034.wordcamp.org,wordcamp.org,"ns1.wordpress.org, hostmaster.wordpress.org",,NOERROR,,"alt1.aspmx.l.google.com, aspmx.l.google.com, alt2.aspmx.l.google.com, alt3.aspmx.l.google.com, alt4.aspmx.l.google.com",,,
[x],037.wordcamp.org,wordcamp.org,"ns1.wordpress.org, hostmaster.wordpress.org",v=spf1 ip4:66.155.40.205/32 ip4:66.155.40.24/32 ip4:66.155.40.234/32 ip4:198.143.164.0/24 include:helpscoutemail.com include:_spf.google.com ~all,NOERROR,198.143.164.106,"alt4.aspmx.l.google.com, alt2.aspmx.l.google.com, alt3.aspmx.l.google.com, aspmx.l.google.com, alt1.aspmx.l.google.com","ns4.wordpress.org, ns1.wordpress.org, ns3.wordpress.org, ns2.wordpress.org",,
[x],038.wordcamp.org,wordcamp.org,"ns1.wordpress.org, hostmaster.wordpress.org",v=spf1 ip4:66.155.40.205/32 ip4:66.155.40.24/32 ip4:66.155.40.234/32 ip4:198.143.164.0/24 include:helpscoutemail.com include:_spf.google.com ~all,NOERROR,198.143.164.106,"alt1.aspmx.l.google.com, aspmx.l.google.com, alt2.aspmx.l.google.com, alt3.aspmx.l.google.com, alt4.aspmx.l.google.com","ns3.wordpress.org, ns1.wordpress.org, ns4.wordpress.org, ns2.wordpress.org",,
[x],039.wordcamp.org,wordcamp.org,"ns1.wordpress.org, hostmaster.wordpress.org",v=spf1 ip4:66.155.40.205/32 ip4:66.155.40.24/32 ip4:66.155.40.234/32 ip4:198.143.164.0/24 include:helpscoutemail.com include:_spf.google.com ~all,NOERROR,,"alt1.aspmx.l.google.com, aspmx.l.google.com, alt2.aspmx.l.google.com, alt3.aspmx.l.google.com, alt4.aspmx.l.google.com","ns3.wordpress.org, ns1.wordpress.org, ns4.wordpress.org, ns2.wordpress.org",,
[x],041.wordcamp.org,wordcamp.org,"ns1.wordpress.org, hostmaster.wordpress.org",v=spf1 ip4:66.155.40.205/32 ip4:66.155.40.24/32 ip4:66.155.40.234/32 ip4:198.143.164.0/24 include:helpscoutemail.com include:_spf.google.com ~all,NOERROR,198.143.164.106,"aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, alt3.aspmx.l.google.com, alt4.aspmx.l.google.com","ns4.wordpress.org, ns1.wordpress.org, ns2.wordpress.org, ns3.wordpress.org",,
[x],042.wordcamp.org,wordcamp.org,"ns1.wordpress.org, hostmaster.wordpress.org",v=spf1 ip4:66.155.40.205/32 ip4:66.155.40.24/32 ip4:66.155.40.234/32 ip4:198.143.164.0/24 include:helpscoutemail.com include:_spf.google.com ~all,NOERROR,198.143.164.106,"alt1.aspmx.l.google.com, alt3.aspmx.l.google.com, aspmx.l.google.com, alt2.aspmx.l.google.com, alt4.aspmx.l.google.com","ns4.wordpress.org, ns3.wordpress.org, ns2.wordpress.org, ns1.wordpress.org",,
[x],043.wordcamp.org,wordcamp.org,"ns1.wordpress.org, hostmaster.wordpress.org",v=spf1 ip4:66.155.40.205/32 ip4:66.155.40.24/32 ip4:66.155.40.234/32 ip4:198.143.164.0/24 include:helpscoutemail.com include:_spf.google.com ~all,NOERROR,198.143.164.106,,"ns1.wordpress.org, ns4.wordpress.org, ns2.wordpress.org, ns3.wordpress.org",,
[x],044.wordcamp.org,wordcamp.org,"ns1.wordpress.org, hostmaster.wordpress.org",v=spf1 ip4:66.155.40.205/32 ip4:66.155.40.24/32 ip4:66.155.40.234/32 ip4:198.143.164.0/24 include:helpscoutemail.com include:_spf.google.com ~all,NOERROR,198.143.164.106,"alt1.aspmx.l.google.com, aspmx.l.google.com, alt3.aspmx.l.google.com, alt2.aspmx.l.google.com, alt4.aspmx.l.google.com","ns1.wordpress.org, ns2.wordpress.org, ns4.wordpress.org, ns3.wordpress.org",,
[x],045.wordcamp.org,wordcamp.org,"ns1.wordpress.org, hostmaster.wordpress.org",v=spf1 ip4:66.155.40.205/32 ip4:66.155.40.24/32 ip4:66.155.40.234/32 ip4:198.143.164.0/24 include:helpscoutemail.com include:_spf.google.com ~all,NOERROR,198.143.164.106,,"ns3.wordpress.org, ns1.wordpress.org, ns4.wordpress.org, ns2.wordpress.org",,
[x],045310-com.wordcamp.org,wordcamp.org,"ns1.wordpress.org, hostmaster.wordpress.org",v=spf1 ip4:66.155.40.205/32 ip4:66.155.40.24/32 ip4:66.155.40.234/32 ip4:198.143.164.0/24 include:helpscoutemail.com include:_spf.google.com ~all,NOERROR,198.143.164.106,"alt2.aspmx.l.google.com, alt4.aspmx.l.google.com, alt3.aspmx.l.google.com, aspmx.l.google.com, alt1.aspmx.l.google.com","ns4.wordpress.org, ns3.wordpress.org, ns2.wordpress.org, ns1.wordpress.org",,
[x],047.wordcamp.org,wordcamp.org,,,NOERROR,198.143.164.106,,,,
[x],048.wordcamp.org,wordcamp.org,"ns1.wordpress.org, hostmaster.wordpress.org",v=spf1 ip4:66.155.40.205/32 ip4:66.155.40.24/32 ip4:66.155.40.234/32 ip4:198.143.164.0/24 include:helpscoutemail.com include:_spf.google.com ~all,NOERROR,198.143.164.106,"aspmx.l.google.com, alt3.aspmx.l.google.com, alt2.aspmx.l.google.com, alt4.aspmx.l.google.com, alt1.aspmx.l.google.com","ns4.wordpress.org, ns3.wordpress.org, ns1.wordpress.org, ns2.wordpress.org",,
[x],049.wordcamp.org,wordcamp.org,"ns1.wordpress.org, hostmaster.wordpress.org",v=spf1 ip4:66.155.40.205/32 ip4:66.155.40.24/32 ip4:66.155.40.234/32 ip4:198.143.164.0/24 include:helpscoutemail.com include:_spf.google.com ~all,NOERROR,"198.143.164.106, 198.181.116.10, 198.181.117.10, 192.0.74.10, 192.0.75.10","aspmx.l.google.com, alt3.aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, alt4.aspmx.l.google.com","ns3.wordpress.org, ns4.wordpress.org, ns1.wordpress.org, ns2.wordpress.org","2a04:fa87:ffff::c6b5:740a, 2a04:fa87:ffff::c6b5:750a, 2620:115:c00f::c000:4a0a, 2620:115:c00f::c000:4b0a",
[x],05-dch-0329.wordcamp.org,wordcamp.org,"ns1.wordpress.org, hostmaster.wordpress.org",v=spf1 ip4:66.155.40.205/32 ip4:66.155.40.24/32 ip4:66.155.40.234/32 ip4:198.143.164.0/24 include:helpscoutemail.com include:_spf.google.com ~all,NOERROR,198.143.164.106,"aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, alt3.aspmx.l.google.com, alt4.aspmx.l.google.com","ns1.wordpress.org, ns2.wordpress.org, ns3.wordpress.org, ns4.wordpress.org",,
