input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,tls_wildcard_certificate,csp_domains_,tls_self_signed,final_url,tls_expired
appcasts-staging.razer.com,,403,243,appcasts-staging.razer.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-15T00:00:00Z,2024-04-13T23:59:59Z,CN=*.razer.com,*.razer.com,,*.razerzone.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,65ee08530694d09e07df5e0c99131615,ed5cdb1358bb1acbb714e6bc537e3160c6adc2f8caa3c7418725280596e3b293,ctls,appcasts-staging.razer.com,cloudfront,443,https://appcasts-staging.razer.com:443,https,AmazonS3,application/xml,GET,18.66.97.10,/,-326957359,2600:9000:223c:9200:3:f94e:8880:93a1,Amazon Web Services,2,False,True,,True,,,,
appcasts.razer.com,,403,243,appcasts.razer.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-08T00:00:00Z,2024-02-07T23:59:59Z,"CN=razerapi.com, O=Razer (Asia-Pacific) Pte. Ltd., L=Singapore, C=SG",razerapi.com,Razer (Asia-Pacific) Pte. Ltd.,www.razerzone.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,7101d44d0c34eb338a9eb76a60f2e974,238626cf8fc9b233bdf70dbcdd8c55575097b30b99af452b0200c63ebe094550,ctls,appcasts.razer.com,,443,https://appcasts.razer.com:443,https,AmazonS3,application/xml,GET,2.19.126.74,/,1652886637,2a02:26f0:780::210:a473,Amazon Web Services,2,False,,,,,,,
apps-api-demo.razer.com,,403,9,apps-api-demo.razer.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-15T00:00:00Z,2024-04-13T23:59:59Z,CN=*.razer.com,*.razer.com,,*.razerzone.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,65ee08530694d09e07df5e0c99131615,ed5cdb1358bb1acbb714e6bc537e3160c6adc2f8caa3c7418725280596e3b293,ctls,apps-api-demo.razer.com,,443,https://apps-api-demo.razer.com:443,https,awselb/2.0,text/plain,GET,3.218.41.103,/,-942874359,44.196.217.75,,1,False,,,True,,,,
apps-api-staging.razer.com,,403,9,apps-api-staging.razer.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-15T00:00:00Z,2024-04-13T23:59:59Z,CN=*.razer.com,*.razer.com,,*.razerzone.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,65ee08530694d09e07df5e0c99131615,ed5cdb1358bb1acbb714e6bc537e3160c6adc2f8caa3c7418725280596e3b293,ctls,apps-api-staging.razer.com,,443,https://apps-api-staging.razer.com:443,https,awselb/2.0,text/plain,GET,3.218.41.103,/,-942874359,3.209.210.41,,1,False,,,True,,,,
apps-cortex-staging.razer.com,,403,9,apps-cortex-staging.razer.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-15T00:00:00Z,2024-04-13T23:59:59Z,CN=*.razer.com,*.razer.com,,*.razerzone.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,65ee08530694d09e07df5e0c99131615,ed5cdb1358bb1acbb714e6bc537e3160c6adc2f8caa3c7418725280596e3b293,ctls,apps-cortex-staging.razer.com,,443,https://apps-cortex-staging.razer.com:443,https,awselb/2.0,text/plain,GET,3.209.210.41,/,-942874359,3.218.41.103,,1,False,,,True,,,,
apps-demo.razer.com,404 Not Found,404,393,apps-demo.razer.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-21T00:00:00Z,2023-11-21T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",apps-demo.razer.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",7c46741ae52ae86e534d2dabcdef1a22,224a2dd882a473d8caf729ba51c49d6f476b20d042142d03af9eefa5cedf5b32,ctls,apps-demo.razer.com,cloudflare,443,https://apps-demo.razer.com:443,https,cloudflare,text/html,GET,104.16.190.67,/,29528357,2606:4700::6810:be43,Cloudflare,15,False,True,,,,,,
apps-launcher-staging.razer.com,,403,9,apps-launcher-staging.razer.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-15T00:00:00Z,2024-04-13T23:59:59Z,CN=*.razer.com,*.razer.com,,*.razerzone.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,65ee08530694d09e07df5e0c99131615,ed5cdb1358bb1acbb714e6bc537e3160c6adc2f8caa3c7418725280596e3b293,ctls,apps-launcher-staging.razer.com,,443,https://apps-launcher-staging.razer.com:443,https,awselb/2.0,text/plain,GET,44.196.217.75,/,-942874359,3.218.41.103,,1,False,,,True,,,,
apps-releasenotes-staging.razer.com,,403,9,apps-releasenotes-staging.razer.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-15T00:00:00Z,2024-04-13T23:59:59Z,CN=*.razer.com,*.razer.com,,*.razerzone.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,65ee08530694d09e07df5e0c99131615,ed5cdb1358bb1acbb714e6bc537e3160c6adc2f8caa3c7418725280596e3b293,ctls,apps-releasenotes-staging.razer.com,,443,https://apps-releasenotes-staging.razer.com:443,https,awselb/2.0,text/plain,GET,3.209.210.41,/,-942874359,3.218.41.103,,1,False,,,True,,,,
apps-staging.razer.com,404 Not Found,404,345,,,,,,,,,,,,,,,,,,,,80,http://apps-staging.razer.com:80,http,AmazonS3,text/html,GET,23.213.161.31,/,2143083628,23.213.161.30,Amazon Web Services,15,False,,,,,,,
apps.razer.com,404 Not Found,404,345,,,,,,,,,,,,,,,,,,,,80,http://apps.razer.com:80,http,AmazonS3,text/html,GET,23.213.161.20,/,1137742058,23.213.161.7,Amazon Web Services,15,False,,,,,,,
auth-globalapi.gold.razer.com,,404,,auth-globalapi.gold.razer.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-12T00:00:00Z,2024-06-13T23:59:59Z,"CN=gold.razer.com, O=Razer (Asia-Pacific) Pte. Ltd., L=Singapore, C=SG",gold.razer.com,Razer (Asia-Pacific) Pte. Ltd.,zmerchant.gold.razer.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,f9d2190633a090a506628c3a39101b1c,0a5ec07b5efc4b2579b792f0204df60afe17ede0b1e8130bae6f0b212d81dec9,ctls,auth-globalapi.gold.razer.com,,443,https://auth-globalapi.gold.razer.com:443,https,awselb/2.0,text/plain,GET,95.101.111.165,/,-1840324437,2a02:26f0:480:23::1726:62b8,,1,False,,,,,,,
auth-globalapi.zgold-qa.razer.com,,404,,auth-globalapi.zgold-qa.razer.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-07-17T00:00:00Z,2024-08-14T23:59:59Z,CN=zgold-qa.razer.com,zgold-qa.razer.com,,*.zgold-qa.razer.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,7f502855ec5fee08e3035ac7e8cec952,ce3595afde3af3b9db06dc679841731626d74aa6ad8a914405da6b13db6f4bdb,ctls,auth-globalapi.zgold-qa.razer.com,,443,https://auth-globalapi.zgold-qa.razer.com:443,https,awselb/2.0,text/plain,GET,52.54.247.232,/,-1840324437,3.227.67.228,,1,False,,,True,,,,
autodiscover.pay.razer.com,Sign in to Outlook,200,39356,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-25T00:00:00Z,2024-05-25T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,7c7414a61d2496accd312122c5241231,2c204118a10394b7abd4cd1f9d1a885acb273a1ebe0091f82e567b1137495fb7,ctls,login.microsoftonline.com,,80,http://autodiscover.pay.razer.com:80,http,,text/html,GET,52.98.243.8,/,-1249852061,2603:1026:c0d:c06::8,HSTS,95,False,,,,,,https://login.microsoftonline.com/common/oauth2/authorize?client_id=00000002-0000-0ff1-ce00-000000000000&redirect_uri=https%3a%2f%2foutlook.office365.com%2fowa%2f&resource=00000002-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid&msafed=1&msaredir=1&client-request-id=cd1f7302-d065-178c-6d6a-3c661bd0eff1&protectedtoken=true&claims=%7b%22id_token%22%3a%7b%22xms_cc%22%3a%7b%22values%22%3a%5b%22CP1%22%5d%7d%7d%7d&domain_hint=pay.razer.com&nonce=638255909793481441.9761d488-c1da-4111-b6d1-7913f0d9cc9f&state=DctBDsIgEEBRsHcxcQFlZArMovEsI0MTExsa1Jp6elm8v_taKTV0p067HhWDT9dpIkeRPCZABEsxgGBKJoOwQQAw9yBgIoFfnFDOtOj-Xsb65fHWCj_XeePDNv6VZnNdz7vM_HlXebxy3Uv7Aw,
axon-api.razer.com,,404,18,axon-api.razer.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-03T00:00:00Z,2024-05-01T23:59:59Z,CN=*.razer.com,*.razer.com,,*.razer.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,4c40f83014e2468194ab174af80ef3e4,5027c7cefec7c2d061b32ca76358ec8f81ff30c66b32774cf04fa84a25270398,ctls,axon-api.razer.com,,443,https://axon-api.razer.com:443,https,,text/plain,GET,35.168.71.23,/,-429073533,34.227.38.19,,1,False,,,True,,,,
axon.razer.com,,404,18,axon.razer.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-03T00:00:00Z,2024-05-01T23:59:59Z,CN=*.razer.com,*.razer.com,,*.razer.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,4c40f83014e2468194ab174af80ef3e4,5027c7cefec7c2d061b32ca76358ec8f81ff30c66b32774cf04fa84a25270398,ctls,axon.razer.com,,443,https://axon.razer.com:443,https,,text/plain,GET,18.206.103.215,/,-429073533,52.200.49.16,,1,False,,,True,,,,
blackhawk-posa.gold.razer.com,Access Denied,403,286,blackhawk-posa.gold.razer.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-12T00:00:00Z,2024-06-13T23:59:59Z,"CN=gold.razer.com, O=Razer (Asia-Pacific) Pte. Ltd., L=Singapore, C=SG",gold.razer.com,Razer (Asia-Pacific) Pte. Ltd.,zmerchant.gold.razer.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,f9d2190633a090a506628c3a39101b1c,0a5ec07b5efc4b2579b792f0204df60afe17ede0b1e8130bae6f0b212d81dec9,ctls,blackhawk-posa.gold.razer.com,,443,https://blackhawk-posa.gold.razer.com:443,https,AkamaiGHost,text/html,GET,95.101.111.151,/,-1852894638,2a02:26f0:ab00::214:8e68,,10,False,,,,,,,
campaigns.razer.com,403 Forbidden,403,303,campaigns.razer.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-12T00:00:00Z,2024-03-11T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",campaigns.razer.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ef99e7d25655e6e554382f37174ce605,ee694ca3f0e04e1d536602fffd20c36bc54ec84a9721a971d58b6119a375f5d5,ctls,campaigns.razer.com,cloudflare,443,https://campaigns.razer.com:443,https,cloudflare,text/html,GET,104.16.191.67,/,-940897431,2606:4700::6810:be43,Cloudflare,14,False,True,,,,,,
careers.razer.com,,403,673893,careers.razer.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-14T00:00:00Z,2024-04-13T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",careers.razer.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",4ff541437648254dc03286f34f31aee4,1a57a10e73d81167f5a5db7329a87afc8f4e1933055da0b67acb9c70dba2e847,ctls,careers.razer.com,cloudflare,443,https://careers.razer.com:443,https,cloudflare,text/html,GET,104.16.190.67,/,1508268613,2606:4700::6810:bf43,Cloudflare,96,False,True,,,,,,
ccv2-d1.phoenix.razer.com,SAP Commerce Cloud - Forbidden,403,25708,ccv2-d1.phoenix.razer.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-08T10:11:47Z,2024-06-07T10:11:47Z,"CN=SAP Commerce Cloud, O=SAP CX",SAP Commerce Cloud,SAP CX,ingress.local,"CN=SAP Commerce Cloud, O=SAP CX",SAP Commerce Cloud,SAP CX,042b216eda851b30b5e7f8a9ed553446,afa602d63dd65f8540c581c5ad67a62bcd2750e9bade0ace8e04d064002a8cb8,ctls,ccv2-d1.phoenix.razer.com,azure,443,https://ccv2-d1.phoenix.razer.com:443,https,*,text/html,GET,13.90.200.228,/,-110664978,13.90.200.228,HSTS,113,False,True,True,,,True,,
ccv2-p2.phoenix.razer.com,HTTP Status 404 – Not Found,404,431,ccv2-p2.phoenix.razer.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-20T03:24:42Z,2024-07-19T03:24:42Z,"CN=SAP Commerce Cloud, O=SAP CX",SAP Commerce Cloud,SAP CX,ingress.local,"CN=SAP Commerce Cloud, O=SAP CX",SAP Commerce Cloud,SAP CX,d1368e62754af87fd004760ffb41f3ba,3e22c972bd7a693785dd2d3d9f6fd061cf8efcb85a2544a48684a08b439d83cb,ctls,ccv2-p2.phoenix.razer.com,azure,443,https://ccv2-p2.phoenix.razer.com:443,https,*,text/html,GET,13.92.0.46,/,-230353730,13.92.0.46,HSTS,1,False,True,True,,,True,,
