new,host,a,cname,soa,ns,status_code,aaaa,cdn,cdn-name,mx,txt,has_internal_ips,internal_ips,caa
[x],035-0.journal.cbre.com,"165.160.15.20, 165.160.13.20",,"dns1.cscdns.net, hostmaster.cscdns.net",,NOERROR,,,,,,,,
[x],04-6-9.gcsonp.cbre.com,"54.243.37.69, 44.213.12.200, 34.198.134.57",kitten-cert-alb-pub-59113694.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],04-77-6-1.gcsonp.cbre.com,"34.198.134.57, 54.243.37.69, 44.213.12.200",kitten-cert-alb-pub-59113694.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],04-77-6-7.gcsonp.cbre.com,"34.198.134.57, 54.243.37.69, 44.213.12.200",kitten-cert-alb-pub-59113694.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],05-0-6-6.gcsonp.cbre.com,"44.213.12.200, 54.243.37.69, 34.198.134.57",kitten-cert-alb-pub-59113694.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com","ns-1119.awsdns-11.org, ns-1793.awsdns-32.co.uk, ns-235.awsdns-29.com, ns-934.awsdns-52.net",NOERROR,,,,,,,,
[x],05-0-84.gcsonp.cbre.com,,kitten-cert-alb-pub-59113694.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],05-37-8.gcsonp.cbre.com,"44.213.12.200, 54.243.37.69, 34.198.134.57",kitten-cert-alb-pub-59113694.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],05-4-08-3.gcsonp.cbre.com,"44.213.12.200, 54.243.37.69, 34.198.134.57",kitten-cert-alb-pub-59113694.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],05-62-1-2.gcsonp.cbre.com,"44.213.12.200, 34.198.134.57, 54.243.37.69",kitten-cert-alb-pub-59113694.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com","ns-1119.awsdns-11.org, ns-1793.awsdns-32.co.uk, ns-235.awsdns-29.com, ns-934.awsdns-52.net",NOERROR,,,,,,,,
[x],05-62-1-2.journal.cbre.com,"165.160.13.20, 165.160.15.20",,"dns1.cscdns.net, hostmaster.cscdns.net","dns1.cscdns.net, dns2.cscdns.net",NOERROR,,,,,,,,
[x],05-97-9.gcsonp.cbre.com,"54.243.37.69, 34.198.134.57, 44.213.12.200",kitten-cert-alb-pub-59113694.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],054-81.gcsonp.cbre.com,"54.243.37.69, 34.198.134.57, 44.213.12.200",kitten-cert-alb-pub-59113694.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],054-81.journal.cbre.com,"165.160.15.20, 165.160.13.20",,"dns1.cscdns.net, hostmaster.cscdns.net",,NOERROR,,,,,,,,
[x],058-3-8.gcsonp.cbre.com,"54.243.37.69, 34.198.134.57, 44.213.12.200",kitten-cert-alb-pub-59113694.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],058-87.gcsonp.cbre.com,"44.213.12.200, 54.243.37.69, 34.198.134.57",kitten-cert-alb-pub-59113694.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],059-0-4.gcsonp.cbre.com,"34.198.134.57, 44.213.12.200, 54.243.37.69",kitten-cert-alb-pub-59113694.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],06-57-18.gcsonp.cbre.com,"44.213.12.200, 54.243.37.69, 34.198.134.57",kitten-cert-alb-pub-59113694.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],068-3-8.gcsonp.cbre.com,"54.243.37.69, 44.213.12.200, 34.198.134.57",kitten-cert-alb-pub-59113694.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],069a.gcsonp.cbre.com,"54.243.37.69, 44.213.12.200, 34.198.134.57",kitten-cert-alb-pub-59113694.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],069a.journal.cbre.com,"165.160.15.20, 165.160.13.20",,"dns1.cscdns.net, hostmaster.cscdns.net",,NOERROR,,,,,,,,
[x],07bb.gcsonp.cbre.com,"54.243.37.69, 34.198.134.57, 44.213.12.200",kitten-cert-alb-pub-59113694.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],08-46.gcsonp.cbre.com,"54.243.37.69, 44.213.12.200, 34.198.134.57",kitten-cert-alb-pub-59113694.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],08-46.journal.cbre.com,"165.160.15.20, 165.160.13.20",,"dns1.cscdns.net, hostmaster.cscdns.net",,NOERROR,,,,,,,,
[x],09-11.gcsonp.cbre.com,"34.198.134.57, 44.213.12.200, 54.243.37.69",kitten-cert-alb-pub-59113694.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],09ff827c.gcsonp.cbre.com,"44.213.12.200, 54.243.37.69, 34.198.134.57",kitten-cert-alb-pub-59113694.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],0dpurknyjztxl.gcsonp.cbre.com,"54.243.37.69, 44.213.12.200, 34.198.134.57",kitten-cert-alb-pub-59113694.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],0ede8dce.gcsonp.cbre.com,"34.198.134.57, 54.243.37.69, 44.213.12.200",kitten-cert-alb-pub-59113694.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],0ede8dce.journal.cbre.com,"165.160.13.20, 165.160.15.20",,"dns1.cscdns.net, hostmaster.cscdns.net",,NOERROR,,,,,,,,
[x],0w9g.gcsonp.cbre.com,"34.198.134.57, 44.213.12.200, 54.243.37.69",kitten-cert-alb-pub-59113694.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],0w9g.journal.cbre.com,"165.160.13.20, 165.160.15.20",,"dns1.cscdns.net, hostmaster.cscdns.net",,NOERROR,,,,,,,,
[x],1-7-7-6.gcsonp.cbre.com,"44.213.12.200, 34.198.134.57, 54.243.37.69",kitten-cert-alb-pub-59113694.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],1-75.journal.cbre.com,"165.160.13.20, 165.160.15.20",,"dns1.cscdns.net, hostmaster.cscdns.net",,NOERROR,,,,,,,,
[x],1-costatest-alb-okta-default-w3.gcsonp.cbre.com,"54.243.37.69, 34.198.134.57, 44.213.12.200",kitten-cert-alb-pub-59113694.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],1-costatest-alb-okta-default-w3.journal.cbre.com,"165.160.13.20, 165.160.15.20",,"dns1.cscdns.net, hostmaster.cscdns.net","dns1.cscdns.net, dns2.cscdns.net",NOERROR,,,,,,,,
[x],10-6-4.journal.cbre.com,"165.160.15.20, 165.160.13.20",,"dns1.cscdns.net, hostmaster.cscdns.net","dns1.cscdns.net, dns2.cscdns.net",NOERROR,,,,,,,,
[x],10-data.gcsonp.cbre.com,"34.198.134.57, 44.213.12.200, 54.243.37.69",kitten-cert-alb-pub-59113694.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],100paul.gcsonp.cbre.com,"34.198.134.57, 54.243.37.69, 44.213.12.200",kitten-cert-alb-pub-59113694.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],11-7-2-6.gcsonp.cbre.com,"44.213.12.200, 34.198.134.57, 54.243.37.69",kitten-cert-alb-pub-59113694.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com","ns-1119.awsdns-11.org, ns-1793.awsdns-32.co.uk, ns-235.awsdns-29.com, ns-934.awsdns-52.net",NOERROR,,,,,,,,
[x],11-73-5.gcsonp.cbre.com,"44.213.12.200, 54.243.37.69, 34.198.134.57",kitten-cert-alb-pub-59113694.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com","ns-1119.awsdns-11.org, ns-1793.awsdns-32.co.uk, ns-235.awsdns-29.com, ns-934.awsdns-52.net",NOERROR,,,,,,,,
[x],116-6-9.gcsonp.cbre.com,"44.213.12.200, 54.243.37.69, 34.198.134.57",kitten-cert-alb-pub-59113694.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],117-76.journal.cbre.com,"165.160.15.20, 165.160.13.20",,"dns1.cscdns.net, hostmaster.cscdns.net",,NOERROR,,,,,,,,
[x],12-75.gcsonp.cbre.com,"44.213.12.200, 34.198.134.57, 54.243.37.69",kitten-cert-alb-pub-59113694.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],12mopic.gcsonp.cbre.com,"44.213.12.200, 34.198.134.57, 54.243.37.69",kitten-cert-alb-pub-59113694.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],13-3-16.gcsonp.cbre.com,"34.198.134.57, 44.213.12.200, 54.243.37.69",kitten-cert-alb-pub-59113694.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],13-3-17.gcsonp.cbre.com,"54.243.37.69, 44.213.12.200, 34.198.134.57",kitten-cert-alb-pub-59113694.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],13-3-8-0.gcsonp.cbre.com,"34.198.134.57, 44.213.12.200, 54.243.37.69",kitten-cert-alb-pub-59113694.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],139-09.journal.cbre.com,"165.160.13.20, 165.160.15.20",,"dns1.cscdns.net, hostmaster.cscdns.net",,NOERROR,,,,,,,,
[x],139-49.gcsonp.cbre.com,"44.213.12.200, 34.198.134.57, 54.243.37.69",kitten-cert-alb-pub-59113694.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com","ns-1119.awsdns-11.org, ns-1793.awsdns-32.co.uk, ns-235.awsdns-29.com, ns-934.awsdns-52.net",NOERROR,,,,,,,,
[x],14-tech.gcsonp.cbre.com,"44.213.12.200, 54.243.37.69, 34.198.134.57",kitten-cert-alb-pub-59113694.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],15-0-6-7.gcsonp.cbre.com,"34.198.134.57, 54.243.37.69, 44.213.12.200",kitten-cert-alb-pub-59113694.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],15-3-9-2.gcsonp.cbre.com,"54.243.37.69, 34.198.134.57, 44.213.12.200",kitten-cert-alb-pub-59113694.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],15-3-9-2.journal.cbre.com,"165.160.13.20, 165.160.15.20",,"dns1.cscdns.net, hostmaster.cscdns.net",,NOERROR,,,,,,,,
[x],15-92-6.gcsonp.cbre.com,"54.243.37.69, 44.213.12.200, 34.198.134.57",kitten-cert-alb-pub-59113694.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],15-antivirus.gcsonp.cbre.com,"54.243.37.69, 44.213.12.200, 34.198.134.57",kitten-cert-alb-pub-59113694.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],151-12.gcsonp.cbre.com,"34.198.134.57, 44.213.12.200, 54.243.37.69",kitten-cert-alb-pub-59113694.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],151-16.journal.cbre.com,"165.160.13.20, 165.160.15.20",,"dns1.cscdns.net, hostmaster.cscdns.net",,NOERROR,,,,,,,,
[x],155-9-183-50.gcsonp.cbre.com,"44.213.12.200, 34.198.134.57, 54.243.37.69",kitten-cert-alb-pub-59113694.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],155-9-183-76.gcsonp.cbre.com,"44.213.12.200, 54.243.37.69, 34.198.134.57",kitten-cert-alb-pub-59113694.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],155-9-187-27.gcsonp.cbre.com,"54.243.37.69, 34.198.134.57, 44.213.12.200",kitten-cert-alb-pub-59113694.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],155-9-187-42.journal.cbre.com,"165.160.13.20, 165.160.15.20",,"dns1.cscdns.net, hostmaster.cscdns.net",,NOERROR,,,,,,,,
[x],155-9-192-44.gcsonp.cbre.com,"44.213.12.200, 34.198.134.57, 54.243.37.69",kitten-cert-alb-pub-59113694.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],155-9-199-14.gcsonp.cbre.com,"44.213.12.200, 54.243.37.69, 34.198.134.57",kitten-cert-alb-pub-59113694.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],155-9-199-33.gcsonp.cbre.com,"54.243.37.69, 34.198.134.57, 44.213.12.200",kitten-cert-alb-pub-59113694.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],155-9-207-26.gcsonp.cbre.com,"54.243.37.69, 34.198.134.57, 44.213.12.200",kitten-cert-alb-pub-59113694.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],155-9-210-18.gcsonp.cbre.com,"44.213.12.200, 34.198.134.57, 54.243.37.69",kitten-cert-alb-pub-59113694.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],155-9-210-18.journal.cbre.com,"165.160.13.20, 165.160.15.20",,"dns1.cscdns.net, hostmaster.cscdns.net",,NOERROR,,,,,,,,
[x],155-9-210-30.gcsonp.cbre.com,"34.198.134.57, 54.243.37.69, 44.213.12.200",kitten-cert-alb-pub-59113694.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],155-9-216-84.gcsonp.cbre.com,"44.213.12.200, 54.243.37.69, 34.198.134.57",kitten-cert-alb-pub-59113694.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],155-9-224-30.gcsonp.cbre.com,"44.213.12.200, 34.198.134.57, 54.243.37.69",kitten-cert-alb-pub-59113694.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com","ns-1119.awsdns-11.org, ns-1793.awsdns-32.co.uk, ns-235.awsdns-29.com, ns-934.awsdns-52.net",NOERROR,,,,,,,,
[x],155-9-240-33.gcsonp.cbre.com,"54.243.37.69, 44.213.12.200, 34.198.134.57",kitten-cert-alb-pub-59113694.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],155-9-240-90.gcsonp.cbre.com,"34.198.134.57, 44.213.12.200, 54.243.37.69",kitten-cert-alb-pub-59113694.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],155-9-243-92.gcsonp.cbre.com,"44.213.12.200, 54.243.37.69, 34.198.134.57",kitten-cert-alb-pub-59113694.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],155-9-52-58.gcsonp.cbre.com,"44.213.12.200, 34.198.134.57, 54.243.37.69",kitten-cert-alb-pub-59113694.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],155-9-52-58.journal.cbre.com,"165.160.15.20, 165.160.13.20",,"dns1.cscdns.net, hostmaster.cscdns.net",,NOERROR,,,,,,,,
[x],155-9-76-13.gcsonp.cbre.com,"54.243.37.69, 34.198.134.57, 44.213.12.200",kitten-cert-alb-pub-59113694.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],155-9-76-46.gcsonp.cbre.com,"34.198.134.57, 54.243.37.69, 44.213.12.200",kitten-cert-alb-pub-59113694.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],157-60-6.gcsonp.cbre.com,"34.198.134.57, 44.213.12.200, 54.243.37.69",kitten-cert-alb-pub-59113694.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],157-9-23.gcsonp.cbre.com,"54.243.37.69, 44.213.12.200, 34.198.134.57",kitten-cert-alb-pub-59113694.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],157-9-95.gcsonp.cbre.com,"44.213.12.200, 34.198.134.57, 54.243.37.69",kitten-cert-alb-pub-59113694.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],159-4-3.gcsonp.cbre.com,"54.243.37.69, 44.213.12.200, 34.198.134.57",kitten-cert-alb-pub-59113694.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],16-04-4-9.gcsonp.cbre.com,"34.198.134.57, 44.213.12.200, 54.243.37.69",kitten-cert-alb-pub-59113694.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],16-5-76.gcsonp.cbre.com,"54.243.37.69, 34.198.134.57, 44.213.12.200",kitten-cert-alb-pub-59113694.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],16-7-8-4-3.gcsonp.cbre.com,"54.243.37.69, 44.213.12.200, 34.198.134.57",kitten-cert-alb-pub-59113694.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],16-76-9-4.gcsonp.cbre.com,"44.213.12.200, 54.243.37.69, 34.198.134.57",kitten-cert-alb-pub-59113694.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com","ns-1119.awsdns-11.org, ns-1793.awsdns-32.co.uk, ns-235.awsdns-29.com, ns-934.awsdns-52.net",NOERROR,,,,,,,,
[x],16-76-9-4.journal.cbre.com,"165.160.15.20, 165.160.13.20",,"dns1.cscdns.net, hostmaster.cscdns.net","dns1.cscdns.net, dns2.cscdns.net",NOERROR,,,,,,,,
[x],162-5.gcsonp.cbre.com,"34.198.134.57, 44.213.12.200, 54.243.37.69",kitten-cert-alb-pub-59113694.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],163-08.gcsonp.cbre.com,"34.198.134.57, 44.213.12.200, 54.243.37.69",kitten-cert-alb-pub-59113694.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],163-08.journal.cbre.com,"165.160.13.20, 165.160.15.20",,"dns1.cscdns.net, hostmaster.cscdns.net","dns1.cscdns.net, dns2.cscdns.net",NOERROR,,,,,,,,
[x],163-9-6-5.gcsonp.cbre.com,"44.213.12.200, 54.243.37.69, 34.198.134.57",kitten-cert-alb-pub-59113694.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com","ns-1119.awsdns-11.org, ns-1793.awsdns-32.co.uk, ns-235.awsdns-29.com, ns-934.awsdns-52.net",NOERROR,,,,,,,,
[x],163-9-65.gcsonp.cbre.com,"44.213.12.200, 54.243.37.69, 34.198.134.57",kitten-cert-alb-pub-59113694.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],17-121-112-10.gcsonp.cbre.com,"44.213.12.200, 34.198.134.57, 54.243.37.69",kitten-cert-alb-pub-59113694.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],17-121-112-2.gcsonp.cbre.com,"34.198.134.57, 44.213.12.200, 54.243.37.69",kitten-cert-alb-pub-59113694.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],17-121-112-79.journal.cbre.com,"165.160.13.20, 165.160.15.20",,"dns1.cscdns.net, hostmaster.cscdns.net",,NOERROR,,,,,,,,
[x],17-121-112-90.gcsonp.cbre.com,"54.243.37.69, 44.213.12.200, 34.198.134.57",kitten-cert-alb-pub-59113694.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],17-121-113-12.gcsonp.cbre.com,"54.243.37.69, 34.198.134.57, 44.213.12.200",kitten-cert-alb-pub-59113694.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],17-121-113-26.gcsonp.cbre.com,"54.243.37.69, 34.198.134.57, 44.213.12.200",kitten-cert-alb-pub-59113694.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
