input,title,status_code,content_length,csp_domains_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,location,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn_name,webserver,cdn,tls_mismatched,final_url
belastingmarathon.tickets.hln.be,Tickets de Belastingmarathon,200,16881,,belastingmarathon.tickets.hln.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-10T13:30:10Z,2023-08-08T13:30:09Z,CN=belastingmarathon.tickets.hln.be,belastingmarathon.tickets.hln.be,,belastingmarathon.tickets.hln.be,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,47edbd3a43e8f07a0ea6f92ecfc05da7,65bc000311b022e92ff9319b6e0cd98555f336d1904ba190d5b1027d5617fb08,,ctls,belastingmarathon.tickets.hln.be,443,https://belastingmarathon.tickets.hln.be:443,,https,text/html,GET,86.39.65.98,/,-51303940,2a00:6ec0:101:1:0:98:0:1,Google Tag Manager,459,False,,,,,https://belastingmarathon.tickets.hln.be/closed
beta-voordelen.hln.be,Service Unavailable,503,269,,beta-voordelen.hln.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-23T13:52:36Z,2023-08-21T13:52:35Z,CN=abonnement.hln.be,abonnement.hln.be,,www.mijnleesbox.be,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,b06496ef87e0d1b93bdabe4a4d8d9056,c1e45a7c1a7cba73be1feb0071ab7860a07868929c98ca1363c2af8a8d442ce2,,ctls,beta-voordelen.hln.be,443,https://beta-voordelen.hln.be:443,,https,text/html,GET,2.17.100.186,/,898063510,2a02:26f0:480:23::1726:62a0,,9,False,,AkamaiGHost,,,
beta.tickets.hln.be,Tickoweb,200,239,,beta.tickets.hln.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-25T10:55:39Z,2023-08-23T10:55:38Z,CN=00tickoweb.tickoweb.be,00tickoweb.tickoweb.be,,00tickoweb.tickoweb.be,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ba33862ca573ea6708ad8f9b0c1549fc,4da547a8e076ca9aeaa0094880ec5b12f4fd927e28dce1f1b8bdb264d370a791,,ctls,beta.tickets.hln.be,443,https://beta.tickets.hln.be:443,,https,text/html,GET,86.39.65.98,/,1210327255,2a00:6ec0:101:1:0:98:0:1,,15,False,,,,True,
blog.tickets.hln.be,Tickoweb,200,239,,blog.tickets.hln.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-25T10:55:39Z,2023-08-23T10:55:38Z,CN=00tickoweb.tickoweb.be,00tickoweb.tickoweb.be,,00tickoweb.tickoweb.be,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ba33862ca573ea6708ad8f9b0c1549fc,4da547a8e076ca9aeaa0094880ec5b12f4fd927e28dce1f1b8bdb264d370a791,,ctls,blog.tickets.hln.be,443,https://blog.tickets.hln.be:443,,https,text/html,GET,86.39.65.98,/,1210327255,2a00:6ec0:101:1:0:98:0:1,,15,False,,,,True,
brandedcontent.hln.be,DPG Media Privacy Gate,200,8834,,myprivacy.dpgmedia.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-10T00:00:00Z,2024-01-12T23:59:59Z,"CN=*.dpgmedia.be, O=DPG Media Services nv, L=Antwerpen, C=BE",*.dpgmedia.be,DPG Media Services nv,dpgmedia.be,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9ddc8be1048d6e44ff97fcb4627e7db9,587620209568fd2623e8b85cba1994a74830924cd2eeae4a8a2bc7b7be641328,True,ctls,myprivacy.dpgmedia.be,443,https://brandedcontent.hln.be:443,,https,text/html,GET,2.16.187.96,/,-780928015,2a02:26f0:ab00::214:8e60,Google Tag Manager,278,False,,,,,https://myprivacy.dpgmedia.be/consent?siteKey=uqxf9txhjmag4pbq&callbackUrl=https%3A%2F%2Fbrandedcontent.hln.be%2Fprivacygate-confirm%3FredirectUri%3D%252F
brandedcontentbe.hln.be,DPG Media Branded Content -,200,16461,,brandedcontentbe.hln.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-30T04:53:52Z,2023-09-28T04:53:51Z,CN=persgroep.be,persgroep.be,,www.willy.radio,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,9996f325023724981564f1b5e3038f54,b79475021f3b18e6a1886e25e3455da88bfd5ac20a7c37525853f0263a64421d,,ctls,brandedcontentbe.hln.be,443,https://brandedcontentbe.hln.be:443,,https,text/html,GET,95.101.111.152,/,-1936291165,2a02:26f0:480:23::1726:628a,Yoast SEO:19.12,114,False,,Apache,,,
c.hln.be,,404,13,,c.hln.be,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-30T00:00:00Z,2024-04-28T23:59:59Z,CN=c.hln.be,c.hln.be,,c.hln.be,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,39148741968c53e6fea13710081e8835,598868a5f99ab1677becdfb9fbe91bda3c93b2ac61c8d2bb9b5c949177565945,,ctls,c.hln.be,443,https://c.hln.be:443,,https,text/plain,GET,52.51.135.206,/,-1420358624,52.31.18.165,Nginx,1,False,,nginx,,,
cdn.tickets.hln.be,Tickoweb,200,239,,cdn.tickets.hln.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-25T10:55:39Z,2023-08-23T10:55:38Z,CN=00tickoweb.tickoweb.be,00tickoweb.tickoweb.be,,00tickoweb.tickoweb.be,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ba33862ca573ea6708ad8f9b0c1549fc,4da547a8e076ca9aeaa0094880ec5b12f4fd927e28dce1f1b8bdb264d370a791,,ctls,cdn.tickets.hln.be,443,https://cdn.tickets.hln.be:443,,https,text/html,GET,86.39.65.98,/,1210327255,2a00:6ec0:101:1:0:98:0:1,,15,False,,,,True,
challenges.hln.be,Site Not Found,404,10601,,challenges.hln.be,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-10T15:01:49Z,2023-08-08T15:01:48Z,CN=firebaseapp.com,firebaseapp.com,,*.firebaseapp.com,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,cc59b1ce64c007f908beadff65f256aa,434d2dc184da241f222572b1acac8f981e56ad83c575103da9c190d7262db00c,True,ctls,challenges.hln.be,443,https://challenges.hln.be:443,,https,text/html,GET,151.101.1.195,/,418528509,151.101.65.195,HTTP/3,107,False,fastly,,True,True,
cms1.tickets.hln.be,Tickoweb,200,239,,cms1.tickets.hln.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-25T10:55:39Z,2023-08-23T10:55:38Z,CN=00tickoweb.tickoweb.be,00tickoweb.tickoweb.be,,00tickoweb.tickoweb.be,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ba33862ca573ea6708ad8f9b0c1549fc,4da547a8e076ca9aeaa0094880ec5b12f4fd927e28dce1f1b8bdb264d370a791,,ctls,cms1.tickets.hln.be,443,https://cms1.tickets.hln.be:443,,https,text/html,GET,86.39.65.98,/,1210327255,2a00:6ec0:101:1:0:98:0:1,,15,False,,,,True,
content.tickets.hln.be,Tickoweb,200,239,,content.tickets.hln.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-25T10:55:39Z,2023-08-23T10:55:38Z,CN=00tickoweb.tickoweb.be,00tickoweb.tickoweb.be,,00tickoweb.tickoweb.be,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ba33862ca573ea6708ad8f9b0c1549fc,4da547a8e076ca9aeaa0094880ec5b12f4fd927e28dce1f1b8bdb264d370a791,,ctls,content.tickets.hln.be,443,https://content.tickets.hln.be:443,,https,text/html,GET,86.39.65.98,/,1210327255,2a00:6ec0:101:1:0:98:0:1,,15,False,,,,True,
dagkrant.hln.be,,200,483,,krant.hln.be,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384,2023-03-09T22:00:48Z,2023-09-04T21:59:00Z,CN=krant.hln.be,krant.hln.be,,krant.hln.be,"CN=Buypass Class 2 CA 5, O=Buypass AS-983163327, C=NO",Buypass Class 2 CA 5,Buypass AS-983163327,eac9f53dbd86a0e07f8114a93f3cef4c,a42a830ccd8917464aff35384eeed5754eb7b1069a5704252464e1b110f30fc3,,ctls,krant.hln.be,443,https://dagkrant.hln.be:443,,https,text/html,GET,146.185.53.23,/,-768928489,146.185.53.23,PHP,4,False,,nginx,,,https://krant.hln.be/w/dpg2/?edition=HLN1&customer=hetlaatstenieuws&folder=7866&folder_key=1963bd5135521d623f6c29e6b1174975&catalog=42663&date=2023-02-04&user_ip=54.93.186.55&user_agent=Mozilla%2F5.0+%28iPhone%3B+CPU+iPhone+OS+15_5+like+Mac+OS+X%29+AppleWebKit%2F605.1.15+%28KHTML%2C+like+Gecko%29+Version%2F15.5+Mobile%2F15E148+Safari%2F604.1&client_url=https%3A%2F%2Fkrant.hln.be%2F&secret=afb23566cd7fdc267ea7fd05a12983e0
dashboard.tickets.hln.be,Tickoweb,200,239,,dashboard.tickets.hln.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-25T10:55:39Z,2023-08-23T10:55:38Z,CN=00tickoweb.tickoweb.be,00tickoweb.tickoweb.be,,00tickoweb.tickoweb.be,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ba33862ca573ea6708ad8f9b0c1549fc,4da547a8e076ca9aeaa0094880ec5b12f4fd927e28dce1f1b8bdb264d370a791,,ctls,dashboard.tickets.hln.be,443,https://dashboard.tickets.hln.be:443,,https,text/html,GET,86.39.65.98,/,1210327255,2a00:6ec0:101:1:0:98:0:1,,15,False,,,,True,
dev-service.hln.be,403 Forbidden,403,199,,dev-service.hln.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-11T00:00:00Z,2023-10-11T23:59:59Z,"CN=*.hln.be, O=DPG Media Services N.V., L=Antwerpen, C=BE",*.hln.be,DPG Media Services N.V.,hln.be,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,b4a7161105e124fe24ece50af3d72c55,b44b6568ec50bbc6ef42f6d17fcf93afd28ade3cdf5196f2b381b399dc81c914,True,ctls,dev-service.hln.be,443,https://dev-service.hln.be:443,,https,text/html,GET,2.17.100.184,/,-855688948,2a02:26f0:ab00::214:8e49,,8,False,,,,,
developer.tickets.hln.be,Tickoweb,200,239,,developer.tickets.hln.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-25T10:55:39Z,2023-08-23T10:55:38Z,CN=00tickoweb.tickoweb.be,00tickoweb.tickoweb.be,,00tickoweb.tickoweb.be,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ba33862ca573ea6708ad8f9b0c1549fc,4da547a8e076ca9aeaa0094880ec5b12f4fd927e28dce1f1b8bdb264d370a791,,ctls,developer.tickets.hln.be,443,https://developer.tickets.hln.be:443,,https,text/html,GET,86.39.65.98,/,1210327255,2a00:6ec0:101:1:0:98:0:1,,15,False,,,,True,
developers.tickets.hln.be,Tickoweb,200,239,,developers.tickets.hln.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-25T10:55:39Z,2023-08-23T10:55:38Z,CN=00tickoweb.tickoweb.be,00tickoweb.tickoweb.be,,00tickoweb.tickoweb.be,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ba33862ca573ea6708ad8f9b0c1549fc,4da547a8e076ca9aeaa0094880ec5b12f4fd927e28dce1f1b8bdb264d370a791,,ctls,developers.tickets.hln.be,443,https://developers.tickets.hln.be:443,,https,text/html,GET,86.39.65.98,/,1210327255,2a00:6ec0:101:1:0:98:0:1,,15,False,,,,True,
digitalekrant.hln.be,,200,483,,krant.hln.be,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384,2023-03-09T22:00:48Z,2023-09-04T21:59:00Z,CN=krant.hln.be,krant.hln.be,,krant.hln.be,"CN=Buypass Class 2 CA 5, O=Buypass AS-983163327, C=NO",Buypass Class 2 CA 5,Buypass AS-983163327,eac9f53dbd86a0e07f8114a93f3cef4c,a42a830ccd8917464aff35384eeed5754eb7b1069a5704252464e1b110f30fc3,,ctls,krant.hln.be,443,https://digitalekrant.hln.be:443,,https,text/html,GET,46.30.127.85,/,-1531841733,46.30.126.159,PHP,4,False,,nginx,,,https://krant.hln.be/w/dpg2/?edition=HLN1&customer=hetlaatstenieuws&folder=7866&folder_key=1963bd5135521d623f6c29e6b1174975&catalog=42663&date=2023-02-04&user_ip=54.93.186.55&user_agent=Mozilla%2F5.0+%28iPhone%3B+CPU+iPhone+OS+15_5+like+Mac+OS+X%29+AppleWebKit%2F605.1.15+%28KHTML%2C+like+Gecko%29+Version%2F15.5+Mobile%2F15E148+Safari%2F604.1&client_url=https%3A%2F%2Fkrant.hln.be%2F&secret=2815d4f97fa5ba705f146ff14333c76a
ditwas2021.hln.be,Dit was 2021 | HLN.be,200,213862,,gvassets.hln.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-11T00:00:00Z,2023-10-11T23:59:59Z,"CN=*.hln.be, O=DPG Media Services N.V., L=Antwerpen, C=BE",*.hln.be,DPG Media Services N.V.,hln.be,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,b4a7161105e124fe24ece50af3d72c55,b44b6568ec50bbc6ef42f6d17fcf93afd28ade3cdf5196f2b381b399dc81c914,True,ctls,gvassets.hln.be,443,https://ditwas2021.hln.be:443,,https,text/html,GET,13.248.216.138,/,-1238257707,76.223.83.89,Amazon Web Services,1955,False,,AmazonS3,,,https://gvassets.hln.be:443/one-off/foto-van-het-jaar/2021/
dpg.geldwijzer.hln.be,,403,42,,dpg.geldwijzer.hln.be,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2023-10-06T23:59:59Z,CN=dpg.geldwijzer.hln.be,dpg.geldwijzer.hln.be,,*.dpg.geldwijzer.hln.be,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,f87bb23e2e7324aaf090146e9e93b56d,0a302b71f625fbf0cbbe3c3c08e6f66b46288dac876de405cc3bab0f396e5efc,True,ctls,dpg.geldwijzer.hln.be,443,https://dpg.geldwijzer.hln.be:443,,https,application/json,GET,18.66.112.129,/,768769774,18.66.112.31,Amazon Web Services,1,False,cloudfront,,True,,
drive.hln.be,DPG Media Privacy Gate,200,8863,,myprivacy.dpgmedia.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-10T00:00:00Z,2024-01-12T23:59:59Z,"CN=*.dpgmedia.be, O=DPG Media Services nv, L=Antwerpen, C=BE",*.dpgmedia.be,DPG Media Services nv,dpgmedia.be,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9ddc8be1048d6e44ff97fcb4627e7db9,587620209568fd2623e8b85cba1994a74830924cd2eeae4a8a2bc7b7be641328,True,ctls,myprivacy.dpgmedia.be,443,https://drive.hln.be:443,,https,text/html,GET,2.17.100.184,/,848620150,2a02:26f0:ab00::214:8e49,Google Tag Manager,278,False,,,,,https://myprivacy.dpgmedia.be/consent?siteKey=sifyox4ipbjbbol2&callbackUrl=https%3a%2f%2fwww.hln.be%2fprivacy-gate%2faccept-tcf2%3fredirectUri%3dhttps%253a%252f%252fdrive.hln.be%252f
e.email.hln.be,"You received emails from this domain, didn't you?",200,15468,,e.email.hln.be,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-24T11:10:44Z,2023-08-22T11:10:43Z,CN=e.email.hln.be,e.email.hln.be,,e.email.hln.be,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,cda84e4e0fa235441e54cd5d141e78ca,e94455684b1d2da9f9c9628af9204ffea1558bfff1144cc06114ad92d941afb7,,ctls,e.email.hln.be,443,https://e.email.hln.be:443,,https,text/html,GET,185.136.64.6,/,-1812417198,185.136.65.6,Webflow,344,False,,nginx,,,
ebike.hln.be,Service Unavailable,503,268,,ebike.hln.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-11T00:00:00Z,2023-10-11T23:59:59Z,"CN=*.hln.be, O=DPG Media Services N.V., L=Antwerpen, C=BE",*.hln.be,DPG Media Services N.V.,hln.be,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,b4a7161105e124fe24ece50af3d72c55,b44b6568ec50bbc6ef42f6d17fcf93afd28ade3cdf5196f2b381b399dc81c914,True,ctls,ebike.hln.be,443,https://ebike.hln.be:443,,https,text/html,GET,2.16.187.25,/,1139134002,2a02:26f0:ab00::214:8e61,,9,False,,,,,
eknieuws.hln.be,Heroku | Application Error,404,563,,eknieuws.hln.be,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-02T00:00:00Z,2024-04-30T23:59:59Z,CN=*.herokuapp.com,*.herokuapp.com,,*.herokuapp.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,88bd37ba25ff788a89d20cf93968e72c,5160abd3492cde469269e4fcb843b51822ca5681745e916139dca15dd127a6a8,True,ctls,eknieuws.hln.be,443,https://eknieuws.hln.be:443,,https,text/html,GET,34.201.81.34,/,1719434788,54.243.129.215,,27,False,,heroku-router,,True,
engineering.tickets.hln.be,Tickoweb,200,239,,engineering.tickets.hln.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-25T10:55:39Z,2023-08-23T10:55:38Z,CN=00tickoweb.tickoweb.be,00tickoweb.tickoweb.be,,00tickoweb.tickoweb.be,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ba33862ca573ea6708ad8f9b0c1549fc,4da547a8e076ca9aeaa0094880ec5b12f4fd927e28dce1f1b8bdb264d370a791,,ctls,engineering.tickets.hln.be,443,https://engineering.tickets.hln.be:443,,https,text/html,GET,86.39.65.98,/,1210327255,2a00:6ec0:101:1:0:98:0:1,,15,False,,,,True,
