input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,csp_domains_,tls_mismatched,tls_expired,final_url,location
autodiscover.btcturk.com,Sign in to Outlook,200,38595,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-25T00:00:00Z,2024-05-25T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,7c7414a61d2496accd312122c5241231,2c204118a10394b7abd4cd1f9d1a885acb273a1ebe0091f82e567b1137495fb7,,ctls,login.microsoftonline.com,,80,http://autodiscover.btcturk.com:80,http,,text/html,GET,40.99.150.120,/,-1249852061,2603:1026:c0d:70::8,HSTS,95,False,,,,,https://login.microsoftonline.com/common/oauth2/authorize?client_id=00000002-0000-0ff1-ce00-000000000000&redirect_uri=https%3a%2f%2foutlook.office365.com%2fowa%2f&resource=00000002-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid&msafed=1&msaredir=1&client-request-id=94976010-fac7-da58-2d91-f668e78f3cb6&protectedtoken=true&claims=%7b%22id_token%22%3a%7b%22xms_cc%22%3a%7b%22values%22%3a%5b%22CP1%22%5d%7d%7d%7d&domain_hint=btcturk.com&nonce=638243819164864069.4d43b4a3-cd4d-4e5c-9aa7-ee5580c982ac&state=DctBEoMgDEBRaO_SrlCUgGHh9CwxyaLTOswg2uuXxfu7b40x9-7WWd9jlhRwhoBTnhJgAp_yAAJhAwqOBcSBRnaZaHGqMaLnjDOx7e9zLD8aX1Xpu69b43bWz8Blf1yy0tmKvA8ul9Y_,
bff-dev.btcturk.com,,403,16,bff-dev.btcturk.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-16T00:00:00Z,2024-06-28T23:59:59Z,"CN=*.btcturk.com, O=Eliptik Yazılım ve Ticaret Anonim Şirketi, L=Beşiktaş, ST=İstanbul, C=TR",*.btcturk.com,Eliptik Yazılım ve Ticaret Anonim Şirketi,btcturk.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,4c9e44f1fef26448b9569fea671fae35,bf22032603af64d22a8fca32b62cafe2c9d96989ababce2d14388b810cb827dd,True,ctls,bff-dev.btcturk.com,cloudflare,443,https://bff-dev.btcturk.com:443,https,cloudflare,text/plain,GET,104.16.214.13,/,1253481126,2606:4700::6811:6135,Cloudflare,1,False,True,,,,,
bff-dev2.btcturk.com,,403,16,bff-dev2.btcturk.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-16T00:00:00Z,2024-06-28T23:59:59Z,"CN=*.btcturk.com, O=Eliptik Yazılım ve Ticaret Anonim Şirketi, L=Beşiktaş, ST=İstanbul, C=TR",*.btcturk.com,Eliptik Yazılım ve Ticaret Anonim Şirketi,btcturk.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,4c9e44f1fef26448b9569fea671fae35,bf22032603af64d22a8fca32b62cafe2c9d96989ababce2d14388b810cb827dd,True,ctls,bff-dev2.btcturk.com,cloudflare,443,https://bff-dev2.btcturk.com:443,https,cloudflare,text/plain,GET,104.16.214.13,/,1253481126,2606:4700::6811:6135,Cloudflare,1,False,True,,,,,
bff-staging.btcturk.com,,404,,bff-staging.btcturk.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-16T00:00:00Z,2024-06-28T23:59:59Z,"CN=*.btcturk.com, O=Eliptik Yazılım ve Ticaret Anonim Şirketi, L=Beşiktaş, ST=İstanbul, C=TR",*.btcturk.com,Eliptik Yazılım ve Ticaret Anonim Şirketi,btcturk.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,4c9e44f1fef26448b9569fea671fae35,bf22032603af64d22a8fca32b62cafe2c9d96989ababce2d14388b810cb827dd,True,ctls,bff-staging.btcturk.com,cloudflare,443,https://bff-staging.btcturk.com:443,https,cloudflare,,GET,104.17.97.53,/,-1840324437,2606:4700::6811:6135,Cloudflare,1,False,True,,,,,
bff.btcturk.com,,404,,bff.btcturk.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-16T00:00:00Z,2024-06-28T23:59:59Z,"CN=*.btcturk.com, O=Eliptik Yazılım ve Ticaret Anonim Şirketi, L=Beşiktaş, ST=İstanbul, C=TR",*.btcturk.com,Eliptik Yazılım ve Ticaret Anonim Şirketi,btcturk.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,4c9e44f1fef26448b9569fea671fae35,bf22032603af64d22a8fca32b62cafe2c9d96989ababce2d14388b810cb827dd,True,ctls,bff.btcturk.com,cloudflare,443,https://bff.btcturk.com:443,https,cloudflare,,GET,104.17.97.53,/,-1840324437,2606:4700::6810:d60d,Cloudflare,1,False,True,,,,,
bilgibankasi.btcturk.com,Security check,403,7854,bilgibankasi.btcturk.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-03T23:38:30Z,2023-09-01T23:38:29Z,CN=bilgibankasi.btcturk.com,bilgibankasi.btcturk.com,,bilgibankasi.pro.btcturk.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,2208e733c474535850c38df06f341ce0,9a43eea1a8a2767ea9786a123e71aeb74945b9734161475150366fd911f1c545,,ctls,bilgibankasi.btcturk.com,cloudflare,443,https://bilgibankasi.btcturk.com:443,https,cloudflare,text/html,GET,104.16.51.111,/,-1279294674,104.16.53.111,Cloudflare,104,False,True,,,,https://bilgibankasi.btcturk.com/hc/tr,
btcturk.com,BtcTurk.com | Bitcoin Alım Satım Platformu,200,3371,www.btcturk.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-16T00:00:00Z,2024-06-28T23:59:59Z,"CN=*.btcturk.com, O=Eliptik Yazılım ve Ticaret Anonim Şirketi, L=Beşiktaş, ST=İstanbul, C=TR",*.btcturk.com,Eliptik Yazılım ve Ticaret Anonim Şirketi,btcturk.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,4c9e44f1fef26448b9569fea671fae35,bf22032603af64d22a8fca32b62cafe2c9d96989ababce2d14388b810cb827dd,True,ctls,www.btcturk.com,cloudflare,443,https://btcturk.com:443,https,cloudflare,text/html,GET,104.16.214.13,/,-562866923,2606:4700::6811:6135,hCaptcha,34,False,True,wss://*.btcturk.com,,,https://www.btcturk.com/,
cdn2.btcturk.com,,400,351,cdn2.btcturk.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-23T00:00:00Z,2024-02-23T23:59:59Z,"CN=sni1e636gl.wpc.edgecastcdn.net, O=Edgecast Inc., L=Los Angeles, ST=California, C=US",sni1e636gl.wpc.edgecastcdn.net,Edgecast Inc.,cdn2.btcturk.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,163c80d3c223022c7be0b92c4d93dfa7,236e05ffa862f39d1e112f76ca650c9f45b9393a03071899ca40530bd3d49c65,,ctls,cdn2.btcturk.com,,443,https://cdn2.btcturk.com:443,https,Microsoft-HTTPAPI/2.0,application/xml,GET,152.199.21.175,/,1737004703,2606:2800:233:1cb7:261b:1f9c:2074:3c,Microsoft HTTPAPI:2.0,3,False,,,,,,
dev-web.btcturk.com,Origin DNS error | dev-web.btcturk.com | Cloudflare,530,8577,dev-web.btcturk.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-16T00:00:00Z,2024-06-28T23:59:59Z,"CN=*.btcturk.com, O=Eliptik Yazılım ve Ticaret Anonim Şirketi, L=Beşiktaş, ST=İstanbul, C=TR",*.btcturk.com,Eliptik Yazılım ve Ticaret Anonim Şirketi,btcturk.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,4c9e44f1fef26448b9569fea671fae35,bf22032603af64d22a8fca32b62cafe2c9d96989ababce2d14388b810cb827dd,True,ctls,dev-web.btcturk.com,cloudflare,443,https://dev-web.btcturk.com:443,https,cloudflare,text/html,GET,104.16.214.13,/,-653999406,2606:4700::6811:6135,Cloudflare,92,False,True,,,,,
dev.btcturk.com,,403,16,dev.btcturk.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-16T00:00:00Z,2024-06-28T23:59:59Z,"CN=*.btcturk.com, O=Eliptik Yazılım ve Ticaret Anonim Şirketi, L=Beşiktaş, ST=İstanbul, C=TR",*.btcturk.com,Eliptik Yazılım ve Ticaret Anonim Şirketi,btcturk.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,4c9e44f1fef26448b9569fea671fae35,bf22032603af64d22a8fca32b62cafe2c9d96989ababce2d14388b810cb827dd,True,ctls,dev.btcturk.com,cloudflare,443,https://dev.btcturk.com:443,https,cloudflare,text/plain,GET,104.16.214.13,/,1253481126,2606:4700::6811:6135,Cloudflare,1,False,True,,,,,
donation-staging.btcturk.com,Earthquake Solidarity Donation,200,12466,donation-staging.btcturk.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-16T00:00:00Z,2024-06-28T23:59:59Z,"CN=*.btcturk.com, O=Eliptik Yazılım ve Ticaret Anonim Şirketi, L=Beşiktaş, ST=İstanbul, C=TR",*.btcturk.com,Eliptik Yazılım ve Ticaret Anonim Şirketi,btcturk.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,4c9e44f1fef26448b9569fea671fae35,bf22032603af64d22a8fca32b62cafe2c9d96989ababce2d14388b810cb827dd,True,ctls,donation-staging.btcturk.com,cloudflare,443,https://donation-staging.btcturk.com:443,https,cloudflare,text/html,GET,104.16.214.13,/,-1882731189,2606:4700::6811:6135,Google Tag Manager,307,False,True,,,,,
donation.btcturk.com,Earthquake Solidarity Donation,200,13725,donation.btcturk.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-16T00:00:00Z,2024-06-28T23:59:59Z,"CN=*.btcturk.com, O=Eliptik Yazılım ve Ticaret Anonim Şirketi, L=Beşiktaş, ST=İstanbul, C=TR",*.btcturk.com,Eliptik Yazılım ve Ticaret Anonim Şirketi,btcturk.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,4c9e44f1fef26448b9569fea671fae35,bf22032603af64d22a8fca32b62cafe2c9d96989ababce2d14388b810cb827dd,True,ctls,donation.btcturk.com,cloudflare,443,https://donation.btcturk.com:443,https,cloudflare,text/html,GET,104.16.214.13,/,-1882731189,2606:4700::6810:d60d,Google Tag Manager,351,False,True,,,,,
email-service.btcturk.com,Microsoft Azure Web App - Error 404,404,3852,email-service.btcturk.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-16T00:00:00Z,2024-06-28T23:59:59Z,"CN=*.btcturk.com, O=Eliptik Yazılım ve Ticaret Anonim Şirketi, L=Beşiktaş, ST=İstanbul, C=TR",*.btcturk.com,Eliptik Yazılım ve Ticaret Anonim Şirketi,btcturk.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,4c9e44f1fef26448b9569fea671fae35,bf22032603af64d22a8fca32b62cafe2c9d96989ababce2d14388b810cb827dd,True,ctls,email-service.btcturk.com,cloudflare,443,https://email-service.btcturk.com:443,https,cloudflare,text/html,GET,104.17.97.53,/,387302845,2606:4700::6810:d60d,Cloudflare,87,False,True,,,,,
enterpriseregistration.btcturk.com,Service,404,1565,enterpriseregistration.btcturk.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-07-03T00:00:00Z,2024-07-03T23:59:59Z,"CN=graph.windows.net, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",graph.windows.net,Microsoft Corporation,sts.windows.net,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,e7df1f16e52638c1dfeed42ec0ca9590,2ac4f3864729a635125d556395e9307bc2967b6675fdc970a1d9e7daad887c7f,True,ctls,enterpriseregistration.btcturk.com,azure,443,https://enterpriseregistration.btcturk.com:443,https,,text/html,GET,40.126.32.129,/,-2070773535,2603:1026:3000:150::2,HSTS,14,False,True,,True,,,
form-staging.btcturk.com,BtcTurk - Talep Oluştur,200,6484,form-staging.btcturk.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-16T00:00:00Z,2024-06-28T23:59:59Z,"CN=*.btcturk.com, O=Eliptik Yazılım ve Ticaret Anonim Şirketi, L=Beşiktaş, ST=İstanbul, C=TR",*.btcturk.com,Eliptik Yazılım ve Ticaret Anonim Şirketi,btcturk.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,4c9e44f1fef26448b9569fea671fae35,bf22032603af64d22a8fca32b62cafe2c9d96989ababce2d14388b810cb827dd,True,ctls,form-staging.btcturk.com,cloudflare,443,https://form-staging.btcturk.com:443,https,cloudflare,text/html,GET,104.16.214.13,/,1908147121,2606:4700::6811:6135,Microsoft ASP.NET,111,False,True,,,,,
form.btcturk.com,BtcTurk - Talep Oluştur,200,6417,form.btcturk.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-16T00:00:00Z,2024-06-28T23:59:59Z,"CN=*.btcturk.com, O=Eliptik Yazılım ve Ticaret Anonim Şirketi, L=Beşiktaş, ST=İstanbul, C=TR",*.btcturk.com,Eliptik Yazılım ve Ticaret Anonim Şirketi,btcturk.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,4c9e44f1fef26448b9569fea671fae35,bf22032603af64d22a8fca32b62cafe2c9d96989ababce2d14388b810cb827dd,True,ctls,form.btcturk.com,cloudflare,443,https://form.btcturk.com:443,https,cloudflare,text/html,GET,104.17.97.53,/,1908147121,2606:4700::6810:d60d,Microsoft ASP.NET,111,False,True,,,,,
giris.btcturk.com,,403,16,giris.btcturk.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-16T00:00:00Z,2024-06-28T23:59:59Z,"CN=*.btcturk.com, O=Eliptik Yazılım ve Ticaret Anonim Şirketi, L=Beşiktaş, ST=İstanbul, C=TR",*.btcturk.com,Eliptik Yazılım ve Ticaret Anonim Şirketi,btcturk.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,4c9e44f1fef26448b9569fea671fae35,bf22032603af64d22a8fca32b62cafe2c9d96989ababce2d14388b810cb827dd,True,ctls,giris.btcturk.com,cloudflare,443,https://giris.btcturk.com:443,https,cloudflare,text/plain,GET,104.16.214.13,/,1253481126,2606:4700::6811:6135,Cloudflare,1,False,True,,,,,
graph-api-dev.btcturk.com,,403,16,graph-api-dev.btcturk.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-16T00:00:00Z,2024-06-28T23:59:59Z,"CN=*.btcturk.com, O=Eliptik Yazılım ve Ticaret Anonim Şirketi, L=Beşiktaş, ST=İstanbul, C=TR",*.btcturk.com,Eliptik Yazılım ve Ticaret Anonim Şirketi,btcturk.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,4c9e44f1fef26448b9569fea671fae35,bf22032603af64d22a8fca32b62cafe2c9d96989ababce2d14388b810cb827dd,True,ctls,graph-api-dev.btcturk.com,cloudflare,443,https://graph-api-dev.btcturk.com:443,https,cloudflare,text/plain,GET,104.16.214.13,/,1253481126,2606:4700::6811:6135,Cloudflare,1,False,True,,,,,
graph-api-staging.btcturk.com,,403,16,graph-api-staging.btcturk.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-16T00:00:00Z,2024-06-28T23:59:59Z,"CN=*.btcturk.com, O=Eliptik Yazılım ve Ticaret Anonim Şirketi, L=Beşiktaş, ST=İstanbul, C=TR",*.btcturk.com,Eliptik Yazılım ve Ticaret Anonim Şirketi,btcturk.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,4c9e44f1fef26448b9569fea671fae35,bf22032603af64d22a8fca32b62cafe2c9d96989ababce2d14388b810cb827dd,True,ctls,graph-api-staging.btcturk.com,cloudflare,443,https://graph-api-staging.btcturk.com:443,https,cloudflare,text/plain,GET,104.16.214.13,/,1253481126,2606:4700::6811:6135,Cloudflare,1,False,True,,,,,
graph-api.btcturk.com,,404,,graph-api.btcturk.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-16T00:00:00Z,2024-06-28T23:59:59Z,"CN=*.btcturk.com, O=Eliptik Yazılım ve Ticaret Anonim Şirketi, L=Beşiktaş, ST=İstanbul, C=TR",*.btcturk.com,Eliptik Yazılım ve Ticaret Anonim Şirketi,btcturk.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,4c9e44f1fef26448b9569fea671fae35,bf22032603af64d22a8fca32b62cafe2c9d96989ababce2d14388b810cb827dd,True,ctls,graph-api.btcturk.com,cloudflare,443,https://graph-api.btcturk.com:443,https,cloudflare,,GET,104.16.214.13,/,-1840324437,2606:4700::6811:6135,HSTS,1,False,True,,,,,
