input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,csp_domains_,tls_wildcard_certificate,final_url,tls_mismatched,location,tls_self_signed
app.flexport.com,,302,107,app.flexport.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-23T00:00:00Z,2024-06-20T23:59:59Z,CN=app.flexport.com,app.flexport.com,,*.app.flexport.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,5c139cef206de08fa4d95a1b6ddd2e32,8cd5e72511e7822f884e0517f945338016fda42758a6b8b6986423259016053a,ctls,app.flexport.com,,443,https://app.flexport.com:443,https,envoy,text/html,GET,35.71.171.209,/,-1840324437,52.223.34.39,Phusion Passenger,1,False,,https://*.flexport.internal,True,https://app.flexport.com/login_with_auth0?iss=https%3A%2F%2Flogin.flexport.com%2F,,https://app.flexport.com/users/auth/auth0,
assets.flexport.com,,403,263,assets.flexport.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-05T00:00:00Z,2023-10-10T23:59:59Z,"CN=*.flexport.com, O=Flexport\, Inc., L=San Francisco, ST=California, C=US",*.flexport.com,"Flexport, Inc.",*.flexport.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9d90040aad2754f3d2843dce5b807e19,57af1a23da120c8883a3eba70cd05bf18cb5c8b7267abdd01d19ffa59b904e4f,ctls,assets.flexport.com,cloudflare,443,https://assets.flexport.com:443,https,cloudflare,application/xml,GET,104.18.8.42,/,-641129041,2606:4700::6812:92a,Cloudflare,2,False,True,,True,,,,
b2b-sftp.flexport.com,,200,1214,b2b-sftp.flexport.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-13T23:35:41Z,2023-08-11T23:35:40Z,CN=b2b-sftp.flexport.com,b2b-sftp.flexport.com,,flexport.files.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ae695a584e242a46c2c4d578807834ca,fc884d8e826f6ed19a858718fedccc186a459c463aef8deec7accdb8685022f6,ctls,b2b-sftp.flexport.com,,443,https://b2b-sftp.flexport.com:443,https,files.com,text/html,GET,52.44.87.78,/,-734781815,54.82.73.47,HSTS,33,False,,s3-ap-south-1.amazonaws.com,,,,,
b2b-staging.flexport.com,,200,1214,b2b-staging.flexport.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-06-09T00:27:03Z,2023-09-07T00:27:02Z,CN=b2b-staging.flexport.com,b2b-staging.flexport.com,,flexport-staging.files.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,d61231b5df71a180c8083b70e14d1d00,2952fbda846f54f67aa7ffbd114997234e40661ef72bcea20a59cb0fb193b63a,ctls,b2b-staging.flexport.com,,443,https://b2b-staging.flexport.com:443,https,files.com,text/html,GET,34.199.167.169,/,-734781815,52.200.255.33,Amazon Web Services,33,False,,*.files.com,,,,,
b2bapi.flexport.com,Error 404 NOT_FOUND,404,238,b2bapi.flexport.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-01-26T23:59:59Z,CN=*.flexport.com,*.flexport.com,,flexport.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,d8c6286277e3a61fb54349ff4c337c22,cf9a22714fcb727bacad5558fcd0bcba51d0f1a5c8b5053a7d00484a113aaa94,ctls,b2bapi.flexport.com,,443,https://b2bapi.flexport.com:443,https,,text/html,GET,3.229.103.223,/,1052752419,18.204.77.105,,11,False,,,True,,,,
b2bapi.sb.flexport.com,Error 404 NOT_FOUND,404,238,b2bapi.sb.flexport.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-02T00:00:00Z,2024-05-30T23:59:59Z,CN=*.sb.flexport.com,*.sb.flexport.com,,*.sb.transmissionapp.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,24f20bf66da5079876184cdfd6a3ff28,d60dd3095c1fa129153718befcc4068a4ce093efa3b5e5c1b16f441f3a740b6d,ctls,b2bapi.sb.flexport.com,,443,https://b2bapi.sb.flexport.com:443,https,,text/html,GET,13.56.39.179,/,1052752419,54.183.128.219,,11,False,,,True,,,,
bid47pt.us-east-elb.flexport.com,,302,111,www.bid47pt.us-east-elb.flexport.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-01-26T23:59:59Z,CN=*.flexport.com,*.flexport.com,,flexport.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,d8c6286277e3a61fb54349ff4c337c22,cf9a22714fcb727bacad5558fcd0bcba51d0f1a5c8b5053a7d00484a113aaa94,ctls,www.bid47pt.us-east-elb.flexport.com,,443,https://bid47pt.us-east-elb.flexport.com:443,https,envoy,text/html,GET,3.218.74.145,/,-1840324437,18.214.205.53,Phusion Passenger,1,False,,,True,https://www.bid47pt.us-east-elb.flexport.com/,True,https://www.bid47pt.us-east-elb.flexport.com/,
bid47vo.us-east-elb.flexport.com,,302,111,www.bid47vo.us-east-elb.flexport.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-01-26T23:59:59Z,CN=*.flexport.com,*.flexport.com,,flexport.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,d8c6286277e3a61fb54349ff4c337c22,cf9a22714fcb727bacad5558fcd0bcba51d0f1a5c8b5053a7d00484a113aaa94,ctls,www.bid47vo.us-east-elb.flexport.com,,443,https://bid47vo.us-east-elb.flexport.com:443,https,envoy,text/html,GET,18.214.205.53,/,-1840324437,34.224.108.9,Phusion Passenger,1,False,,,True,https://www.bid47vo.us-east-elb.flexport.com/,True,https://www.bid47vo.us-east-elb.flexport.com/,
blog.flexport.com,404 - Page not found,404,1505,blog.flexport.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-04-03T00:00:00Z,2024-04-02T23:59:59Z,"CN=blog.flexport.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",blog.flexport.com,"Cloudflare, Inc.",blog.flexport.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",621d7afc737614465b39e0558f6a9396,84e35ab1ac86eecc43a499b00d47d226259590311487e692caece5f41cffe101,ctls,blog.flexport.com,cloudflare,443,https://blog.flexport.com:443,https,cloudflare,text/html,GET,104.17.71.206,/,-1652635829,104.17.74.206,Cloudflare Bot Management,52,False,True,,,,,,
boomi.sb.flexport.com,Error 404 NOT_FOUND,404,238,boomi.sb.flexport.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-02T00:00:00Z,2024-05-30T23:59:59Z,CN=*.sb.flexport.com,*.sb.flexport.com,,*.sb.transmissionapp.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,24f20bf66da5079876184cdfd6a3ff28,d60dd3095c1fa129153718befcc4068a4ce093efa3b5e5c1b16f441f3a740b6d,ctls,boomi.sb.flexport.com,,443,https://boomi.sb.flexport.com:443,https,,text/html,GET,13.56.39.179,/,1052752419,54.183.128.219,,11,False,,,True,,,,
calendar.flexport.com,Sign in - Google Accounts,200,1414,www.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-03T08:24:30Z,2023-09-25T08:24:29Z,CN=www.google.com,www.google.com,,www.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,90c1776d1b7ef241c50aad84716d534d,2504ea6baf835e94400e327c00399d37238fcd5b969d65932f72ec3e63b9f51c,ctls,www.google.com,,80,http://calendar.flexport.com:80,http,GSE,text/html,GET,142.250.184.243,/,-1351980789,2a00:1450:4001:831::2013,OpenGSE,32,False,,url=https://www.google.com/accounts/AccountChooser?hd=flexport.com&continue=https%3A%2F%2Fcalendar.google.com%2Fcalendar%2F&followup=https%3A%2F%2Fcalendar.google.com%2Fcalendar%2F&osid=1&service=cl,,https://www.google.com/a/flexport.com/ServiceLogin?service=cl&continue=https://calendar.google.com/calendar/&followup=https://calendar.google.com/calendar/&osid=1&passive=1209600,,,
capital.flexport.com,Borrower Portal,200,11620,capital.flexport.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2023-09-25T23:59:59Z,CN=capital.flexport.com,capital.flexport.com,,capital.flexport.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,03a4846ab506dc018b490beeecfda372,0ad4d0b49f42231bb387fe31317c8ec4aff9d401721749b2b4905c381d9d8549,ctls,capital.flexport.com,,443,https://capital.flexport.com:443,https,,text/html,GET,3.227.134.39,/,1263460494,54.156.19.175,Typekit,3,False,,,,https://capital.flexport.com/signin,,,
cardfun.us-east-elb.flexport.com,,302,111,www.cardfun.us-east-elb.flexport.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-01-26T23:59:59Z,CN=*.flexport.com,*.flexport.com,,flexport.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,d8c6286277e3a61fb54349ff4c337c22,cf9a22714fcb727bacad5558fcd0bcba51d0f1a5c8b5053a7d00484a113aaa94,ctls,www.cardfun.us-east-elb.flexport.com,,443,https://cardfun.us-east-elb.flexport.com:443,https,envoy,text/html,GET,3.218.74.145,/,-1840324437,18.214.205.53,Phusion Passenger,1,False,,,True,https://www.cardfun.us-east-elb.flexport.com/,True,https://www.cardfun.us-east-elb.flexport.com/,
cn.flexport.com,The Supply Chain Logistics Platform | Flexport,200,1041967,cn.flexport.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-28T00:00:00Z,2024-04-02T23:59:59Z,"CN=cn.flexport.com, O=Flexport\, Inc., L=San Francisco, ST=California, C=US",cn.flexport.com,"Flexport, Inc.",test-cn.flexport.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,a0ee51a27763e4754ffc5d43c8258650,55bfbebf28711d2656fcc2113de952549e72183c6d76f4105d822f3fb39d56b0,ctls,cn.flexport.com,,443,https://cn.flexport.com:443,https,Netlify,text/html,GET,18.195.123.215,/,-1800485152,2a05:d014:275:cb01:2c5:838c:1ab7:a223,webpack,26,False,,*.google.com.np,,,,,
community.flexport.com,404 - Page not found,404,1505,community.flexport.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-04-04T00:00:00Z,2024-04-03T23:59:59Z,"CN=community.flexport.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",community.flexport.com,"Cloudflare, Inc.",community.flexport.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ca5e0b090b463c7802ccabb8d9339de0,8bd0a0e3a7b5288f32ea425499fa2f355d3f776cf768878e7926a10b9b79e718,ctls,community.flexport.com,cloudflare,443,https://community.flexport.com:443,https,cloudflare,text/html,GET,104.17.74.206,/,-1652635829,104.17.71.206,Cloudflare Bot Management,52,False,True,,,,,,
components.cus-dev.flexport.com,@storybook/cli - Storybook,200,3488,components.cus-dev.flexport.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-30T00:00:00Z,2024-07-28T23:59:59Z,CN=components.cus-dev.flexport.com,components.cus-dev.flexport.com,,components.cus-dev.flexport.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,76729a85c6b226bb4277fbf3f8757a6e,0fb268758c469128187da2f2d6e387f359c90b4d19102013491896adca429e85,ctls,components.cus-dev.flexport.com,cloudfront,443,https://components.cus-dev.flexport.com:443,https,AmazonS3,text/html,GET,18.66.122.68,/,725506949,18.66.122.119,Amazon Web Services,139,False,True,,,,,,
conf.us-east-elb.flexport.com,,302,108,www.conf.us-east-elb.flexport.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-01-26T23:59:59Z,CN=*.flexport.com,*.flexport.com,,flexport.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,d8c6286277e3a61fb54349ff4c337c22,cf9a22714fcb727bacad5558fcd0bcba51d0f1a5c8b5053a7d00484a113aaa94,ctls,www.conf.us-east-elb.flexport.com,,443,https://conf.us-east-elb.flexport.com:443,https,envoy,text/html,GET,34.224.108.9,/,-1840324437,18.214.205.53,Phusion Passenger,1,False,,,True,https://www.conf.us-east-elb.flexport.com/,True,https://www.conf.us-east-elb.flexport.com/,
core.flexport.com,Flexport - Freight Forwarding and Customs Brokerage,200,162657,core.flexport.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-01-26T23:59:59Z,CN=*.flexport.com,*.flexport.com,,flexport.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,d8c6286277e3a61fb54349ff4c337c22,cf9a22714fcb727bacad5558fcd0bcba51d0f1a5c8b5053a7d00484a113aaa94,ctls,core.flexport.com,,443,https://core.flexport.com:443,https,envoy,text/html,GET,3.218.74.145,/,-1840324437,18.214.205.53,Ruby on Rails,16,False,,https://*.flexport.com,True,https://core.flexport.com/users/sign_in,,,
custom-hostnames-fallback-origin.identity-dev.flexport.com,Error: Access denied.,403,14355,custom-hostnames-fallback-origin.identity-dev.flexport.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-03T00:00:00Z,2024-07-01T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",f3dc2983a8e327419059c51b425139d0,adb939d5865536b5d70ba8f972fcf519d43d11cd5060debb6445e184cd8bddd4,ctls,custom-hostnames-fallback-origin.identity-dev.flexport.com,cloudflare,443,https://custom-hostnames-fallback-origin.identity-dev.flexport.com:443,https,cloudflare,text/html,GET,104.18.18.218,/,1230224735,2606:4700::6812:13da,HTTP/3,15,False,True,,,,,,
custom-hostnames-fallback-origin.identity.flexport.com,Error: Access denied.,403,14351,custom-hostnames-fallback-origin.identity.flexport.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-17T00:00:00Z,2024-07-15T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",0b6f2d4db7c8f6872df8c9f698cec726,990da26d1346863a2a514b4080ca4192e204dabf6acd2994787e03d6b5b04833,ctls,custom-hostnames-fallback-origin.identity.flexport.com,cloudflare,443,https://custom-hostnames-fallback-origin.identity.flexport.com:443,https,cloudflare,text/html,GET,104.18.4.107,/,105009364,2606:4700::6812:46b,HTTP/3,15,False,True,,,,,,
customs.cus-dev.flexport.com,,200,2792,customs.cus-dev.flexport.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-12T00:00:00Z,2024-08-09T23:59:59Z,CN=customs.cus-dev.flexport.com,customs.cus-dev.flexport.com,,customs.cus-dev.flexport.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,80a61f6928ec4eb31f864547111e04c1,d35e2b6361b98e6bc828ee1fcd357c39dc0c3280565c8c0255d3bca39d44f20b,ctls,customs.cus-dev.flexport.com,cloudfront,443,https://customs.cus-dev.flexport.com:443,https,istio-envoy,text/html,GET,18.66.112.51,/,-526094759,18.66.112.42,webpack,11,False,True,,,,,,
customs.dev-cluster.cus-dev.flexport.com,,200,2792,customs.dev-cluster.cus-dev.flexport.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-14T14:11:43Z,2023-10-12T14:11:42Z,CN=customs.dev-cluster.cus-dev.flexport.com,customs.dev-cluster.cus-dev.flexport.com,,customs.dev-cluster.cus-dev.flexport.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,79a206d8f20397f80e0971342a8f5afa,2001199582c4d1d9e2cc57be12f11b77e51484b142128bdc60a8303b4402558d,ctls,customs.dev-cluster.cus-dev.flexport.com,,443,https://customs.dev-cluster.cus-dev.flexport.com:443,https,istio-envoy,text/html,GET,184.72.234.78,/,-526094759,54.243.115.208,webpack,11,False,,,,,,,
de.flexport.com,Flexport: Technologieplattform für globale Logistik,200,1052697,de.flexport.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-28T00:00:00Z,2024-04-02T23:59:59Z,"CN=de.flexport.com, O=Flexport\, Inc., L=San Francisco, ST=California, C=US",de.flexport.com,"Flexport, Inc.",test-de.flexport.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,634c60483585815394e1955a5df69188,f4fe38e084218228d6430126562742485494c2b8aa549494a172d1c01645ba3c,ctls,de.flexport.com,,443,https://de.flexport.com:443,https,Netlify,text/html,GET,3.74.25.89,/,-1629501320,2a05:d014:275:cb00:bcb:af57:d94d:a526,webpack,27,False,,rs.fullstory.com,,,,,
developer.flexport.com,Supply Chain & Logistics APIs - Developer Portal | Flexport,200,75599,developer.flexport.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-15T00:00:00Z,2023-10-15T23:59:59Z,"CN=developers.flexport.com, O=Flexport\, Inc., L=San Francisco, ST=California, C=US",developers.flexport.com,"Flexport, Inc.",developer.flexport.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,91d94b21b6f0a5c4dee43a2427142f65,390db4063c6b063418dbc2557429ee23b53278795f2a3832f04cff93db0afe10,ctls,developer.flexport.com,google,443,https://developer.flexport.com:443,https,Netlify,text/html,GET,34.159.75.132,/,-1973334411,2a05:d014:275:cb02::c8,webpack,1,False,True,,,,,,
