input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,final_url,csp_domains_,tls_expired,tls_mismatched,tls_self_signed,tls_subject_org_
br100.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br100.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br100.hostgator.com.br,,443,https://br100.hostgator.com.br:443,https,Apache,text/html,GET,192.185.176.144,/,-1783708853,192.185.176.144,Bootstrap,44,False,,,,,,,
br1000.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br1000.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br1000.hostgator.com.br,,443,https://br1000.hostgator.com.br:443,https,Apache,text/html,GET,162.241.203.77,/,-1783708853,162.241.203.77,Bootstrap,44,False,,,,,,,
br1002.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br1002.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br1002.hostgator.com.br,,443,https://br1002.hostgator.com.br:443,https,Apache,text/html,GET,162.241.203.82,/,-1783708853,162.241.203.82,Bootstrap,44,False,,,,,,,
br1004.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br1004.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br1004.hostgator.com.br,,80,http://br1004.hostgator.com.br:80,http,Apache,text/html,GET,162.241.203.87,/,-1783708853,162.241.203.87,Bootstrap,44,False,,https://br1004.hostgator.com.br/,,,,,
br1006.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br1006.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br1006.hostgator.com.br,,443,https://br1006.hostgator.com.br:443,https,Apache,text/html,GET,162.241.203.92,/,-1783708853,162.241.203.92,Bootstrap,44,False,,,,,,,
br1008.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br1008.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br1008.hostgator.com.br,,443,https://br1008.hostgator.com.br:443,https,Apache,text/html,GET,162.241.203.127,/,-1783708853,162.241.203.127,Bootstrap,44,False,,,,,,,
br1010.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br1010.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br1010.hostgator.com.br,,443,https://br1010.hostgator.com.br:443,https,Apache,text/html,GET,162.241.203.132,/,-1783708853,162.241.203.132,Bootstrap,44,False,,,,,,,
br1012.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br1012.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br1012.hostgator.com.br,,443,https://br1012.hostgator.com.br:443,https,Apache,text/html,GET,162.241.203.137,/,-1783708853,162.241.203.137,Bootstrap,44,False,,,,,,,
br1014.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br1014.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br1014.hostgator.com.br,,443,https://br1014.hostgator.com.br:443,https,Apache,text/html,GET,162.241.203.142,/,-1783708853,162.241.203.142,Bootstrap,44,False,,,,,,,
br1016.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br1016.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br1016.hostgator.com.br,,443,https://br1016.hostgator.com.br:443,https,Apache,text/html,GET,162.241.203.147,/,-1783708853,162.241.203.147,Bootstrap,44,False,,,,,,,
br1018.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br1018.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br1018.hostgator.com.br,,443,https://br1018.hostgator.com.br:443,https,Apache,text/html,GET,162.241.203.152,/,-1783708853,162.241.203.152,Bootstrap,44,False,,,,,,,
br1020.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br1020.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br1020.hostgator.com.br,,443,https://br1020.hostgator.com.br:443,https,Apache,text/html,GET,162.241.203.157,/,-1783708853,162.241.203.157,Bootstrap,44,False,,,,,,,
br1024.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br1024.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br1024.hostgator.com.br,,443,https://br1024.hostgator.com.br:443,https,Apache,text/html,GET,162.241.203.167,/,-1783708853,162.241.203.167,Bootstrap,44,False,,,,,,,
br1026.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br1026.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br1026.hostgator.com.br,,443,https://br1026.hostgator.com.br:443,https,Apache,text/html,GET,162.241.203.172,/,-1783708853,162.241.203.172,Bootstrap,44,False,,,,,,,
br1028.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br1028.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br1028.hostgator.com.br,,443,https://br1028.hostgator.com.br:443,https,Apache,text/html,GET,162.241.203.217,/,-1783708853,162.241.203.217,Bootstrap,44,False,,,,,,,
br1030.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br1030.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br1030.hostgator.com.br,,443,https://br1030.hostgator.com.br:443,https,Apache,text/html,GET,162.241.203.222,/,-1783708853,162.241.203.222,Bootstrap,44,False,,,,,,,
br1032.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br1032.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br1032.hostgator.com.br,,443,https://br1032.hostgator.com.br:443,https,Apache,text/html,GET,162.241.203.227,/,-1783708853,162.241.203.227,Bootstrap,44,False,,,,,,,
br1034.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br1034.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br1034.hostgator.com.br,,443,https://br1034.hostgator.com.br:443,https,Apache,text/html,GET,162.241.203.232,/,-1783708853,162.241.203.232,Bootstrap,44,False,,,,,,,
br1038.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br1038.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br1038.hostgator.com.br,,443,https://br1038.hostgator.com.br:443,https,Apache,text/html,GET,162.241.62.252,/,-1783708853,162.241.62.252,Bootstrap,44,False,,,,,,,
br104.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br104.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br104.hostgator.com.br,,443,https://br104.hostgator.com.br:443,https,Apache,text/html,GET,192.185.176.109,/,-1783708853,192.185.176.109,Bootstrap,44,False,,,,,,,
br1040.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br1040.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br1040.hostgator.com.br,,443,https://br1040.hostgator.com.br:443,https,Apache,text/html,GET,162.241.63.1,/,-1783708853,162.241.63.1,Bootstrap,44,False,,,,,,,
br1042.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br1042.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br1042.hostgator.com.br,,443,https://br1042.hostgator.com.br:443,https,Apache,text/html,GET,162.241.63.6,/,-1783708853,162.241.63.6,Bootstrap,44,False,,,,,,,
br1044.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br1044.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br1044.hostgator.com.br,,443,https://br1044.hostgator.com.br:443,https,Apache,text/html,GET,108.167.151.32,/,-1783708853,108.167.151.32,Bootstrap,44,False,,,,,,,
