input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_wildcard_certificate,tls_subject_org_,csp_domains_,tls_mismatched,final_url
asa-iml.dashboard.omise.co,403 Forbidden,403,118,asa-iml.dashboard.omise.co,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-03T00:00:00Z,2024-01-27T23:59:59Z,CN=dashboard.omise.co,dashboard.omise.co,*.dashboard.omise.co,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,b08e9bf11fd278e2ff48436718af2de6,113f6bf952b72160865ef0fe59b404c0e5fc952e90fc235c3bc27cc3c84a5608,ctls,asa-iml.dashboard.omise.co,,443,https://asa-iml.dashboard.omise.co:443,https,awselb/2.0,text/html,GET,99.83.137.20,/,1344368402,75.2.26.122,,7,False,,True,,,,
assets-cdn.omise.co,,403,243,assets-cdn.omise.co,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2024-01-06T23:59:59Z,CN=assets-cdn.omise.co,assets-cdn.omise.co,assets-cdn.omise.co,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,386b9952bb545cd448830debf2ec941e,f20f305971abe182ed2224d4305779e33dad527f77d30a9889f12575eb7b17eb,ctls,assets-cdn.omise.co,cloudfront,443,https://assets-cdn.omise.co:443,https,AmazonS3,application/xml,GET,52.222.214.38,/,-1141159290,2600:9000:223d:9e00:16:f431:f080:93a1,Amazon Web Services,2,False,True,,,,,
assets.omise.co,Omise: Payment Gateway for Asia,200,22359,assets.omise.co,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-02T00:00:00Z,2024-01-10T23:59:59Z,CN=omise.co,omise.co,www.omise.co,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,01e7a2f1df8f28fb5458e9ead97e2bc4,6a6acad9ad61af86326b5ae8e301aac49877a1ab98a52a8875b57900944832bb,ctls,assets.omise.co,cloudfront,443,https://assets.omise.co:443,https,,text/html,GET,18.66.97.107,/,-1840324437,2600:9000:223c:1a00:1e:940e:2280:93a1,Ruby on Rails,379,False,True,,,https://omisepayment.typeform.com/,,
atticus-int.dashboard.omise.co,403 Forbidden,403,118,atticus-int.dashboard.omise.co,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-03T00:00:00Z,2024-01-27T23:59:59Z,CN=dashboard.omise.co,dashboard.omise.co,*.dashboard.omise.co,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,b08e9bf11fd278e2ff48436718af2de6,113f6bf952b72160865ef0fe59b404c0e5fc952e90fc235c3bc27cc3c84a5608,ctls,atticus-int.dashboard.omise.co,,443,https://atticus-int.dashboard.omise.co:443,https,awselb/2.0,text/html,GET,75.2.26.122,/,1344368402,99.83.137.20,,7,False,,True,,,,
bmplsmo.dashboard.omise.co,403 Forbidden,403,118,bmplsmo.dashboard.omise.co,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-03T00:00:00Z,2024-01-27T23:59:59Z,CN=dashboard.omise.co,dashboard.omise.co,*.dashboard.omise.co,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,b08e9bf11fd278e2ff48436718af2de6,113f6bf952b72160865ef0fe59b404c0e5fc952e90fc235c3bc27cc3c84a5608,ctls,bmplsmo.dashboard.omise.co,,443,https://bmplsmo.dashboard.omise.co:443,https,awselb/2.0,text/html,GET,75.2.26.122,/,1344368402,99.83.137.20,,7,False,,True,,,,
bra5.dashboard.omise.co,403 Forbidden,403,118,bra5.dashboard.omise.co,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-03T00:00:00Z,2024-01-27T23:59:59Z,CN=dashboard.omise.co,dashboard.omise.co,*.dashboard.omise.co,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,b08e9bf11fd278e2ff48436718af2de6,113f6bf952b72160865ef0fe59b404c0e5fc952e90fc235c3bc27cc3c84a5608,ctls,bra5.dashboard.omise.co,,443,https://bra5.dashboard.omise.co:443,https,awselb/2.0,text/html,GET,99.83.137.20,/,1344368402,75.2.26.122,,7,False,,True,,,,
callback.omise.co,Opn Payments,200,4332,callback.omise.co,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-08T00:00:00Z,2024-06-08T23:59:59Z,CN=*.omise.co,*.omise.co,omise.co,"CN=Thawte RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",Thawte RSA CA 2018,DigiCert Inc,8b49df999065a15134f7612aee92bebd,fabb5075af2fc3f61537c034952168c20ef92957b14e9158682641fa95a9ec55,ctls,callback.omise.co,,443,https://callback.omise.co:443,https,,text/html,GET,13.248.150.88,/,-1840324437,76.223.19.23,Ruby on Rails,89,False,,True,,,,https://callback.omise.co/signin
cdn.omise.co,,403,243,cdn.omise.co,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-02T00:00:00Z,2024-01-11T23:59:59Z,CN=cdn.omise.co,cdn.omise.co,cdn1.omise.co,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,667bd9cb9c12cbfae3f265a7b88a330d,bb6459da864d4a1b1962fd940717eb8ef2c9461424d063c59252e0c04baedb52,ctls,cdn.omise.co,cloudfront,443,https://cdn.omise.co:443,https,AmazonS3,application/xml,GET,65.9.66.2,/,-1899010983,65.9.66.21,Amazon Web Services,2,False,True,,,,,
cdn1.omise.co,,403,243,cdn1.omise.co,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-02T00:00:00Z,2024-01-11T23:59:59Z,CN=cdn.omise.co,cdn.omise.co,cdn1.omise.co,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,667bd9cb9c12cbfae3f265a7b88a330d,bb6459da864d4a1b1962fd940717eb8ef2c9461424d063c59252e0c04baedb52,ctls,cdn1.omise.co,cloudfront,443,https://cdn1.omise.co:443,https,AmazonS3,application/xml,GET,65.9.66.21,/,-1899010983,65.9.66.79,Amazon Web Services,2,False,True,,,,,
cdn2.omise.co,,403,243,cdn2.omise.co,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-02T00:00:00Z,2024-01-11T23:59:59Z,CN=cdn.omise.co,cdn.omise.co,cdn1.omise.co,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,667bd9cb9c12cbfae3f265a7b88a330d,bb6459da864d4a1b1962fd940717eb8ef2c9461424d063c59252e0c04baedb52,ctls,cdn2.omise.co,cloudfront,443,https://cdn2.omise.co:443,https,AmazonS3,application/xml,GET,65.9.66.21,/,-1899010983,65.9.66.79,Amazon Web Services,2,False,True,,,,,
cdn4.omise.co,,403,243,cdn4.omise.co,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-02T00:00:00Z,2024-01-11T23:59:59Z,CN=cdn.omise.co,cdn.omise.co,cdn1.omise.co,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,667bd9cb9c12cbfae3f265a7b88a330d,bb6459da864d4a1b1962fd940717eb8ef2c9461424d063c59252e0c04baedb52,ctls,cdn4.omise.co,cloudfront,443,https://cdn4.omise.co:443,https,AmazonS3,application/xml,GET,65.9.66.2,/,-1899010983,65.9.66.79,Amazon Web Services,2,False,True,,,,,
config-newlooker.dashboard.omise.co,403 Forbidden,403,118,config-newlooker.dashboard.omise.co,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-03T00:00:00Z,2024-01-27T23:59:59Z,CN=dashboard.omise.co,dashboard.omise.co,*.dashboard.omise.co,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,b08e9bf11fd278e2ff48436718af2de6,113f6bf952b72160865ef0fe59b404c0e5fc952e90fc235c3bc27cc3c84a5608,ctls,config-newlooker.dashboard.omise.co,,443,https://config-newlooker.dashboard.omise.co:443,https,awselb/2.0,text/html,GET,99.83.137.20,/,1344368402,75.2.26.122,,7,False,,True,,,,
confluence-cloud.dashboard.omise.co,403 Forbidden,403,118,confluence-cloud.dashboard.omise.co,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-03T00:00:00Z,2024-01-27T23:59:59Z,CN=dashboard.omise.co,dashboard.omise.co,*.dashboard.omise.co,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,b08e9bf11fd278e2ff48436718af2de6,113f6bf952b72160865ef0fe59b404c0e5fc952e90fc235c3bc27cc3c84a5608,ctls,confluence-cloud.dashboard.omise.co,,443,https://confluence-cloud.dashboard.omise.co:443,https,awselb/2.0,text/html,GET,99.83.137.20,/,1344368402,75.2.26.122,,7,False,,True,,,,
cooplujanstorage.dashboard.omise.co,403 Forbidden,403,118,cooplujanstorage.dashboard.omise.co,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-03T00:00:00Z,2024-01-27T23:59:59Z,CN=dashboard.omise.co,dashboard.omise.co,*.dashboard.omise.co,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,b08e9bf11fd278e2ff48436718af2de6,113f6bf952b72160865ef0fe59b404c0e5fc952e90fc235c3bc27cc3c84a5608,ctls,cooplujanstorage.dashboard.omise.co,,443,https://cooplujanstorage.dashboard.omise.co:443,https,awselb/2.0,text/html,GET,75.2.26.122,/,1344368402,99.83.137.20,,7,False,,True,,,,
dashboard.omise.co,Opn Payments,200,4332,dashboard.omise.co,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-03T00:00:00Z,2024-01-27T23:59:59Z,CN=dashboard.omise.co,dashboard.omise.co,*.dashboard.omise.co,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,b08e9bf11fd278e2ff48436718af2de6,113f6bf952b72160865ef0fe59b404c0e5fc952e90fc235c3bc27cc3c84a5608,ctls,dashboard.omise.co,,443,https://dashboard.omise.co:443,https,,text/html,GET,75.2.26.122,/,-1840324437,99.83.137.20,Ruby on Rails,89,False,,True,,,,https://dashboard.omise.co/signin
demoworks98.dashboard.omise.co,403 Forbidden,403,118,demoworks98.dashboard.omise.co,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-03T00:00:00Z,2024-01-27T23:59:59Z,CN=dashboard.omise.co,dashboard.omise.co,*.dashboard.omise.co,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,b08e9bf11fd278e2ff48436718af2de6,113f6bf952b72160865ef0fe59b404c0e5fc952e90fc235c3bc27cc3c84a5608,ctls,demoworks98.dashboard.omise.co,,443,https://demoworks98.dashboard.omise.co:443,https,awselb/2.0,text/html,GET,99.83.137.20,/,1344368402,75.2.26.122,,7,False,,True,,,,
desktopapp.dashboard.omise.co,403 Forbidden,403,118,desktopapp.dashboard.omise.co,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-03T00:00:00Z,2024-01-27T23:59:59Z,CN=dashboard.omise.co,dashboard.omise.co,*.dashboard.omise.co,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,b08e9bf11fd278e2ff48436718af2de6,113f6bf952b72160865ef0fe59b404c0e5fc952e90fc235c3bc27cc3c84a5608,ctls,desktopapp.dashboard.omise.co,,443,https://desktopapp.dashboard.omise.co:443,https,awselb/2.0,text/html,GET,75.2.26.122,/,1344368402,99.83.137.20,,7,False,,True,,,,
devnodeconfigstorebackups.dashboard.omise.co,403 Forbidden,403,118,devnodeconfigstorebackups.dashboard.omise.co,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-03T00:00:00Z,2024-01-27T23:59:59Z,CN=dashboard.omise.co,dashboard.omise.co,*.dashboard.omise.co,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,b08e9bf11fd278e2ff48436718af2de6,113f6bf952b72160865ef0fe59b404c0e5fc952e90fc235c3bc27cc3c84a5608,ctls,devnodeconfigstorebackups.dashboard.omise.co,,443,https://devnodeconfigstorebackups.dashboard.omise.co:443,https,awselb/2.0,text/html,GET,75.2.26.122,/,1344368402,99.83.137.20,,7,False,,True,,,,
docs.dat-cdn.omise.co,,200,7140,docs.dat-cdn.omise.co,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-17T00:00:00Z,2024-08-14T23:59:59Z,CN=dat-cdn.omise.co,dat-cdn.omise.co,*.dat-cdn.omise.co,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,691b7826a50be89dde9520ab0b2324b3,20883b3a653d6e2126e22464baac2d75f3a79666c00441e5dcb01da93832c642,ctls,docs.dat-cdn.omise.co,cloudfront,443,https://docs.dat-cdn.omise.co:443,https,AmazonS3,application/xml,GET,108.138.7.3,/,706459545,108.138.7.70,Amazon Web Services,2,False,True,True,,,,
docs.omise.co,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,cloudfront,80,http://docs.omise.co:80,http,CloudFront,text/html,GET,18.66.97.108,/,268748356,2600:9000:223c:9000:1e:940e:2280:93a1,Amazon Web Services,20,False,True,,,,,
gh.dashboard.omise.co,403 Forbidden,403,118,gh.dashboard.omise.co,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-03T00:00:00Z,2024-01-27T23:59:59Z,CN=dashboard.omise.co,dashboard.omise.co,*.dashboard.omise.co,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,b08e9bf11fd278e2ff48436718af2de6,113f6bf952b72160865ef0fe59b404c0e5fc952e90fc235c3bc27cc3c84a5608,ctls,gh.dashboard.omise.co,,443,https://gh.dashboard.omise.co:443,https,awselb/2.0,text/html,GET,99.83.137.20,/,1344368402,75.2.26.122,,7,False,,True,,,,
h-135-207-164-53.dashboard.omise.co,403 Forbidden,403,118,h-135-207-164-53.dashboard.omise.co,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-03T00:00:00Z,2024-01-27T23:59:59Z,CN=dashboard.omise.co,dashboard.omise.co,*.dashboard.omise.co,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,b08e9bf11fd278e2ff48436718af2de6,113f6bf952b72160865ef0fe59b404c0e5fc952e90fc235c3bc27cc3c84a5608,ctls,h-135-207-164-53.dashboard.omise.co,,443,https://h-135-207-164-53.dashboard.omise.co:443,https,awselb/2.0,text/html,GET,75.2.26.122,/,1344368402,99.83.137.20,,7,False,,True,,,,
h-135-207-179-11.dashboard.omise.co,403 Forbidden,403,118,h-135-207-179-11.dashboard.omise.co,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-03T00:00:00Z,2024-01-27T23:59:59Z,CN=dashboard.omise.co,dashboard.omise.co,*.dashboard.omise.co,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,b08e9bf11fd278e2ff48436718af2de6,113f6bf952b72160865ef0fe59b404c0e5fc952e90fc235c3bc27cc3c84a5608,ctls,h-135-207-179-11.dashboard.omise.co,,443,https://h-135-207-179-11.dashboard.omise.co:443,https,awselb/2.0,text/html,GET,75.2.26.122,/,1344368402,99.83.137.20,,7,False,,True,,,,
h-135-207-244-97.dashboard.omise.co,403 Forbidden,403,118,h-135-207-244-97.dashboard.omise.co,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-03T00:00:00Z,2024-01-27T23:59:59Z,CN=dashboard.omise.co,dashboard.omise.co,*.dashboard.omise.co,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,b08e9bf11fd278e2ff48436718af2de6,113f6bf952b72160865ef0fe59b404c0e5fc952e90fc235c3bc27cc3c84a5608,ctls,h-135-207-244-97.dashboard.omise.co,,443,https://h-135-207-244-97.dashboard.omise.co:443,https,awselb/2.0,text/html,GET,99.83.137.20,/,1344368402,75.2.26.122,,7,False,,True,,,,
hgl-prod-public-pub.dashboard.omise.co,403 Forbidden,403,118,hgl-prod-public-pub.dashboard.omise.co,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-03T00:00:00Z,2024-01-27T23:59:59Z,CN=dashboard.omise.co,dashboard.omise.co,*.dashboard.omise.co,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,b08e9bf11fd278e2ff48436718af2de6,113f6bf952b72160865ef0fe59b404c0e5fc952e90fc235c3bc27cc3c84a5608,ctls,hgl-prod-public-pub.dashboard.omise.co,,443,https://hgl-prod-public-pub.dashboard.omise.co:443,https,awselb/2.0,text/html,GET,75.2.26.122,/,1344368402,99.83.137.20,,7,False,,True,,,,
hqs74.dashboard.omise.co,403 Forbidden,403,118,hqs74.dashboard.omise.co,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-03T00:00:00Z,2024-01-27T23:59:59Z,CN=dashboard.omise.co,dashboard.omise.co,*.dashboard.omise.co,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,b08e9bf11fd278e2ff48436718af2de6,113f6bf952b72160865ef0fe59b404c0e5fc952e90fc235c3bc27cc3c84a5608,ctls,hqs74.dashboard.omise.co,,443,https://hqs74.dashboard.omise.co:443,https,awselb/2.0,text/html,GET,99.83.137.20,/,1344368402,75.2.26.122,,7,False,,True,,,,
http-m-jobstreet-com-ph06.dashboard.omise.co,403 Forbidden,403,118,http-m-jobstreet-com-ph06.dashboard.omise.co,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-03T00:00:00Z,2024-01-27T23:59:59Z,CN=dashboard.omise.co,dashboard.omise.co,*.dashboard.omise.co,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,b08e9bf11fd278e2ff48436718af2de6,113f6bf952b72160865ef0fe59b404c0e5fc952e90fc235c3bc27cc3c84a5608,ctls,http-m-jobstreet-com-ph06.dashboard.omise.co,,443,https://http-m-jobstreet-com-ph06.dashboard.omise.co:443,https,awselb/2.0,text/html,GET,99.83.137.20,/,1344368402,75.2.26.122,,7,False,,True,,,,
https-abs-twimg-com9-1.dashboard.omise.co,403 Forbidden,403,118,https-abs-twimg-com9-1.dashboard.omise.co,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-03T00:00:00Z,2024-01-27T23:59:59Z,CN=dashboard.omise.co,dashboard.omise.co,*.dashboard.omise.co,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,b08e9bf11fd278e2ff48436718af2de6,113f6bf952b72160865ef0fe59b404c0e5fc952e90fc235c3bc27cc3c84a5608,ctls,https-abs-twimg-com9-1.dashboard.omise.co,,443,https://https-abs-twimg-com9-1.dashboard.omise.co:443,https,awselb/2.0,text/html,GET,99.83.137.20,/,1344368402,75.2.26.122,,7,False,,True,,,,
