input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,webserver,tls_mismatched,csp_domains_,final_url,tls_self_signed,tls_expired
api.led.samsung.com,,404,131,api.led.samsung.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-30T00:00:00Z,2024-05-21T23:59:59Z,"CN=www.samsung.com, O=Samsung SDS Co.\, Ltd., L=Songpa-gu, ST=Seoul, C=KR",www.samsung.com,"Samsung SDS Co., Ltd.",www.semiconductor.samsung.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,5064d821b12b4ce3fee410304f161c11,6268966a4ea9a2d735f6e284439280cbce4952c629a89f1e5a7cff04cbbcf1b7,,ctls,api.led.samsung.com,,443,https://api.led.samsung.com:443,https,application/json,GET,2.23.196.47,/,2006960240,2.23.196.47,,8,False,,,,,,,
api.samsung.com,,404,159,api.samsung.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-16T00:00:00Z,2024-05-16T23:59:59Z,"CN=*.samsung.com, O=Samsung SDS Co.\, Ltd., L=Songpa-gu, ST=Seoul, C=KR",*.samsung.com,"Samsung SDS Co., Ltd.",samsung.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,85b5da115b56f40b1a0a8e82e15ae38f,3e89f6d5617e797562a206673b8d8cfb45115b0bcb32806446c1d3e83c17d931,True,ctls,api.samsung.com,,443,https://api.samsung.com:443,https,text/html,GET,23.37.36.147,/,-689860922,23.37.36.147,,5,False,,,,,,,
api.semiconductor.samsung.com,,404,131,api.semiconductor.samsung.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-30T00:00:00Z,2024-05-21T23:59:59Z,"CN=www.samsung.com, O=Samsung SDS Co.\, Ltd., L=Songpa-gu, ST=Seoul, C=KR",www.samsung.com,"Samsung SDS Co., Ltd.",www.semiconductor.samsung.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,5064d821b12b4ce3fee410304f161c11,6268966a4ea9a2d735f6e284439280cbce4952c629a89f1e5a7cff04cbbcf1b7,,ctls,api.semiconductor.samsung.com,,443,https://api.semiconductor.samsung.com:443,https,application/json,GET,72.246.168.51,/,2006960240,2a02:26f0:1700:38c::6ba,,8,False,,,,,,,
api.shop.samsung.com,Service Unavailable,503,269,api.shop.samsung.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-24T00:00:00Z,2023-11-21T23:59:59Z,"CN=shop.samsung.com, O=Samsung SDS Co.\, Ltd., L=Songpa-gu, ST=Seoul, C=KR",shop.samsung.com,"Samsung SDS Co., Ltd.",v3.shop.samsung.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,6857c3893618d82bf589eaf5c9dcccc6,fd7503916ff8fab28fa4edaea2b45d248d8ca211ec723832c6071fd4e7903796,,ctls,api.shop.samsung.com,,443,https://api.shop.samsung.com:443,https,text/html,GET,23.37.57.190,/,-133527021,23.37.57.190,,9,False,,,,,,,
assets.ecom.us.samsung.com,,403,243,assets.ecom.us.samsung.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-15T00:00:00Z,2024-05-13T23:59:59Z,CN=assets.ecom.us.samsung.com,assets.ecom.us.samsung.com,,assets.ecom.us.samsung.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,31d3653786a7a1684ad7fa8cc91f570f,7380279bcd0c8c4880c7097ee650afb7cd473f46000c36f40a394052ef025fcc,,ctls,assets.ecom.us.samsung.com,cloudfront,443,https://assets.ecom.us.samsung.com:443,https,application/xml,GET,108.138.17.42,/,-808508627,2600:9000:2491:e600:1b:1730:ac40:93a1,Amazon Web Services,2,False,True,AmazonS3,,,,,
au-images.shop.samsung.com,Home Electronics | Home Appliances | Mobile | Computing |,404,58852,www.samsung.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-30T00:00:00Z,2024-05-21T23:59:59Z,"CN=www.samsung.com, O=Samsung SDS Co.\, Ltd., L=Songpa-gu, ST=Seoul, C=KR",www.samsung.com,"Samsung SDS Co., Ltd.",www.semiconductor.samsung.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,5064d821b12b4ce3fee410304f161c11,6268966a4ea9a2d735f6e284439280cbce4952c629a89f1e5a7cff04cbbcf1b7,,ctls,www.samsung.com,,443,https://au-images.shop.samsung.com:443,https,text/html,GET,72.246.168.51,/,676954042,72.246.168.51,Java,1721,False,,,,,https://www.samsung.com/shop/,,
auth.samsung.com,,503,,auth.samsung.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-11T00:00:00Z,2023-09-09T23:59:59Z,"CN=*.samsung.com, O=Samsung Electronics Co.\,Ltd., L=Suwon-si, ST=Gyeonggi-do, C=KR",*.samsung.com,"Samsung Electronics Co.,Ltd.",samsung.com,"CN=Thawte RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",Thawte RSA CA 2018,DigiCert Inc,7d60991646ea5aebc5d506ad1a5f00f0,23586e8e7712a9813f7727eb8a64d0d3222cc5046c32a760715d708dd1370a89,True,ctls,auth.samsung.com,,443,https://auth.samsung.com:443,https,text/plain,GET,54.93.70.200,/,-1840324437,35.156.199.194,,1,False,,awselb/2.0,,,,,
autodiscover.sea.samsung.com,The page cannot be displayed,403,2040,autodiscover.sea.samsung.com,443,True,tls12,TLS_RSA_WITH_AES_256_CBC_SHA,2023-02-22T00:00:00Z,2024-03-24T23:59:59Z,"CN=m.sea.samsung.com, O=Samsung SDS America\, Inc., L=Ridgefield Park, ST=New Jersey, C=US",m.sea.samsung.com,"Samsung SDS America, Inc.",Autodiscover.partner.sea.samsung.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ca7f01259ff52fda1bd171461cd78853,43b055442dd75c377f982cf081b369220a85c3ae22d06d111c58761906eb7879,,ctls,autodiscover.sea.samsung.com,,443,https://autodiscover.sea.samsung.com:443,https,text/html,GET,206.67.236.125,/,2139693540,206.67.236.125,,45,False,,,,,,,
b2bshop.samsung.com,Samsung Deutschland | Smartphone | TV | Haushaltsgeräte,200,505017,www.samsung.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-30T00:00:00Z,2024-05-21T23:59:59Z,"CN=www.samsung.com, O=Samsung SDS Co.\, Ltd., L=Songpa-gu, ST=Seoul, C=KR",www.samsung.com,"Samsung SDS Co., Ltd.",www.semiconductor.samsung.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,5064d821b12b4ce3fee410304f161c11,6268966a4ea9a2d735f6e284439280cbce4952c629a89f1e5a7cff04cbbcf1b7,,ctls,www.samsung.com,,443,https://b2bshop.samsung.com:443,https,text/html,GET,23.37.38.27,/,-781877800,23.37.38.27,Java,9878,False,,,,,https://www.samsung.com/de/,,
bixby.apps.samsung.com,Access Denied,403,222,bixby.apps.samsung.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-30T00:00:00Z,2024-05-21T23:59:59Z,"CN=www.samsung.com, O=Samsung SDS Co.\, Ltd., L=Songpa-gu, ST=Seoul, C=KR",www.samsung.com,"Samsung SDS Co., Ltd.",www.semiconductor.samsung.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,5064d821b12b4ce3fee410304f161c11,6268966a4ea9a2d735f6e284439280cbce4952c629a89f1e5a7cff04cbbcf1b7,,ctls,bixby.apps.samsung.com,,443,https://bixby.apps.samsung.com:443,https,text/html,GET,88.221.63.46,/,-1219961133,88.221.63.46,,10,False,,AkamaiGHost,True,,,,
blog.samsung.com,"Samsung Global Newsroom – All the latest news, key facts and inspiring stories about Samsung Electronics.",200,71599,news.samsung.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-16T00:00:00Z,2024-05-16T23:59:59Z,"CN=*.samsung.com, O=Samsung SDS Co.\, Ltd., L=Songpa-gu, ST=Seoul, C=KR",*.samsung.com,"Samsung SDS Co., Ltd.",samsung.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,85b5da115b56f40b1a0a8e82e15ae38f,3e89f6d5617e797562a206673b8d8cfb45115b0bcb32806446c1d3e83c17d931,True,ctls,news.samsung.com,,443,https://blog.samsung.com:443,https,text/html,GET,23.2.13.98,/,-1981276854,23.2.13.80,WordPress,1007,False,,server,,,https://news.samsung.com/global/,,
bp1.bigdata.samsung.com,403,403,134,bp1.bigdata.samsung.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-16T00:00:00Z,2024-04-14T23:59:59Z,"CN=*.bigdata.samsung.com, O=Samsung Electronics Co.\, Ltd., ST=Gyeonggi-do, C=KR",*.bigdata.samsung.com,"Samsung Electronics Co., Ltd.",bigdata.samsung.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,1ccac69a7651e66037b039eaa62f0eea,f0653da9198451fd76cd9d73965666818585e73210432c46cd8ddba18451454a,True,ctls,bp1.bigdata.samsung.com,google,443,https://bp1.bigdata.samsung.com:443,https,text/html,GET,35.241.38.197,/,1723221432,35.241.38.197,HTTP/3,1,False,True,,,,,,
brshoptemp.samsung.com,,404,143,brshoptemp.samsung.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-24T00:00:00Z,2023-11-21T23:59:59Z,"CN=shop.samsung.com, O=Samsung SDS Co.\, Ltd., L=Songpa-gu, ST=Seoul, C=KR",shop.samsung.com,"Samsung SDS Co., Ltd.",v3.shop.samsung.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,6857c3893618d82bf589eaf5c9dcccc6,fd7503916ff8fab28fa4edaea2b45d248d8ca211ec723832c6071fd4e7903796,,ctls,brshoptemp.samsung.com,,443,https://brshoptemp.samsung.com:443,https,application/json,GET,23.37.57.190,/,-1665492060,23.37.57.190,Amazon Web Services,1,False,,,,,,,
cdn-gems.samsung.com,,200,136,cdn-gems.samsung.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-20T00:00:00Z,2024-05-22T23:59:59Z,"CN=akamai.galaxyfriends.com.cn, O=Samsung SDS Co.\, Ltd., L=Songpa-gu, ST=Seoul, C=KR",akamai.galaxyfriends.com.cn,"Samsung SDS Co., Ltd.",cdn.manage.samsungknox.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,464fa80ac7048e4d7fa951c17d252410,1f8fe1b91f8631a256e2ad46deef9300762d98d9681a68ce57993ed25b14a421,,ctls,cdn-gems.samsung.com,,443,https://cdn-gems.samsung.com:443,https,text/html,GET,23.2.13.153,/,-908476027,23.2.13.152,Microsoft ASP.NET,8,False,,,,,,,
cdn.pushmessage.samsung.com,,403,243,cdn.pushmessage.samsung.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-16T00:00:00Z,2023-11-30T23:59:59Z,"CN=*.pushmessage.samsung.com, O=Samsung Electronics Co.\, Ltd., ST=Gyeonggi-do, C=KR",*.pushmessage.samsung.com,"Samsung Electronics Co., Ltd.",pushmessage.samsung.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,63255f6e39e522a4062b6b42c9beaefe,3a1a073801d68941c9739a6c42b9507e839b68a0e375df3a2aa68c332e6f5cc0,True,ctls,cdn.pushmessage.samsung.com,cloudfront,443,https://cdn.pushmessage.samsung.com:443,https,application/xml,GET,13.225.78.122,/,1929796581,2600:9000:21f3:b200:0:9855:f200:93a1,Amazon Web Services,2,False,True,AmazonS3,,,,,
ce.sea.samsung.com,Creative Engine,200,682,ce.sea.samsung.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-22T00:00:00Z,2024-07-20T23:59:59Z,CN=ce.sea.samsung.com,ce.sea.samsung.com,,ce.prismview.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,71f2f56075627168ff948ad2d8214fbb,66aec2c234c576f086d7349f894d7329dd8cfa8a90d5b2e4444b05a0688e19bf,,ctls,ce.sea.samsung.com,cloudfront,443,https://ce.sea.samsung.com:443,https,text/html,GET,143.204.215.3,/,1504301395,2600:9000:214f:4000:5:95be:8840:93a1,Amazon Web Services,1,False,True,AmazonS3,,,,,
ceoemail.webform.samsung.com,Email us | Samsung Support UK,200,4548,ceoemail.webform.samsung.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2023-10-02T23:59:59Z,CN=ceoemail.webform.samsung.com,ceoemail.webform.samsung.com,,email.webform.samsung.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,087f246b3cf8cf4eb36655ea1150e022,30cb84c79a756eb8a81c5ee0484fe36bf04f491e81e440aec0c9773a5e8d0060,,ctls,ceoemail.webform.samsung.com,,443,https://ceoemail.webform.samsung.com:443,https,text/html,GET,52.73.179.200,/,-2062187054,2600:1f18:af:af01:f534:b989:167d:833d,Node.js,1,False,,,,,,,
chn.account.samsung.com,Samsung Account,200,1112,account.samsung.cn,443,True,tls12,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,2023-02-24T01:31:54Z,2024-03-27T01:31:53Z,"CN=support100.cdnetworks.net, O=CDNetworks Inc., L=Diamond Bar, ST=California, C=US",support100.cdnetworks.net,CDNetworks Inc.,*.sericeo.org,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,35177ae43fe034b59e57e98193de4ed8,4c26d0d33802acc47d528784206ffb681a6c86444093df573fe987383ccb4cae,True,ctls,account.samsung.cn,,443,https://chn.account.samsung.com:443,https,text/html,GET,163.171.132.168,/,-780928015,163.171.132.168,HSTS,25,False,,PWS/8.3.1.0.8,,,https://account.samsung.cn/membership,,
cihus.samsung.com,,500,232,cihus.samsung.com,443,True,tls12,TLS_RSA_WITH_AES_256_GCM_SHA384,2023-06-21T00:00:00Z,2024-07-21T23:59:59Z,"CN=cihus.samsung.com, O=SAMSUNG ELECTRONICS CO. LTD, ST=Gyeonggi, C=KR",cihus.samsung.com,SAMSUNG ELECTRONICS CO. LTD,www.cihus.samsung.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,0a07462ca3bdc1dd6803d1a5cd1e660a,203c305a6d11fc74a35ca2f3fbd8a7f5cb79d0e7270949ae546c6325816d7094,,ctls,cihus.samsung.com,,443,https://cihus.samsung.com:443,https,text/xml,GET,206.67.236.230,/,-806471848,206.67.236.230,IBM DataPower,10,False,,,,,,,
clubweixin.samsung.com,samsung club,200,2785,clubweixin.samsung.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-11-15T00:00:00Z,2023-11-29T23:59:59Z,"CN=*.samsung.com, O=Samsung Electronics Co.\, Ltd., ST=Gyeonggi, C=KR",*.samsung.com,"Samsung Electronics Co., Ltd.",samsung.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,b802707a2406176df254186e61a63a1d,769ca43340bc3954beafca8cac8b73fb4976c1b4eb3ad7ce79ab6ee89fa8749d,True,ctls,clubweixin.samsung.com,,443,https://clubweixin.samsung.com:443,https,text/html,GET,27.19.253.213,/,-359007709,27.19.253.213,Tengine,103,False,,Tengine,,,,,
cn-gearapps.samsung.com,,200,,cn-gearapps.samsung.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-24T01:31:54Z,2024-03-27T01:31:53Z,"CN=support100.cdnetworks.net, O=CDNetworks Inc., L=Diamond Bar, ST=California, C=US",support100.cdnetworks.net,CDNetworks Inc.,*.sericeo.org,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,35177ae43fe034b59e57e98193de4ed8,4c26d0d33802acc47d528784206ffb681a6c86444093df573fe987383ccb4cae,True,ctls,cn-gearapps.samsung.com,,443,https://cn-gearapps.samsung.com:443,https,text/html,GET,163.171.128.27,/,-366337701,163.171.128.27,Apache,1,False,,Apache,True,,,,
content.samsung.com,Apps und Services | Samsung DE,200,626595,www.samsung.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-30T00:00:00Z,2024-05-21T23:59:59Z,"CN=www.samsung.com, O=Samsung SDS Co.\, Ltd., L=Songpa-gu, ST=Seoul, C=KR",www.samsung.com,"Samsung SDS Co., Ltd.",www.semiconductor.samsung.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,5064d821b12b4ce3fee410304f161c11,6268966a4ea9a2d735f6e284439280cbce4952c629a89f1e5a7cff04cbbcf1b7,,ctls,www.samsung.com,,443,https://content.samsung.com:443,https,text/html,GET,2.16.202.107,/,1677520814,2.16.202.106,Java,8154,False,,,,,https://www.samsung.com/de/apps/,,
