new,host,a,mx,soa,txt,status_code,aaaa,cdn,cdn-name,cname,caa,ns,has_internal_ips,internal_ips
,support-en.westerndigital.com,147.154.36.62,,"dnsmasterac01.rightnowtech.com, root.rightnowtech.com",,NOERROR,,True,oracle,wdc-en.custhelp.com,,"ednsac01.rightnowtech.com, ns3.p17.dynect.net, ns2.p17.dynect.net, ns1.p17.dynect.net, ns4.p17.dynect.net, ednsac02.rightnowtech.com",,
,support-es.wd.com,147.154.36.62,,"dnsmasterac01.rightnowtech.com, root.rightnowtech.com",,NOERROR,,True,oracle,wd-es.custhelp.com,,,,
,support-eu.wd.com,147.154.36.62,,"dnsmasterac01.rightnowtech.com, root.rightnowtech.com",,NOERROR,,True,oracle,wd-eu.custhelp.com,,,,
,support-fr.wd.com,147.154.36.62,,"dnsmasterac01.rightnowtech.com, root.rightnowtech.com",,NOERROR,,True,oracle,wd-fr.custhelp.com,,,,
,support-in.wd.com,147.154.36.62,,"dnsmasterac01.rightnowtech.com, root.rightnowtech.com",,NOERROR,,True,oracle,wd-in.custhelp.com,,,,
,support-it.wd.com,147.154.36.62,,"dnsmasterac01.rightnowtech.com, root.rightnowtech.com",,NOERROR,,True,oracle,wd-it.custhelp.com,,,,
,support-jp.wd.com,147.154.36.62,,"dnsmasterac01.rightnowtech.com, root.rightnowtech.com",,NOERROR,,True,oracle,wd-jp.custhelp.com,,,,
,support-nl.wd.com,147.154.36.62,,"dnsmasterac01.rightnowtech.com, root.rightnowtech.com",,NOERROR,,True,oracle,wd-nl.custhelp.com,,,,
,support-pl.wd.com,147.154.36.62,,"dnsmasterac01.rightnowtech.com, root.rightnowtech.com",,NOERROR,,True,oracle,wd-pl.custhelp.com,,,,
,support-pt.wd.com,147.154.36.62,,"dnsmasterac01.rightnowtech.com, root.rightnowtech.com",,NOERROR,,True,oracle,wd-pt.custhelp.com,,,,
,support-ru.wd.com,147.154.36.62,,"dnsmasterac01.rightnowtech.com, root.rightnowtech.com",,NOERROR,,True,oracle,wd-ru.custhelp.com,,,,
,support-tr.wd.com,147.154.36.62,,"dnsmasterac01.rightnowtech.com, root.rightnowtech.com",,NOERROR,,True,oracle,wd-tr.custhelp.com,,,,
,support-zh.wd.com,147.154.36.62,,"dnsmasterac01.rightnowtech.com, root.rightnowtech.com",,NOERROR,,True,oracle,wd-zh.custhelp.com,,,,
,support.bugcrowd.com,,,"edna.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,,,,
,support.wd.com,35.167.237.18,,"ns1.wdc.com, dnsadmin.wdc.com",,NOERROR,,,,,,,,
,support.westerndigital.com,35.167.237.18,,"ns1.wdc.com, dnsadmin.wdc.com",,NOERROR,,,,,,"ans1.wdc.com, ans2.wdc.com, ns1.wdc.com, ns2.wdc.com",,
,supportbeta.wd.com,129.253.55.100,,"ns1.wdc.com, dnsadmin.wdc.com",,NOERROR,,,,,,,,
,swag.bugcrowd.com,,,"edna.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,,,,
,t.prod1.email.westerndigital.com,"52.88.24.175, 52.27.25.161",,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,wdc-mkt-prod1-lpjpo-974620049.us-west-2.elb.amazonaws.com,,,,
,t.prod1.notification.westerndigital.com,"52.88.24.175, 52.27.25.161",,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,wdc-mkt-prod1-lpjpo-974620049.us-west-2.elb.amazonaws.com,,,,
,t.prod1.productinfo.westerndigital.com,,,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,wdc-mkt-prod1-lpjpo-974620049.us-west-2.elb.amazonaws.com,,"ns-1527.awsdns-62.org, ns-1856.awsdns-40.co.uk, ns-261.awsdns-32.com, ns-653.awsdns-17.net",,
,tracker.bugcrowd.com,"104.20.6.68, 104.20.7.68",,"edna.ns.cloudflare.com, dns.cloudflare.com",v=spf1 -all,NOERROR,"2606:4700:10::6814:644, 2606:4700:10::6814:744",True,cloudflare,,,,,
,transporter-auth.a.bugcrowd.com,"10.10.134.17, 10.10.137.120, 10.10.128.63, 10.10.131.113, 10.10.132.230",,"ns-161.awsdns-20.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,True,"10.10.134.17, 10.10.137.120, 10.10.128.63, 10.10.131.113, 10.10.132.230"
,transporter-proxy.a.bugcrowd.com,"3.218.87.10, 3.232.202.100",,"ns-161.awsdns-20.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
,twitter.wd.com,"52.89.127.54, 52.36.92.3",,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,elb-mycloudproducts-489185953.us-west-2.elb.amazonaws.com,,,,
,um.westerndigital.com,"52.36.92.3, 52.89.127.54",,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,elb-mycloudproducts-489185953.us-west-2.elb.amazonaws.com,,,,
,vault.connectedbackup.westerndigital.com,"52.3.26.98, 52.70.31.141, 54.227.33.71",,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,ed-nv-prd-web-alb-func-682484526.us-east-1.elb.amazonaws.com,,,,
,video.wd.com,35.167.237.18,,"ns1.wdc.com, dnsadmin.wdc.com",,NOERROR,,,,,,,,
,videos.wd.com,35.167.237.18,,"ns1.wdc.com, dnsadmin.wdc.com",,NOERROR,,,,,,,,
,wallet.a.bugcrowd.com,"54.145.237.52, 18.210.228.113, 3.214.139.4",,"ns-161.awsdns-20.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
,wd.com,"34.208.84.145, 54.148.210.29",,"ns1.wdc.com, dnsadmin.wdc.com","google-site-verification=uNfSsWWSuNd-FonnTfiODPZWKtYo5zUpOWE4eQAzfIQ, v=spf1 ip4:199.15.214.45 ip4:199.15.214.46 ip4:199.15.214.47 ip4:199.15.214.48 ip4:199.15.214.49 ip4:199.15.214.50 ip4:199.15.214.199 ip4:199.15.214.200 ip4:199.15.214.201 ip4:199.15.214.202 ip4:199.15.215.77 ip4:199.15.215.78,  ip4:199.15.215.79 ip4:199.15.215.80 ip4:199.15.215.81 ip4:199.15.215.82 include:mktomail.com ~all",NOERROR,,,,,,"ns1.wdc.com, ans1.wdc.com, ns2.wdc.com, ans2.wdc.com",,
,wd2go.wd.com,35.167.237.18,,"ns1.wdc.com, dnsadmin.wdc.com",,NOERROR,,,,,,,,
,wdlabs.wd.com,"52.36.92.3, 52.89.127.54",,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,elb-mycloudproducts-489185953.us-west-2.elb.amazonaws.com,,,,
,webhelp.westerndigital.com,"34.208.84.145, 54.148.210.29",,"dns1.easydns.com, zone.easydns.com",,NOERROR,,,,sanakamai-aws.sandisk.com,,,,
,westerndigital.com,35.83.93.97,"mx1.hgst.iphmx.com, mx2.hgst.iphmx.com","ns1.wdc.com, dnsadmin.wdc.com","41dab4c729f140c8cf88adff0522cdb5.westerndigital.com, google-site-verification=0flf22bOGYwwRsFOWgi2eXy1YtSqJQH5Yd-2NarXD3E, google-site-verification=nMVZypQ8u0rbwELLWMKXTYcf6Hp233QIT7WFPgdc4Lo, v=spf1 include:spf1.wdc.com ~all, google-site-verification=jQfcUd-Tjs_WMpd2obZ6MWDtV1aRZyV_uJGQ_8y70yY, MS=ms31844720",NOERROR,,,,,,"ans1.wdc.com, ns2.wdc.com, ns1.wdc.com, ans2.wdc.com",,
,ww1.bugcrowd.com,"104.20.7.68, 104.20.6.68",,"edna.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,"2606:4700:10::6814:744, 2606:4700:10::6814:644",True,cloudflare,,,,,
,ww2.bugcrowd.com,"104.17.74.206, 104.17.71.206, 104.17.70.206, 104.17.73.206, 104.17.72.206",,"bart.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,True,cloudflare,"bugcrowdinc.mktoweb.com, ab27.mktossl.com",,,,
,www-dev.westerndigital.com,"34.208.84.145, 54.148.210.29",,"dns1.easydns.com, zone.easydns.com",,NOERROR,,,,sanakamai-aws.sandisk.com,,,,
,www-stage.wd.com,,,,,NOERROR,,,,sanakamai-aws.sandisk.com,,,,
,www-stage.westerndigital.com,"34.208.84.145, 54.148.210.29",,"dns1.easydns.com, zone.easydns.com",,NOERROR,,,,sanakamai-aws.sandisk.com,,,,
,www.bugcrowd.com,"104.20.7.68, 104.20.6.68",,"edna.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,"2606:4700:10::6814:644, 2606:4700:10::6814:744",True,cloudflare,,,,,
,www.connectedbackup.westerndigital.com,,,"ns1.wdc.com, dnsadmin.wdc.com",,NOERROR,,,,,,,,
,www.mirrorit.westerndigital.com,"13.225.78.47, 13.225.78.56, 13.225.78.59, 13.225.78.16",,"ns-1622.awsdns-10.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,"2600:9000:21f3:7a00:15:4e86:3d00:93a1, 2600:9000:21f3:c800:15:4e86:3d00:93a1, 2600:9000:21f3:800:15:4e86:3d00:93a1, 2600:9000:21f3:2800:15:4e86:3d00:93a1, 2600:9000:21f3:a600:15:4e86:3d00:93a1, 2600:9000:21f3:e800:15:4e86:3d00:93a1, 2600:9000:21f3:8200:15:4e86:3d00:93a1, 2600:9000:21f3:3a00:15:4e86:3d00:93a1",True,cloudfront,d3cexoqz4p1kvo.cloudfront.net,,"ns-456.awsdns-57.com, ns-855.awsdns-42.net, ns-1374.awsdns-43.org, ns-1622.awsdns-10.co.uk",,
,www.pages.bugcrowd.com,,,"edna.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,,,,
,www.portal.bugcrowd.com,,,"edna.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,,,,
,www.submissions.bugcrowd.com,,,"edna.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,,,,
,www.support.wd.com,129.253.55.56,,"ns1.wdc.com, dnsadmin.wdc.com",,NOERROR,,,,,,,,
,www.wd.com,104.81.120.175,,"n0ksd.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,"www.westerndigital.com.edgekey.net, e3463.ksd.akamaiedge.net",,,,
,www.westerndigital.com,104.98.230.8,,"n0ksd.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,"www.westerndigital.com.edgekey.net, e3463.ksd.akamaiedge.net",,,,
