input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,csp_domains_,final_url,tls_mismatched,tls_subject_org_
help.gmelius.com,Help Center | Gmelius,200,181116,help.gmelius.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-07-07T08:14:08Z,2023-10-05T08:14:07Z,CN=help.gmelius.com,help.gmelius.com,help.gmelius.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,996f3006c3fcb56418f0b396c210f6c4,10e9b60e272cf9acef70d77264435322452c2b1838c7497003fc0bdc20d17501,,ctls,help.gmelius.com,google,443,https://help.gmelius.com:443,https,openresty,text/html,GET,146.148.41.214,/,1154434788,146.148.41.214,OpenResty,3578,False,True,,,,
https://analytics.google.com/,Redirecting...,200,888,analytics.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-19T08:16:09Z,2023-09-11T08:16:08Z,CN=*.google.com,*.google.com,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,77fce969f6da9c23b46a4179eeece1a8,cd9aec87aa4ae96416bd900a0b81fba5a0f3f8e3b5fd4b2ea159059797f70790,True,ctls,analytics.google.com,,443,https://analytics.google.com:443,https,ESF,text/html,GET,216.239.34.181,/,302920777,2001:4860:4802:36::181,HTTP/3,1,False,,http:,https://analytics.google.com/analytics/web/,,
https://api.company-target.com,403 Forbidden,403,162,api.company-target.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-16T01:17:04Z,2023-10-18T01:17:04Z,"CN=api.demandbase.com, O=Demandbase\, Inc., L=San Francisco, ST=California, C=US, serialNumber=3920817, businessCategory=Private Organization, jurisdictionStateOrProvince=California, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=California, jurisdictionCountry=US",api.demandbase.com,autocomplete.demandbase.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",b4202a476eb175843d01bac1876546a7,7c5fd1f21cdc43d3cdefaf3c71c343c97ac6e3fc5c6eb3f3a1e9a252e9d55b2b,,ctls,api.company-target.com,cloudfront,443,https://api.company-target.com:443,https,nginx,text/html,GET,18.66.97.46,/,-551736798,18.66.97.17,Nginx,8,False,True,,,,"Demandbase, Inc."
https://cdn.bizible.com,,200,,cdn.bizible.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-01T00:00:00Z,2024-07-01T23:59:59Z,"CN=io.bizible.com, O=Edgecast Inc., L=Los Angeles, ST=California, C=US",io.bizible.com,bizible.dnb.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,998b5761fb95a7a7d7b39a90ed2b3b13,48f1a08b0989deff599a22769d72dfcc39ebe59c1f13b2cdb977321d85dc0862,,ctls,cdn.bizible.com,,443,https://cdn.bizible.com:443,https,ECS (frb/67BD),,GET,152.195.15.58,/,-20275242,152.195.15.58,Docker,1,False,,,,,Edgecast Inc.
https://cdn.bizibly.com,,200,,cdn.bizibly.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-01T00:00:00Z,2024-07-01T23:59:59Z,"CN=io.bizible.com, O=Edgecast Inc., L=Los Angeles, ST=California, C=US",io.bizible.com,bizible.dnb.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,998b5761fb95a7a7d7b39a90ed2b3b13,48f1a08b0989deff599a22769d72dfcc39ebe59c1f13b2cdb977321d85dc0862,,ctls,cdn.bizibly.com,,443,https://cdn.bizibly.com:443,https,ECS (frb/67BD),,GET,152.195.15.58,/,-20275242,152.195.15.58,Docker,1,False,,,,,Edgecast Inc.
https://cdn.ss-cdn.com/,,200,,cdn.ss-cdn.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-02T19:15:26Z,2023-09-30T19:15:25Z,CN=ss-cdn.com,ss-cdn.com,ss-cdn.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,132a43fdeff3bd92b1b347defd55c5b8,e81ad52590b4f124a602014d3fdaf09a74fc46aa16f8e79e8843448c57b05e0f,True,ctls,cdn.ss-cdn.com,cloudflare,443,https://cdn.ss-cdn.com:443,https,cloudflare,text/html,GET,104.18.12.101,/,-1989484682,2606:4700::6812:d65,Envoy,1,False,True,,,,
https://cdnjs.cloudflare.com,cdnjs.cloudflare.com,200,8867,cdnjs.cloudflare.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-03T00:00:00Z,2024-07-02T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",380a56ffb036e768cf453e6f16eb5414,d99edad76f5ae08716f33ea0a8348b84b7b098302d18d853e63c090619480754,True,ctls,cdnjs.cloudflare.com,cloudflare,443,https://cdnjs.cloudflare.com:443,https,cloudflare,text/html,GET,104.17.24.14,/,2023033722,2606:4700::6811:180e,HTTP/3,169,False,True,,,,"Cloudflare, Inc."
https://connect.facebook.net,Facebook - log in or sign up,200,59349,m.facebook.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-26T00:00:00Z,2023-07-25T23:59:59Z,"CN=*.facebook.com, O=Meta Platforms\, Inc., L=Menlo Park, ST=California, C=US",*.facebook.com,messenger.com,"CN=DigiCert SHA2 High Assurance Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 High Assurance Server CA,DigiCert Inc,4058fe3358ec9163dbd29c716af611b6,e5c8ec5f91d3b0acde0221c6a88f4bdcd59243a185282a153205a312ee5c0854,True,ctls,m.facebook.com,,443,https://connect.facebook.net:443,https,,text/html,GET,157.240.252.13,/,142313513,2a03:2880:f084:d:face:b00c:0:3,HTTP/3,19,False,,*.facebook.net,https://m.facebook.com/?wtsid=rdr_0gwddIsYVgYROeuHi,,"Meta Platforms, Inc."
https://drift-prod-file-uploads.s3.amazonaws.com,,403,243,drift-prod-file-uploads.s3.amazonaws.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-21T00:00:00Z,2023-12-19T23:59:59Z,CN=*.s3.amazonaws.com,*.s3.amazonaws.com,s3.amazonaws.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,5c786d7d836f7ec7d65e625b0bca2ab2,25b0a7826fcb8f6ae0c7bc14d8e53ea2741097aac08c7243810f2a739d63f6c4,True,ctls,drift-prod-file-uploads.s3.amazonaws.com,,443,https://drift-prod-file-uploads.s3.amazonaws.com:443,https,AmazonS3,application/xml,GET,52.216.145.219,/,-1263948772,52.217.128.129,Amazon Web Services,2,False,,,,,
https://driftcsp.report-uri.com/r/t/csp/reportOnly,Report URI: Welcome to report-uri.com,200,30914,report-uri.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-03T22:25:38Z,2023-09-01T22:25:37Z,CN=report-uri.com,report-uri.com,report-uri.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,1d0f8e4f5bf9633cdbfcbb6583324bda,9ddeca2dc60531cc71041b4d46618852ba3dad85373f43a2cd6bce4cddd18469,True,ctls,report-uri.com,cloudflare,443,https://driftcsp.report-uri.com:443/r/t/csp/reportOnly,https,cloudflare,text/html,GET,104.17.182.88,/r/t/csp/reportOnly,1293322891,2606:4700::6811:ba58,HTTP/3,534,False,True,https://scotthelme.report-uri.com/r/d/csp/enforce,https://report-uri.com,,
https://driftt.imgix.net,"imgix - Image Processing On-Demand, Served By CDN",200,3783,driftt.imgix.net,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-05T12:38:15Z,2024-04-05T12:38:14Z,CN=*.imgix.com,*.imgix.com,imgix.net,"CN=GlobalSign Atlas R3 DV TLS CA 2023 Q1, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2023 Q1,GlobalSign nv-sa,68cc8e35cd1e15ee22b8d6c6535b34a1,8f5d597ba6cc193d6a3a2e92fe2081531b3b706ef8b925fad05e39414e40bc9c,True,ctls,driftt.imgix.net,fastly,443,https://driftt.imgix.net:443,https,Varnish,text/html,GET,146.75.118.208,/,285775083,2a04:4e42:8e::720,,53,False,True,,,True,
https://file2.api.drift.com,Error 404 Not Found,404,407,file2.api.drift.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-03T00:00:00Z,2024-05-01T23:59:59Z,CN=drift.com,drift.com,*.api.driftt.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,7908f0be85d9ef2aaa08689c6109ae13,7f75a95b23c4c66d408a5c5bb55b6b31262da17404b873607bd050cfb779c525,True,ctls,file2.api.drift.com,,443,https://file2.api.drift.com:443,https,istio-envoy,text/html,GET,34.193.113.164,/,-378481289,54.147.21.139,HSTS,16,False,,,,,
https://fonts.gstatic.com/,Error 404 (Not Found)!!1,404,1561,fonts.gstatic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-19T08:20:47Z,2023-09-11T08:20:46Z,CN=*.gstatic.com,*.gstatic.com,*.metric.gstatic.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,c7c819cf4dd7eaac32596a27df440c3a,4232a61304d4799519d0c90e6c12f5aa385c549d99242ed0f0565857dbe97608,True,ctls,fonts.gstatic.com,,443,https://fonts.gstatic.com:443,https,sffe,text/html,GET,142.250.181.227,/,302920777,2a00:1450:4001:82a::2003,HTTP/3,12,False,,,,,
https://js.driftt.com,404 Not Found,404,146,js.driftt.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2023-09-21T23:59:59Z,CN=drift.com,drift.com,*.api.driftt.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,7028a289030126ca8059bc7c501d14ec,80debbb2e5c81426a085db1611a3993ab97948ade5e2aba5f0a6aafc9c8bf2d5,True,ctls,js.driftt.com,cloudfront,443,https://js.driftt.com:443,https,istio-envoy,text/html,GET,18.66.112.55,/,1494302000,18.66.112.41,HSTS,8,False,True,,,True,
https://munchkin.marketo.net,,404,11,munchkin.marketo.net,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-06T00:00:00Z,2024-02-05T23:59:59Z,"CN=*.marketo.net, O=Adobe Inc, L=San Jose, ST=California, C=US",*.marketo.net,marketo.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,90e5491690e76a5f7000772c31872fcc,503000268df4f4674ccf65a7d983917677bf6141675e29207cb1e57d2f25f0ab,True,ctls,munchkin.marketo.net,,443,https://munchkin.marketo.net:443,https,AkamaiNetStorage,,GET,104.102.38.132,/,1864250944,104.102.38.132,,2,False,,,,,Adobe Inc
https://s3.amazonaws.com,Cloud Object Storage – Amazon S3 – Amazon Web Services,200,75093,aws.amazon.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-08T00:00:00Z,2024-03-07T23:59:59Z,CN=aws.amazon.com,aws.amazon.com,1.aws-lbr.amazonaws.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,142203600fa2c4d1b20831103811f8d6,54108acd24884070f6280ba1133869ead976599d259f036c681587b6a5f081f5,,ctls,aws.amazon.com,,443,https://s3.amazonaws.com:443,https,Server,text/html,GET,54.231.194.104,/,564451562,52.216.237.173,Handlebars,815,False,,https://website.spot.ec2.aws.a2z.com,https://aws.amazon.com/s3/,,
https://sentry.io/,Application Performance Monitoring & Error Tracking Software | Sentry,200,325788,sentry.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-06-06T00:00:00Z,2024-07-06T23:59:59Z,"CN=sentry.io, O=Sentry, L=San Francisco, ST=California, C=US",sentry.io,docs.getsentry.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,8aa2a24875398028247e02e02bd6a18c,35ab2e5c10207ed42095c781cdb718a763c420eb2f9973c52aef4ca5b2f20449,,ctls,sentry.io,google,443,https://sentry.io:443,https,nginx,text/html,GET,35.188.42.15,/,-1840324437,35.188.42.15,webpack,59,False,True,images.ctfassets.net,https://sentry.io/welcome/,,Sentry
https://use.typekit.net/,Adobe Fonts | Explore unlimited fonts,200,159479,fonts.adobe.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-15T00:00:00Z,2023-12-16T23:59:59Z,"CN=*.typekit.com, O=Adobe Inc., L=San Jose, ST=California, C=US",*.typekit.com,typekit.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,dd40db78b9c73dbbb2ae84cef44634b4,cd14431f1c8f86d706d6c7df12191ddac4b741e930a5849abc7d39f262d0621e,True,ctls,fonts.adobe.com,,443,https://use.typekit.net:443,https,nginx,text/html,GET,2.16.202.120,/,-236991280,2a02:26f0:780::210:a452,Ruby on Rails,1833,False,,,https://fonts.adobe.com/,True,Adobe Inc.
https://www.facebook.com,Facebook - log in or sign up,200,59314,m.facebook.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-26T00:00:00Z,2023-07-25T23:59:59Z,"CN=*.facebook.com, O=Meta Platforms\, Inc., L=Menlo Park, ST=California, C=US",*.facebook.com,messenger.com,"CN=DigiCert SHA2 High Assurance Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 High Assurance Server CA,DigiCert Inc,4058fe3358ec9163dbd29c716af611b6,e5c8ec5f91d3b0acde0221c6a88f4bdcd59243a185282a153205a312ee5c0854,True,ctls,m.facebook.com,,443,https://www.facebook.com:443,https,,text/html,GET,157.240.251.35,/,142313513,2a03:2880:f176:181:face:b00c:0:25de,HTTP/3,19,False,,www.instagram.com,https://m.facebook.com/?wtsid=rdr_0mOyBAI4X77lsYIa0,,"Meta Platforms, Inc."
https://www.facebook.com/,Facebook - log in or sign up,200,59304,m.facebook.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-26T00:00:00Z,2023-07-25T23:59:59Z,"CN=*.facebook.com, O=Meta Platforms\, Inc., L=Menlo Park, ST=California, C=US",*.facebook.com,messenger.com,"CN=DigiCert SHA2 High Assurance Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 High Assurance Server CA,DigiCert Inc,4058fe3358ec9163dbd29c716af611b6,e5c8ec5f91d3b0acde0221c6a88f4bdcd59243a185282a153205a312ee5c0854,True,ctls,m.facebook.com,,443,https://www.facebook.com:443,https,,text/html,GET,157.240.251.35,/,142313513,2a03:2880:f176:181:face:b00c:0:25de,HTTP/3,19,False,,*.oculuscdn.com,https://m.facebook.com/?wtsid=rdr_0zTIsqCr20Abz5ZMa,,"Meta Platforms, Inc."
https://www.google-analytics.com,Analytics Tools & Solutions for Your Business - Google Analytics,200,118570,marketingplatform.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-19T08:16:09Z,2023-09-11T08:16:08Z,CN=*.google.com,*.google.com,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,77fce969f6da9c23b46a4179eeece1a8,cd9aec87aa4ae96416bd900a0b81fba5a0f3f8e3b5fd4b2ea159059797f70790,True,ctls,marketingplatform.google.com,,443,https://www.google-analytics.com:443,https,sffe,text/html,GET,142.250.185.206,/,302920777,2a00:1450:4001:803::200e,HTTP/3,1833,False,,https://csp.withgoogle.com/csp/uxe-owners-acl/marketing_platform,https://marketingplatform.google.com/about/analytics/,,
