input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,lines,failed,csp_domains_,cdn_name,webserver,tech_,cdn,tls_subject_org_,final_url,tls_expired,tls_self_signed,tls_emails_,location
amt-portaal-ti.vlaanderen.be,OpenID Connect Provider | Vlaanderen.be,200,854,authenticatie-ti.vlaanderen.be,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-05-30T16:26:16Z,2024-06-30T16:26:15Z,"CN=*.vlaanderen.be, O=Ministeries van de Vlaamse Gemeenschap, L=Brussel, ST=Brussels Hoofdstedelijk Gewest, C=BE",*.vlaanderen.be,vlaanderen.be,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,70e8e8435cfcc6a5cf5d571cda659886,eec93b7083f7d71670da870dda2f861bc20120371be914f5c9a855dd942bc86d,True,ctls,authenticatie-ti.vlaanderen.be,443,https://amt-portaal-ti.vlaanderen.be:443,https,text/html,GET,206.164.36.155,/,-1255347784,206.164.36.155,18,False,,,nginx,Nginx,,Ministeries van de Vlaamse Gemeenschap,https://authenticatie-ti.vlaanderen.be/op/v1/auth?client_id=5444a003-260f-4ae9-9096-6dbf41ce89bb&redirect_uri=https://amt-portaal-ti.vlaanderen.be/callback-acm&response_type=code&scope=openid%20vo%20profile%20amtportaal&state=XDVlFN,,,,
amt-portaal.vlaanderen.be,OpenID Connect Provider | Vlaanderen.be,200,854,authenticatie.vlaanderen.be,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-05-30T16:26:16Z,2024-06-30T16:26:15Z,"CN=*.vlaanderen.be, O=Ministeries van de Vlaamse Gemeenschap, L=Brussel, ST=Brussels Hoofdstedelijk Gewest, C=BE",*.vlaanderen.be,vlaanderen.be,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,70e8e8435cfcc6a5cf5d571cda659886,eec93b7083f7d71670da870dda2f861bc20120371be914f5c9a855dd942bc86d,True,ctls,authenticatie.vlaanderen.be,443,https://amt-portaal.vlaanderen.be:443,https,text/html,GET,206.164.36.156,/,-1255347784,206.164.36.156,18,False,,,nginx,Nginx,,Ministeries van de Vlaamse Gemeenschap,https://authenticatie.vlaanderen.be/op/v1/auth?client_id=bd282948-267c-4504-8c89-2243434dfe2a&redirect_uri=https://amt-portaal.vlaanderen.be/callback-acm&response_type=code&scope=openid%20vo%20profile%20amtportaal&state=bebGaT,,,,
amt-viewer-ti.vlaanderen.be,OpenID Connect Provider | Vlaanderen.be,200,854,authenticatie-ti.vlaanderen.be,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-05-30T16:26:16Z,2024-06-30T16:26:15Z,"CN=*.vlaanderen.be, O=Ministeries van de Vlaamse Gemeenschap, L=Brussel, ST=Brussels Hoofdstedelijk Gewest, C=BE",*.vlaanderen.be,vlaanderen.be,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,70e8e8435cfcc6a5cf5d571cda659886,eec93b7083f7d71670da870dda2f861bc20120371be914f5c9a855dd942bc86d,True,ctls,authenticatie-ti.vlaanderen.be,443,https://amt-viewer-ti.vlaanderen.be:443,https,text/html,GET,206.164.36.155,/,-1255347784,206.164.36.155,18,False,,,nginx,Nginx,,Ministeries van de Vlaamse Gemeenschap,https://authenticatie-ti.vlaanderen.be/op/v1/auth?client_id=a436c763-3fa5-4558-8bfa-44c127fbcbdd&redirect_uri=https://amt-viewer-ti.vlaanderen.be/callback-acm&response_type=code&scope=openid%20vo%20profile%20amtviewer&state=kA0L0F,,,,
amt-viewer.vlaanderen.be,OpenID Connect Provider | Vlaanderen.be,200,854,authenticatie.vlaanderen.be,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-05-30T16:26:16Z,2024-06-30T16:26:15Z,"CN=*.vlaanderen.be, O=Ministeries van de Vlaamse Gemeenschap, L=Brussel, ST=Brussels Hoofdstedelijk Gewest, C=BE",*.vlaanderen.be,vlaanderen.be,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,70e8e8435cfcc6a5cf5d571cda659886,eec93b7083f7d71670da870dda2f861bc20120371be914f5c9a855dd942bc86d,True,ctls,authenticatie.vlaanderen.be,443,https://amt-viewer.vlaanderen.be:443,https,text/html,GET,206.164.36.156,/,-1255347784,206.164.36.156,18,False,,,nginx,Nginx,,Ministeries van de Vlaamse Gemeenschap,https://authenticatie.vlaanderen.be/op/v1/auth?client_id=21d33668-86a9-4e18-8c76-802d86da2bb7&redirect_uri=https://amt-viewer.vlaanderen.be/callback-acm&response_type=code&scope=openid%20vo%20profile%20amtviewer&state=8M6E6x,,,,
analytics.data.wse.vlaanderen.be,,200,1587,analytics.data.wse.vlaanderen.be,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-02-10T00:00:00Z,2023-09-25T23:59:59Z,CN=analytics.data.wse.vlaanderen.be,analytics.data.wse.vlaanderen.be,analytics.data.wse.vlaanderen.be,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,faa58fa746a0da637cb8a4ddcb6f30e5,9f06af93995751af5fa1d67fd1052f65d05b64e3362ff78a68bcbda5e624d5a2,,ctls,analytics.data.wse.vlaanderen.be,443,https://analytics.data.wse.vlaanderen.be:443,https,text/html,GET,52.31.220.252,/,-1441956789,54.155.236.100,14,False,https://api.mapbox.com,,Tableau,,,,,,,,
api-alivia.tst.vlaanderen.be,,503,2503,api-alivia.tst.vlaanderen.be,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2023-06-27T10:03:53Z,2024-06-27T10:03:53Z,CN=*.alivia.vlaanderen.be,*.alivia.vlaanderen.be,alivia.vlaanderen.be,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",1776416594d5c7074cc94ac88b390a70,bde8800b9c832cc0a20aff759e9eeb9cf461df6cf7364790a1d05acfc446ca7d,True,ctls,api-alivia.tst.vlaanderen.be,443,https://api-alivia.tst.vlaanderen.be:443,https,text/html,GET,185.180.77.71,/,1539244717,185.180.77.71,94,False,,,,,,,,,,,
api.basisregisters.vlaanderen.be,Basisregisters Vlaanderen - API 2023-05-02,200,6470,docs.basisregisters.vlaanderen.be,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-11-02T00:00:00Z,2023-12-01T23:59:59Z,CN=docs.basisregisters.vlaanderen.be,docs.basisregisters.vlaanderen.be,docs.basisregisters.vlaanderen,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,fcb53e0a44ef9af94818ecea3e82f82c,3e438e8db86ab7b954838fcb16e764a01a0370ef0f247b2ea34442a847e8762e,,ctls,docs.basisregisters.vlaanderen.be,443,https://api.basisregisters.vlaanderen.be:443,https,text/html,GET,52.222.236.85,/,-1512809293,52.222.236.19,112,False,,cloudfront,Vlaamse overheid,,True,,https://docs.basisregisters.vlaanderen.be/docs/api-documentation.html#tag/api-documentation.html,,,,
api.bezoekersregistratie.vlaanderen.be,,200,,api.bezoekersregistratie.vlaanderen.be,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-02-10T00:00:00Z,2023-11-28T23:59:59Z,CN=api.bezoekersregistratie.vlaanderen.be,api.bezoekersregistratie.vlaanderen.be,api.bezoekersregistratie.vlaanderen.be,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,9e7fe303db4b57727f9a21fe9318323c,b3b5c41f2afe1671ed4d593a8b99a1e9424609c8d30127f8ac8423fba24aca09,,ctls,api.bezoekersregistratie.vlaanderen.be,443,https://api.bezoekersregistratie.vlaanderen.be:443,https,text/plain,GET,52.51.123.190,/,-1840324437,54.246.146.50,1,False,,,awselb/2.0,,,,,,,,
api.burgerprofiel.vlaanderen.be,,401,220,api.burgerprofiel.vlaanderen.be,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-12-19T00:00:00Z,2024-01-17T23:59:59Z,CN=api.burgerprofiel.vlaanderen.be,api.burgerprofiel.vlaanderen.be,api.burgerprofiel.vlaanderen.be,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,1cb94b6932df813df06ec4f0242c64d3,7c07cffec53d95f80ac3961b70131a2d38883ce1d6478d3273ca69f13769b4b7,,ctls,api.burgerprofiel.vlaanderen.be,443,https://api.burgerprofiel.vlaanderen.be:443,https,application/json,GET,54.77.136.227,/,904521714,54.229.202.181,1,False,,,envoy,HSTS,,,,,,,
api.crm.contactcenter.vlaanderen.be,,200,,api.crm.contactcenter.vlaanderen.be,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-03-03T15:59:36Z,2024-04-03T15:59:36Z,CN=api.crm.contactcenter.vlaanderen.be,api.crm.contactcenter.vlaanderen.be,www.api.crm.contactcenter.vlaanderen.be,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",51dfac4d49e7867f9a9a20e9a5900819,e62d73fba08c12e1d1958f67d3dc70b55b3fdd8e2c1acb6d6c163e5d22373632,,ctls,api.crm.contactcenter.vlaanderen.be,443,https://api.crm.contactcenter.vlaanderen.be:443,https,,GET,51.144.7.192,/,-1840324437,51.144.7.192,1,False,,azure,Microsoft-IIS/10.0,Windows Server,True,,,,,,
api.dcb-ti.vlaanderen.be,,403,23,api.dcb-ti.vlaanderen.be,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-02-13T00:00:00Z,2024-01-08T23:59:59Z,CN=dcb-ti.vlaanderen.be,dcb-ti.vlaanderen.be,api.dcb-ti.vlaanderen.be,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,7ad70e891396c8131e65717e9d4f1821,fed5d0b13e4f0d000afea3927a7fc078d9bee787368e5c1ed536f62d0e9752d5,,ctls,api.dcb-ti.vlaanderen.be,443,https://api.dcb-ti.vlaanderen.be:443,https,application/json,GET,99.81.137.207,/,968070783,52.31.117.222,1,False,,,,,,,,,,,
api.dcb.vlaanderen.be,,403,23,api.dcb.vlaanderen.be,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-02-10T00:00:00Z,2024-01-10T23:59:59Z,CN=dcb.vlaanderen.be,dcb.vlaanderen.be,esapi.dcb.vlaanderen.be,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,6d6f43bf1aac66d1ad80063bd465a4cd,7490f85106c8f25285982ad3ea72be55862c1934c00790c59838b9024662e125,,ctls,api.dcb.vlaanderen.be,443,https://api.dcb.vlaanderen.be:443,https,application/json,GET,52.215.104.175,/,968070783,52.51.138.134,1,False,,,,,,,,,,,
api.gipod.vlaanderen.be,MDwiki,200,459390,api.gipod.vlaanderen.be,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-10-18T14:37:03Z,2023-11-19T09:00:48Z,CN=*.gipod.vlaanderen.be,*.gipod.vlaanderen.be,gipod.vlaanderen.be,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",35bf32b0d076cf98c8b382491a9ea791,bef562a6c10052c2219ba382fc164510947d6dd0f6f1cbefe359048f0273a20c,True,ctls,api.gipod.vlaanderen.be,443,https://api.gipod.vlaanderen.be:443,https,text/html,GET,13.95.149.218,/,-20275242,13.95.149.218,6845,False,,azure,Microsoft-IIS/10.0,Windows Server,True,,,,,,
api.heygebouwtest.vlaanderen.be,,503,2,api.heygebouwtest.vlaanderen.be,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-04-19T00:00:00Z,2024-05-17T23:59:59Z,CN=api.heygebouwtest.vlaanderen.be,api.heygebouwtest.vlaanderen.be,api.heygebouwtest.vlaanderen.be,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,94d245e9b0c19e3daf71ac72467814b5,2c8a2067ee9a297944074e5fc99a5bc3317ce7f6a3e981be956a570a841e651d,,ctls,api.heygebouwtest.vlaanderen.be,443,https://api.heygebouwtest.vlaanderen.be:443,https,text/plain,GET,3.248.73.25,/,-2088429648,52.213.92.243,1,False,,,awselb/2.0,,,,,,,,
api.loket.lokaalbestuur.vlaanderen.be,,404,42,api.loket.lokaalbestuur.vlaanderen.be,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-07-03T09:49:02Z,2023-10-01T09:49:01Z,CN=api.loket.lokaalbestuur.vlaanderen.be,api.loket.lokaalbestuur.vlaanderen.be,api.loket.lokaalbestuur.vlaanderen.be,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,b373d69a2605e648d2667430a2b0d104,b6f50aff17bf2d2023f6118b9bc545268e309d3fadca31c91f55e8c0c059d5a7,,ctls,api.loket.lokaalbestuur.vlaanderen.be,443,https://api.loket.lokaalbestuur.vlaanderen.be:443,https,,GET,116.203.7.160,/,1696575897,116.203.7.160,1,False,,,nginx/1.21.1,Nginx:1.21.1,,,,,,,
api.terra.vlaanderen.be,,200,,api.terra.vlaanderen.be,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-02-14T00:00:00Z,2023-12-18T23:59:59Z,CN=*.terra.vlaanderen.be,*.terra.vlaanderen.be,*.terra.vlaanderen.be,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,69ef7a9f51798b37bc1468b27276e9b0,1ebf4edd3a8d69f9556d2a6b0a09b74bdc9c6667f41340cd86b7103100dfd4a1,True,ctls,api.terra.vlaanderen.be,443,https://api.terra.vlaanderen.be:443,https,text/plain,GET,34.250.39.133,/,-1840324437,54.73.109.126,1,False,,,,,,,,,,,
app.jeugdmonitor.vlaanderen.be,403 Forbidden,403,199,,,,,,,,,,,,,,,,,,,,80,http://app.jeugdmonitor.vlaanderen.be:80,http,text/html,GET,206.164.33.193,/,-855688948,206.164.33.193,8,False,,,Apache,Apache,,,,,,,
appbeh-mijn-schoolsoftware-app.onderwijs-dev.vlaanderen.be,Applicatie beheer,200,1737,appbeh-mijn-schoolsoftware-app.onderwijs-dev.vlaanderen.be,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-22T00:00:00Z,2023-10-15T23:59:59Z,CN=*.appbeh-mijn-schoolsoftware-app.onderwijs-dev.vlaanderen.be,*.appbeh-mijn-schoolsoftware-app.onderwijs-dev.vlaanderen.be,appbeh-mijn-schoolsoftware-app.onderwijs-dev.vlaanderen.be,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,deac8b017728522c7d8cb15e69913ef6,cbdb60e4b7559832efe28d3d84eaeb558c5dc0e4997e166f399ffd614ddeb618,True,ctls,appbeh-mijn-schoolsoftware-app.onderwijs-dev.vlaanderen.be,443,https://appbeh-mijn-schoolsoftware-app.onderwijs-dev.vlaanderen.be:443,https,text/html,GET,52.222.214.116,/,-1965365761,52.222.214.66,27,False,https://*.gstatic.com,cloudfront,AmazonS3,HSTS,True,,,,,,
appbeheer-opibus-app.onderwijs-stage.vlaanderen.be,Applicatie beheer,200,1910,appbeheer-opibus-app.onderwijs-stage.vlaanderen.be,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-29T00:00:00Z,2024-06-26T23:59:59Z,CN=appbeheer-opibus-app.onderwijs-stage.vlaanderen.be,appbeheer-opibus-app.onderwijs-stage.vlaanderen.be,appbeheer-opibus-app.onderwijs-stage.vlaanderen.be,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,0f2949b1fb1e00bd5ba033235fe2d1f8,39b81d53190fdf366ce37bdd0c55b77387b4e39e36f18cf9ba3d0904337c9184,,ctls,appbeheer-opibus-app.onderwijs-stage.vlaanderen.be,443,https://appbeheer-opibus-app.onderwijs-stage.vlaanderen.be:443,https,text/html,GET,13.32.121.6,/,-1455155283,13.32.121.124,59,False,https://www.google.com,cloudfront,AmazonS3,HSTS,True,,,,,,
appbeheer-opibus-app.vlaanderen.be,Applicatie beheer,200,1910,appbeheer-opibus-app.vlaanderen.be,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-30T00:00:00Z,2024-06-27T23:59:59Z,CN=appbeheer-opibus-app.vlaanderen.be,appbeheer-opibus-app.vlaanderen.be,appbeheer-opibus-app.vlaanderen.be,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,d5000dfcbca166c5e5b946c52bbb52df,a5646921f1ed041cc98f0a869801b3929b6dcebcd5bf4314ae0efe278fcbb377,,ctls,appbeheer-opibus-app.vlaanderen.be,443,https://appbeheer-opibus-app.vlaanderen.be:443,https,text/html,GET,108.138.17.21,/,-1455155283,2600:9000:2491:d600:11:5ce7:1180:93a1,59,False,https://*.gstatic.com,cloudfront,AmazonS3,HSTS,True,,,,,,
appbeheer-opibus-omk-llond-app.onderwijs-stage.vlaanderen.be,Applicatie beheer,200,1910,appbeheer-opibus-omk-llond-app.onderwijs-stage.vlaanderen.be,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-28T00:00:00Z,2023-11-01T23:59:59Z,CN=*.appbeheer-opibus-omk-llond-app.onderwijs-stage.vlaanderen.be,*.appbeheer-opibus-omk-llond-app.onderwijs-stage.vlaanderen.be,appbeheer-opibus-omk-llond-app.onderwijs-stage.vlaanderen.be,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,a66bf8e9d6ed366bae3dce1ec0fddde7,fb3ad77dd58fdb7b4dcc5f16adcb5690d02598f026d49135e9ac61aa51fa807e,True,ctls,appbeheer-opibus-omk-llond-app.onderwijs-stage.vlaanderen.be,443,https://appbeheer-opibus-omk-llond-app.onderwijs-stage.vlaanderen.be:443,https,text/html,GET,143.204.98.55,/,-716660849,143.204.98.80,59,False,https://*.gstatic.com,cloudfront,AmazonS3,HSTS,True,,,,,,
