new,host,a,soa,status_code,cname,mx,ns,txt,caa,aaaa,cdn,cdn-name,has_internal_ips,internal_ips
[x],us-west-2.staging-service.newrelic.com,162.247.242.170,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,wildcard.staging-service.newrelic.com,,,,,,,,,
[x],venice-qa1.mobile-collector.newrelic.com,,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],vpnaccess-https-th-m-wikipedia-org-4-6.service.newrelic.com,"162.247.242.39, 162.247.242.40, 162.247.242.38",,NOERROR,wildcard.service.newrelic.com,,,,,,,,,
[x],vxe-1-2-1.service.newrelic.com,"162.247.242.38, 162.247.242.39, 162.247.242.40","dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,wildcard.service.newrelic.com,,,,,,,,,
[x],xm.service.newrelic.com,"162.247.242.38, 162.247.242.39, 162.247.242.40","dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,wildcard.service.newrelic.com,,,,,,,,,
,academyonline.newrelic.com,,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
,account-information.service.newrelic.com,"162.247.242.40, 162.247.242.38, 162.247.242.39","dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,wildcard.service.newrelic.com,,,,,,,,,
,account.eu.newrelic.com,"185.221.86.9, 185.221.86.41","dns1.p03.nsone.net, hostmaster.nsone.net",NOERROR,public-service-gateway.eu.newrelic.com,,,,,,,,,
,account.newrelic.com,"162.247.242.37, 162.247.242.35, 162.247.242.36","dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,service.newrelic.com,,,,,,,,,
,also-two.newrelic.com,"52.54.167.246, 54.91.113.227, 3.232.103.171, 34.201.255.68",,NOERROR,"service.awsdev.nr-ops.net, mesh-sg-prod-ext-alb-1616017768.us-east-1.elb.amazonaws.com",,,,,,,,,
,api.eu.newrelic.com,"185.221.86.9, 185.221.86.41","dns1.p03.nsone.net, hostmaster.nsone.net",NOERROR,public-service-gateway.eu.newrelic.com,,,,,,,,,
,api.newrelic.com,162.247.242.11,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
,apt.newrelic.com,146.75.122.137,,NOERROR,"download.newrelic.com, k.sni.global.fastly.net",,"ns1.fastly.net, ns2.fastly.net, ns3.fastly.net, ns4.fastly.net",,,,True,fastly,,
,articles.newrelic.com,,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
,auth.newrelic.com,162.247.242.42,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
,azure-res-provider.newrelic.com,,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
,be.newrelic.com,162.247.242.169,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,staging-shared.newrelic.com,,,,,,,,,
,beacon-1.newrelic.com,,"dns1.p02.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
,beacon-3.newrelic.com,,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
,beacon-4.newrelic.com,,"dns1.p08.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
,beta.newrelic.com,"162.247.242.35, 162.247.242.37, 162.247.242.36","dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,service.newrelic.com,,,,,,,,,
,blog.newrelic.com,"151.101.2.137, 151.101.66.137, 151.101.130.137, 151.101.194.137","ns1.fastly.net, hostmaster.fastly.com",NOERROR,dualstack.k.sni.global.fastly.net,,,,,"2a04:4e42:400::649, 2a04:4e42:600::649, 2a04:4e42::649, 2a04:4e42:200::649",True,fastly,,
,br.newrelic.com,,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
,ca.service.newrelic.com,"3.21.48.252, 3.130.14.191, 3.23.5.94, 3.129.33.187, 18.116.99.106, 18.219.167.17, 3.13.8.197, 18.224.208.16, 3.141.74.106",,NOERROR,"us.service.nucleus.newrelic.com, us.nucleus-lb.newrelic.com",,,,,,,,,
,ca.staging-service.newrelic.com,"3.139.209.181, 3.22.85.221, 3.136.254.97, 3.143.41.234, 18.224.224.227, 18.189.241.80",,NOERROR,"staging.service.nucleus.newrelic.com, staging.nucleus-lb.newrelic.com",,,,,,,,,
,cf-proxystaging.service.eu.newrelic.com,"185.221.86.8, 185.221.86.40","dns1.p03.nsone.net, hostmaster.nsone.net",NOERROR,wildcard.service.eu.newrelic.com,,,,,,,,,
,chart-embed.service.eu.newrelic.com,"3.72.139.119, 3.73.23.146, 3.71.161.175, 52.58.246.158, 3.124.168.10, 18.196.172.45",,NOERROR,"eu.service.nucleus.newrelic.com, eu.nucleus-lb.newrelic.com",,,,,,,,,
,chi-8-api-internal.service.eu.newrelic.com,"185.221.86.8, 185.221.86.40",,NOERROR,wildcard.service.eu.newrelic.com,,,,,,,,,
,chi-infra-api.newrelic.com,162.247.242.5,,NOERROR,,,,,,,,,,
,chi-insights-collector.newrelic.com,162.247.242.30,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
,chi-staging-infra-api.newrelic.com,162.247.242.150,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
,chi-staging-insights-collector.newrelic.com,162.247.242.147,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
,chi-staging-log-api.newrelic.com,162.247.242.158,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
,chi-staging-trace-api.newrelic.com,162.247.242.141,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
,click.notifications.newrelic.com,"167.89.123.54, 167.89.123.124, 167.89.118.52, 167.89.118.83","ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,sendgrid.net,"mx.sendgrid.net, mx2.sendgrid.net","ns15.dnsmadeeasy.com, ns10.dnsmadeeasy.com, ns12.dnsmadeeasy.com, ns14.dnsmadeeasy.com, ns13.dnsmadeeasy.com, ns11.dnsmadeeasy.com","mailru-verification: 2e3995fa8a7d00e0, google-site-verification=1UEf8ey-RibUjY6gnpqIZFjWNqMknmeyeHz1zTmj0DE, v=spf1 ip4:167.89.0.0/17 ip4:208.117.48.0/20 ip4:50.31.32.0/19 ip4:198.37.144.0/20 ip4:198.21.0.0/21 ip4:192.254.112.0/20 ip4:168.245.0.0/17 ip4:149.72.0.0/16 ip4:159.183.0.0/16 include:ab.sendgrid.net ~all, p8bnb2lp424dkl3c4io1aemiei","amazonaws.com, godaddy.com",,,,,
,cloud-collector.eu.newrelic.com,0.0.0.0,"fake-for-negative-caching.adguard.com, hostmaster.cloud-collector.eu.newrelic.com",NOERROR,,,,,,::,,,True,0.0.0.0
,cloudfront-dl.newrelic.com,"18.66.97.93, 18.66.97.26, 18.66.97.98, 18.66.97.123",,NOERROR,d2zpfo58fdemx3.cloudfront.net,,,,,,True,cloudfront,,
,collector-006.newrelic.com,162.247.243.32,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"collector.cell.nr-data.net, fastly-tls12-collector.newrelic.com, tls12.newrelic.com.cdn.cloudflare.net",,,,,,,,,
,collector-2.staging-collectors.newrelic.com,162.247.243.6,"dns1.p05.nsone.net, hostmaster.nsone.net, dns1.p07.nsone.net",NOERROR,"collector-2.staging-collectors.cell.nr-data.net, fastly-staging-collectors.newrelic.com, collector-2.staging-collectors.newrelic.com.cdn.cloudflare.net, spectrum.staging-collectors.newrelic.com",,,,,,,,,
,collector-6.newrelic.com,162.247.242.26,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
,collector-9.newrelic.com,162.247.242.14,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
,collector-pool.newrelic.com,"162.247.242.27, 162.247.242.26, 162.247.242.14, 162.247.242.28","dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
,collector-pool.staging-collectors.newrelic.com,162.247.243.6,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,"collector-pool.staging-collectors.cell.nr-data.net, fastly-staging-collectors.newrelic.com",,,,,,,,,
,collector.eu.newrelic.com,185.221.85.4,"dns1.p03.nsone.net, hostmaster.nsone.net, ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"collector.cell.eu.nr-data.net, tls12.eu.newrelic.com.cdn.cloudflare.net, fastly-tls12-collector.eu.newrelic.com",,,,,,,,,
,collector.newrelic.com,162.247.243.32,"dns1.p07.nsone.net, hostmaster.nsone.net, ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"collector.cell.nr-data.net, fastly-tls12-collector.newrelic.com, tls12.newrelic.com.cdn.cloudflare.net",,,,,,,,,
,community.newrelic.com,,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,"mxb.mailgun.org, mxa.mailgun.org",,v=spf1 include:mailgun.org ~all,,,,,,
,current-azure-ext.newrelic.com,,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
,de.blog.newrelic.com,,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
,dev-login.newrelic.com,162.247.242.154,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
,dev-one.newrelic.com,162.247.242.148,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,staging-service.newrelic.com,,,,,,,,,
,developer.newrelic.com,"199.232.194.22, 199.232.198.22","ns1.fastly.net, hostmaster.fastly.com",NOERROR,"developerwebsite.gatsbyjs.io, dualstack.eu-na.gatsbyjs.map.fastly.net",,,,,"2a04:4e42:4c::534, 2a04:4e42:4d::534",True,fastly,,
,df-azure-ext.newrelic.com,,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
,diagnostics.service.newrelic.com,"3.129.33.187, 18.116.99.106, 18.219.167.17, 3.130.14.191, 3.23.5.94, 3.21.48.252, 18.224.208.16, 3.141.74.106, 3.13.8.197",,NOERROR,"us.service.nucleus.newrelic.com, us.nucleus-lb.newrelic.com",,,,,,,,,
,discuss.newrelic.com,"151.101.2.137, 151.101.194.137, 151.101.130.137, 151.101.66.137",,NOERROR,k.sni.global.fastly.net,,,,,,True,fastly,,
,docs-dev.newrelic.com,199.232.34.22,,NOERROR,"docswebsitestaging.gatsbyjs.io, dualstack.eu-na.gatsbyjs.map.fastly.net",,,,,,True,fastly,,
,docs-preview.newrelic.com,199.232.34.22,"ns1.fastly.net, hostmaster.fastly.com",NOERROR,"betadocssite.gatsbyjs.io, dualstack.eu-na.gatsbyjs.map.fastly.net",,,,,,True,fastly,,
,docs-ra.newrelic.com,,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
,docs-staging.newrelic.com,,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
,docs.newrelic.com,199.232.18.22,,NOERROR,"docswebsite.gatsbyjs.io, dualstack.eu-na.gatsbyjs.map.fastly.net",,,,,,True,fastly,,
,download.newrelic.com,"151.101.66.137, 151.101.130.137, 151.101.194.137, 151.101.2.137","ns1.fastly.net, hostmaster.fastly.com",NOERROR,k.sni.global.fastly.net,,,,,,True,fastly,,
,elb.nucleus-lb.newrelic.com,,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
,eu-fluffy-paws.nucleus-lb.newrelic.com,,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
,eu.newrelic.com,,"dns1.p03.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
,eu.newrelic.com-tls12.eu.newrelic.com,,"dns1.p03.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
,eu.nucleus-lb.newrelic.com,"3.73.23.146, 3.124.168.10, 18.196.172.45, 52.58.246.158, 3.71.161.175, 3.72.139.119","dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
,fastly-log-api.eu.newrelic.com,185.221.87.12,"dns1.p03.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
,fastly-log-api.newrelic.com,162.247.243.22,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
,fastly-staging-cloud-collector.newrelic.com,162.247.243.4,,NOERROR,,,,,,,,,,
,fastly-tls12-collector.eu.newrelic.com,185.221.87.26,"dns1.p03.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
,fastly-tls12-collector.newrelic.com,162.247.243.32,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
,feedback-service.staging-service.newrelic.com,"3.139.209.181, 18.189.241.80, 18.224.224.227, 3.143.41.234, 3.22.85.221, 3.136.254.97",,NOERROR,"staging.service.nucleus.newrelic.com, staging.nucleus-lb.newrelic.com",,,,,,,,,
,gatsby-theme-demo.newrelic.com,"199.232.194.22, 199.232.198.22",,NOERROR,"gatsbythemedemo.gatsbyjs.io, dualstack.eu-na.gatsbyjs.map.fastly.net",,,,,,True,fastly,,
,get.newrelic.com,"104.17.71.206, 104.17.73.206, 104.17.74.206, 104.17.72.206, 104.17.70.206",,NOERROR,mkto-ab440025.com,,"ns1.marketo.com, ns2.mktdns.com",,,,True,cloudflare,,
,gorgonauth.service.eu.newrelic.com,"185.221.86.40, 185.221.86.8",,NOERROR,wildcard.service.eu.newrelic.com,,,,,,,,,
,grpc.newrelic.com,,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
,h2-wildcard.service.newrelic.com,162.247.242.23,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
,h2-wildcard.staging-service.newrelic.com,162.247.242.171,,NOERROR,,,,,,,,,,
,helix.newrelic.com,"162.247.242.35, 162.247.242.36, 162.247.242.37","dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,service.newrelic.com,,,,,,,,,
,herald.service.newrelic.com,"3.141.74.106, 3.130.14.191, 3.21.48.252, 18.116.99.106, 3.13.8.197, 3.23.5.94, 18.219.167.17, 18.224.208.16, 3.129.33.187","dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,"us.service.nucleus.newrelic.com, us.nucleus-lb.newrelic.com",,,,,,,,,
,heroku.newrelic.com,"162.247.242.35, 162.247.242.36, 162.247.242.37",,NOERROR,service.newrelic.com,,,,,,,,,
,i18n.newrelic.com,,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
,identity-api.eu.newrelic.com,"185.221.86.19, 185.221.86.51",,NOERROR,,,,,,,,,,
,identity-api.newrelic.com,162.247.242.44,,NOERROR,,,,,,,,,,
,infra-api.newrelic.com,162.247.241.2,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"infra-api.cell.nr-data.net, tls12.newrelic.com.cdn.cloudflare.net",,,,,,,,,
,infrastructure-command-api.eu.newrelic.com,"3.72.139.119, 3.71.161.175, 52.58.246.158, 18.196.172.45, 3.73.23.146, 3.124.168.10",,NOERROR,eu.nucleus-lb.newrelic.com,,,,,,,,,
,infrastructure-command-api.newrelic.com,162.247.242.49,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,ip-162-247-242-49.newrelic.com,,,,,,,,,
,infrastructure.eu.newrelic.com,"185.221.86.9, 185.221.86.41","dns1.p03.nsone.net, hostmaster.nsone.net",NOERROR,public-service-gateway.eu.newrelic.com,,,,,,,,,
,ingest-integration.newrelic.com,146.75.118.132,,NOERROR,"ingest-integration.cell.nr-data.net, dev-fastly-switchboard.newrelic.com, j.sni.global.fastly.net",,,,,,True,fastly,,
,ingest-test-api.eu.newrelic.com,185.221.85.5,,NOERROR,ingest-test-api.eu.newrelic.com.cdn.cloudflare.net,,,,,,,,,
,ingest-test.newrelic.com,,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
,insights-api.newrelic.com,162.247.242.41,,NOERROR,legacy-service.newrelic.com,,,,,,,,,
,insights.eu.newrelic.com,"185.221.86.9, 185.221.86.41","dns1.p03.nsone.net, hostmaster.nsone.net",NOERROR,public-service-gateway.eu.newrelic.com,,,,,,,,,
,insights.newrelic.com,"162.247.242.35, 162.247.242.36, 162.247.242.37",,NOERROR,service.newrelic.com,,,,,,,,,
,integration.newrelic.com,162.247.242.169,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,staging-shared.newrelic.com,,,,,,,,,
,intercom-auth.service.newrelic.com,"162.247.242.40, 162.247.242.38, 162.247.242.39","dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,wildcard.service.newrelic.com,,,,,,,,,
,intercom-auth.staging-service.newrelic.com,162.247.242.170,,NOERROR,wildcard.staging-service.newrelic.com,,,,,,,,,
,ir.newrelic.com,"162.159.129.11, 162.159.130.11",,NOERROR,"webfarm-35.q4web.com, webfarm-30924.q4web.com, webfarm-300.q4web.com, cloudflare.cdn.web.prd.q4inc.com, cloudflare.cdn.web.prd.q4inc.com.cdn.cloudflare.net",,,,,,True,cloudflare,,
,js-agent.newrelic.com,151.101.46.137,"ns1.fastly.net, hostmaster.fastly.com",NOERROR,k.sni.global.fastly.net,,,,,,True,fastly,,
,k8s-config-generator.service.newrelic.com,"3.21.48.252, 3.23.5.94, 3.129.33.187, 3.130.14.191, 3.141.74.106, 18.116.99.106, 18.219.167.17, 18.224.208.16, 3.13.8.197","dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,"us.service.nucleus.newrelic.com, us.nucleus-lb.newrelic.com",,,,,,,,,
,k8s-config-generator.staging-service.newrelic.com,"18.224.224.227, 3.22.85.221, 3.136.254.97, 3.139.209.181, 3.143.41.234, 18.189.241.80",,NOERROR,"staging.service.nucleus.newrelic.com, staging.nucleus-lb.newrelic.com",,,,,,,,,
,knowledge.newrelic.com,"2.18.63.55, 2.18.63.38",,NOERROR,"knowledge.newrelic.com.00d1u000000xkhkuae.live.siteforce.com, sdc.prod.communities.salesforce.cdn.edgekey.net, e78038.dsca.akamaiedge.net",,,,,"2a02:26f0:c900:9::5f65:4a9f, 2a02:26f0:c900:9::5f65:4a8b",,,,
,learn-dev.newrelic.com,,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
,learn.newrelic.com,"13.225.78.2, 13.225.78.94, 13.225.78.8, 13.225.78.96",,NOERROR,learn.newrelic.com.skilljarapp.com,,,,,,True,cloudfront,,
,legacy-service.newrelic.com,162.247.242.41,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
,legacy-status.newrelic.com,,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
,log-api.newrelic.com,0.0.0.0,"fake-for-negative-caching.adguard.com, hostmaster.log-api.newrelic.com",NOERROR,,,,,,::,,,True,0.0.0.0
,loghost.newrelic.com,10.1.0.17,,NOERROR,chi-ops-log-1.nr-ops.net,,,,,,,,True,10.1.0.17
,login.newrelic.com,162.247.242.42,,NOERROR,,,,,,,,,,
,mail-159-1.alerts.newrelic.com,192.237.159.1,,NOERROR,,,,,,,,,,
,mail-159-2.alerts.newrelic.com,192.237.159.2,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
,mail-159-3.alerts.newrelic.com,192.237.159.3,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
,mail-182-156.alerts.newrelic.com,23.253.182.156,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
,mail-182-157.alerts.newrelic.com,23.253.182.157,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
,mail-255-45.alerts.newrelic.com,,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
,maps.eu.newrelic.com,"185.221.86.41, 185.221.86.9",,NOERROR,public-service-gateway.eu.newrelic.com,,,,,,,,,
,meetme.newrelic.com,"162.247.242.35, 162.247.242.36, 162.247.242.37","dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,service.newrelic.com,,,"google-site-verification=H9LcM9OsqwRJRJDvX_9NGjmN84vPvewGCdvwBisd_Ac, yandex-verification: 29b3e6dd229193fb",,,,,,
,metric-api.eu.newrelic.com,185.221.85.7,,NOERROR,"metric-api.cell.eu.nr-data.net, metric-api.eu.newrelic.com.cdn.cloudflare.net",,,,,,,,,
,mobile-collector-cf.newrelic.com,,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
,mobile-collector-origin.newrelic.com,162.247.242.24,,NOERROR,,,,,,,,,,
,mobile-collector.newrelic.com,162.247.241.4,"ns1.cloudflare.net, dns.cloudflare.com, dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,"mobile-collector.cell.nr-data.net, mobile-collector.newrelic.com.cdn.cloudflare.net, fastly-mobile-collector.newrelic.com",,,,,162.247.243.24,,,,
