input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,cdn,tech_,csp_domains_,tls_mismatched,tls_wildcard_certificate,final_url
data.starlinkisp.net,,403,136,data.starlinkisp.net,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-14T00:00:00Z,2024-03-14T23:59:59Z,CN=*.starlinkisp.net,*.starlinkisp.net,,*.starlinkisp.net,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,6c33d9de6f7d53589f957d8a3ca86f67,6a9ffb6dd029f0ad187fefd01d3fc3e723776118ccb2012cdfbe21c5610e523a,ctls,data.starlinkisp.net,,443,https://data.starlinkisp.net:443,https,,application/json,GET,52.39.32.203,/,1327305858,52.89.137.4,1,False,,,,,True,
email.starlink.com,Sign In,200,241116,sso.secureserver.net,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-10-04T01:30:11Z,2023-11-05T01:30:11Z,"CN=*.secureserver.net, O=Special Domain Services\, LLC, L=Tempe, ST=Arizona, C=US",*.secureserver.net,"Special Domain Services, LLC",secureserver.net,"CN=Starfield Secure Certificate Authority - G2, OU=http://certs.starfieldtech.com/repository/, O=Starfield Technologies\, Inc., L=Scottsdale, ST=Arizona, C=US",Starfield Secure Certificate Authority - G2,"Starfield Technologies, Inc.",75a208eec6aede64ae63b10a7697d857,2633df2f68a7928c16a85e52956a6055d0e6b36d9c33effef3c42234a2fdaa87,ctls,sso.secureserver.net,,443,https://email.starlink.com:443,https,envoy,text/html,GET,45.40.130.40,/,1732495730,173.201.193.5,106,False,,React,,,True,https://sso.secureserver.net/login?app=o365&realm=pass
france.starlink.com,,404,67,,,,,,,,,,,,,,,,,,,,80,http://france.starlink.com:80,http,Vercel,text/plain,GET,76.76.21.61,/,1307429962,76.76.21.22,4,False,,Vercel,,,,
geoip.starlinkisp.net,,200,109,geoip.starlinkisp.net,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-12T00:00:00Z,2024-05-10T23:59:59Z,CN=geoip.starlinkisp.net,geoip.starlinkisp.net,,geoip.starlinkisp.net,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,b8c22e8dea5675b6abf629ce7aeef132,d8331cd217f20513eccac89af36b652f48f14f165a61a2bbeeb143fefb75922f,ctls,geoip.starlinkisp.net,cloudfront,443,https://geoip.starlinkisp.net:443,https,AmazonS3,text/html,GET,99.86.4.72,/,-831895039,2600:9000:2057:3400:1b:d5de:1900:93a1,9,False,True,HTTP/3,URL=/feed.csv,,,
https://analytics.starlink.com,502 Bad Gateway,502,431,analytics.starlink.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-06T00:00:00Z,2024-04-18T23:59:59Z,"CN=analytics.starlink.com, O=Space Exploration Technologies Corp., L=Hawthorne, ST=California, C=US",analytics.starlink.com,Space Exploration Technologies Corp.,www.analytics.starlink.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,89b9b369359ea21a51613a2e66cdfcb8,d61472ba9d58799e01700c0313aa339ef1f42b506837ffddf7a8679476c8dd39,ctls,analytics.starlink.com,fastly,443,https://analytics.starlink.com:443,https,whydoyoucare?,text/html,GET,146.75.122.133,/,-1388203385,146.75.122.133,18,False,True,HSTS,,,,
https://analytics.twitter.com,Twitter Analytics,200,6346,analytics.twitter.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-01T00:00:00Z,2023-10-01T23:59:59Z,"CN=*.twitter.com, O=Twitter\, Inc., L=San Francisco, ST=California, C=US",*.twitter.com,"Twitter, Inc.",twitter.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,3a47bf19dcf3c39f2258bb6ae44eaaac,46fe842999eda1d32a2df40c28da7735bb58ddda34e2efc763475d0bb5de81e1,ctls,analytics.twitter.com,,443,https://analytics.twitter.com:443,https,tsa_f,text/html,GET,104.244.42.3,/,-1831547740,104.244.42.195,129,False,,HSTS,https://analytics.twitter.com,,True,https://analytics.twitter.com/about
https://api.starlink.com,,404,,api.starlink.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-09T00:00:00Z,2024-06-08T23:59:59Z,"CN=starlink.com, O=Space Exploration Technologies Corp., L=Hawthorne, ST=California, C=US",starlink.com,Space Exploration Technologies Corp.,api.starlink.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,8284e9f8ab0170a1864f355d6d5d8f28,1e399e17e92bed065c2e44873ee895ec3c9ddf91dacd46adf5c12b5bf77af0ae,ctls,api.starlink.com,fastly,443,https://api.starlink.com:443,https,whydoyoucare?,,GET,146.75.118.133,/,-1840324437,146.75.118.133,1,False,True,HSTS,,,,
https://cdn.cookielaw.org,,400,351,cdn.cookielaw.org,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-01T00:00:00Z,2024-03-31T23:59:59Z,"CN=cookielaw.org, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",cookielaw.org,"Cloudflare, Inc.",*.cookielaw.org,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",37ab0e71043c8086e3dd0c243ddc96a0,5d2949ef89a4f8bcb4cd2993b031af4344263b2d584da9f9139d2aae7c6cbed2,ctls,cdn.cookielaw.org,cloudflare,443,https://cdn.cookielaw.org:443,https,cloudflare,application/xml,GET,104.18.170.114,/,-772530126,2606:4700::6812:aa72,3,False,True,HSTS,,,True,
https://geolocation.onetrust.com,Trust Intelligence Cloud Solutions | OneTrust,200,154416,www.onetrust.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-18T00:00:00Z,2024-06-16T23:59:59Z,"CN=onetrust.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",onetrust.com,"Cloudflare, Inc.",*.argocd.onetrust.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",cb8eb0830b71a8d9d3a4c2850211cc28,1f001e57676ddb9f4e11195b4398da4a482a98242c4f562bde12a840b814f248,ctls,www.onetrust.com,cloudflare,443,https://geolocation.onetrust.com:443,https,cloudflare,text/html,GET,104.18.28.38,/,1391233023,2606:4700::6812:1c26,2550,False,True,Java,*.licdn.com,,True,https://www.onetrust.com
https://starlink.com,Starlink,200,4493,www.starlink.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-09T00:00:00Z,2024-06-08T23:59:59Z,"CN=starlink.com, O=Space Exploration Technologies Corp., L=Hawthorne, ST=California, C=US",starlink.com,Space Exploration Technologies Corp.,api.starlink.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,8284e9f8ab0170a1864f355d6d5d8f28,1e399e17e92bed065c2e44873ee895ec3c9ddf91dacd46adf5c12b5bf77af0ae,ctls,www.starlink.com,fastly,443,https://starlink.com:443,https,whydoyoucare?,text/html,GET,151.101.66.133,/,-1991500073,151.101.66.133,65,False,True,hCaptcha,https://maps.googleapis.com/,,,https://www.starlink.com/
https://static.ads-twitter.com,,403,243,static.ads-twitter.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-07-22T00:00:00Z,2023-08-22T23:59:59Z,"CN=ads-twitter.com, O=Twitter\, Inc., L=San Francisco, ST=California, C=US",ads-twitter.com,"Twitter, Inc.",static.ads-twitter.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,d0d5d940ca06e81785a2094394c4ce5a,d1f365935d2a75aee8d86b4eb4341b07fb0f48fb1b2c1be4bc7af3381aa5ca6c,ctls,static.ads-twitter.com,fastly,443,https://static.ads-twitter.com:443,https,,application/xml,GET,146.75.120.157,/,1150497837,146.75.120.157,2,False,True,,,,,
https://support.starlink.com,Help Center,200,2302,support.starlink.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-09T00:00:00Z,2024-06-08T23:59:59Z,"CN=starlink.com, O=Space Exploration Technologies Corp., L=Hawthorne, ST=California, C=US",starlink.com,Space Exploration Technologies Corp.,api.starlink.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,8284e9f8ab0170a1864f355d6d5d8f28,1e399e17e92bed065c2e44873ee895ec3c9ddf91dacd46adf5c12b5bf77af0ae,ctls,support.starlink.com,fastly,443,https://support.starlink.com:443,https,whydoyoucare?,text/html,GET,146.75.118.133,/,-935042138,146.75.118.133,48,False,True,HSTS,https://static.ads-twitter.com,,,
https://t.co,t.co / Twitter,200,3367,t.co,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-14T00:00:00Z,2023-11-14T23:59:59Z,"CN=t.co, O=Twitter\, Inc., L=San Francisco, ST=California, C=US",t.co,"Twitter, Inc.",www.t.co,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,91ecdcf673afaa5e0ccace9d7ea8e63e,8c871edfd9c6b13bbf9f1a8b14efcb5b43a01382a45e8632f98e6adf93f465f9,ctls,t.co,,443,https://t.co:443,https,tsa_f,text/html,GET,104.244.42.69,/,-1831547740,104.244.42.197,50,False,,HSTS,,,,
https://www.starlink.com,Starlink,200,4493,www.starlink.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-09T00:00:00Z,2024-06-08T23:59:59Z,"CN=starlink.com, O=Space Exploration Technologies Corp., L=Hawthorne, ST=California, C=US",starlink.com,Space Exploration Technologies Corp.,api.starlink.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,8284e9f8ab0170a1864f355d6d5d8f28,1e399e17e92bed065c2e44873ee895ec3c9ddf91dacd46adf5c12b5bf77af0ae,ctls,www.starlink.com,fastly,443,https://www.starlink.com:443,https,whydoyoucare?,text/html,GET,151.101.2.133,/,-1991500073,151.101.194.133,65,False,True,hCaptcha,https://static.ads-twitter.com,,,
imgs.hcaptcha.starlink.com,,404,,imgs.hcaptcha.starlink.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-13T00:00:00Z,2023-11-13T23:59:59Z,"CN=hcaptcha.starlink.com, O=Space Exploration Technologies Corp., L=Hawthorne, ST=California, C=US",hcaptcha.starlink.com,Space Exploration Technologies Corp.,assets.hcaptcha.starlink.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ab5b23e7533a029db7bf6cf493690456,fdcd3ae78bcd8eec5799d3783c1a69e46fcff6112c4ce95611fa400abad62d07,ctls,imgs.hcaptcha.starlink.com,google,443,https://imgs.hcaptcha.starlink.com:443,https,nginx/1.20.2,,GET,34.111.246.71,/,-1840324437,34.111.246.71,1,False,True,Nginx:1.20.2,,,,
italy.starlink.com,,404,67,,,,,,,,,,,,,,,,,,,,80,http://italy.starlink.com:80,http,Vercel,text/plain,GET,76.76.21.142,/,1307429962,76.76.21.98,4,False,,Vercel,,,,
lyncdiscover.starlink.com,,200,362,lyncdiscover.starlink.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,2023-02-03T18:41:36Z,2024-01-29T18:41:36Z,"CN=*.online.lync.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",*.online.lync.com,Microsoft Corporation,*.lync.com,"CN=Microsoft Azure TLS Issuing CA 06, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 06,Microsoft Corporation,2caac3e97714f2cd46d17017c8f7ca9e,f38e6481f423e45388c4b40cabf45c6641d3131d29bed689eac88c27936a5618,ctls,lyncdiscover.starlink.com,,443,https://lyncdiscover.starlink.com:443,https,,application/json,GET,52.112.193.16,/,2042310390,2603:1027:0:48::21,1,False,,Azure,,True,True,
metabase.starlink.com,Sign in to your account,200,41288,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-25T00:00:00Z,2024-05-25T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,7c7414a61d2496accd312122c5241231,2c204118a10394b7abd4cd1f9d1a885acb273a1ebe0091f82e567b1137495fb7,ctls,login.microsoftonline.com,azure,443,https://metabase.starlink.com:443,https,,text/html,GET,52.188.11.213,/,1226283809,52.188.11.213,95,False,True,HSTS,,,,https://login.microsoftonline.com/ef182401-f482-4ecf-9209-b9e49675cff7/oauth2/authorize?response_type=code&client_id=b94e85eb-481f-4996-99ad-4a3b0844a78e&scope=openid&nonce=9bcade99-bdbf-4fce-afa7-e0fae8eb2373&redirect_uri=https%3a%2f%2fmetabase.starlink.com%2f&state=AppProxyState%3a%7b%22InvalidTokenRetry%22%3anull%2c%22IsMsofba%22%3afalse%2c%22OriginalRawUrl%22%3a%22https%3a%5c%2f%5c%2fmetabase.starlink.com%5c%2f%22%2c%22RequestProfileId%22%3anull%2c%22SessionId%22%3a%22bbb236a3-498e-40ef-bc55-b8d9887201b9%22%7d%23EndOfStateParam%23&client-request-id=bbb236a3-498e-40ef-bc55-b8d9887201b9
report.hcaptcha.starlink.com,hCaptcha - Stop more bots. Start protecting privacy.,200,82890,www.hcaptcha.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-15T00:00:00Z,2024-04-14T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",76f1a09a9fc70f20b972707426b775ee,9218de85ef236a86c9984357602141f0e40794e8a07f4ccf91f1d229e7c828fc,ctls,www.hcaptcha.com,google,443,https://report.hcaptcha.starlink.com:443,https,cloudflare,text/html,GET,34.111.246.71,/,-1185648493,34.111.246.71,328,False,True,hCaptcha,d3e54v103j8qbb.cloudfront.net,,True,https://www.hcaptcha.com
setup.starlink.com,Starlink,200,4493,www.starlink.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-09T00:00:00Z,2024-06-08T23:59:59Z,"CN=starlink.com, O=Space Exploration Technologies Corp., L=Hawthorne, ST=California, C=US",starlink.com,Space Exploration Technologies Corp.,api.starlink.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,8284e9f8ab0170a1864f355d6d5d8f28,1e399e17e92bed065c2e44873ee895ec3c9ddf91dacd46adf5c12b5bf77af0ae,ctls,www.starlink.com,fastly,443,https://setup.starlink.com:443,https,whydoyoucare?,text/html,GET,151.101.2.133,/,-1991500073,151.101.194.133,65,False,True,hCaptcha,https://fonts.googleapis.com,,,https://www.starlink.com/setup
shop.beta.starlink.com,502 Bad Gatway,502,428,shop.beta.starlink.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-30T00:00:00Z,2023-10-12T23:59:59Z,"CN=shop.beta.starlink.com, O=Space Exploration Technologies Corp., L=Hawthorne, ST=California, C=US",shop.beta.starlink.com,Space Exploration Technologies Corp.,shop.beta.starlink.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,c3f3b05c6abf3054ecbe8ca6421226a0,aafaf5d7675047c95466287c4bd86e5e5bcaaee63e6d986a11806505b93e4a73,ctls,shop.beta.starlink.com,fastly,443,https://shop.beta.starlink.com:443,https,whydoyoucare?,text/html,GET,151.101.2.133,/,1380431558,151.101.194.133,18,False,True,HSTS,,,,
shop.starlink.com,Starlink,200,2149,shop.starlink.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-30T00:00:00Z,2023-10-12T23:59:59Z,"CN=shop.starlink.com, O=Space Exploration Technologies Corp., L=Hawthorne, ST=California, C=US",shop.starlink.com,Space Exploration Technologies Corp.,shop.starlink.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,a609be41aee48f1ca7d43ba3251f3442,3fdafc6a377786cb0153611a9931c19f0ab05ecca4b6d40566e76d6ab6644ede,ctls,shop.starlink.com,fastly,443,https://shop.starlink.com:443,https,whydoyoucare?,text/html,GET,151.101.2.133,/,-1076512888,151.101.194.133,47,False,True,hCaptcha,https://analytics.twitter.com,,,
