new,host,a,cname,soa,caa,status_code,cdn,cdn-name,mx,ns,txt,aaaa,has_internal_ips,internal_ips
,aem.underarmour.com,,author-under-armour-brand-prod.adobecqms.net,"ns-1643.awsdns-13.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
,affiliate.myfitnesspal.com,"104.18.26.189, 104.18.27.189",secure.pageserve.co,"burt.ns.cloudflare.com, dns.cloudflare.com","sectigo.com, letsencrypt.org, digicert.com",NOERROR,True,cloudflare,,,,"2606:4700::6812:1bbd, 2606:4700::6812:1abd",,
,affiliateprogram.myfitnesspal.com,"104.18.26.189, 104.18.27.189",secure.pageserve.co,"burt.ns.cloudflare.com, dns.cloudflare.com","sectigo.com, digicert.com, letsencrypt.org",NOERROR,True,cloudflare,,,,"2606:4700::6812:1abd, 2606:4700::6812:1bbd",,
,affiliateqa.myfitnesspal.com,"104.18.27.189, 104.18.26.189",secure.pageserve.co,"burt.ns.cloudflare.com, dns.cloudflare.com","digicert.com, letsencrypt.org, sectigo.com",NOERROR,True,cloudflare,,,,"2606:4700::6812:1bbd, 2606:4700::6812:1abd",,
,am.underarmour.com,204.29.196.31,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",,NOERROR,,,,,,,,
,amsucvcse01.underarmour.com,5.175.80.129,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",,NOERROR,,,,,,,,
,amsucvcse02.underarmour.com,5.175.80.130,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",,NOERROR,,,,,,,,
,anhnguames.underarmour.co.uk,204.74.99.103,,"udns1.cscdns.net, hostmaster.cscdns.net",,NOERROR,,,,,,,,
,api-connect.underarmour.com,"52.9.112.122, 52.8.106.246",api7.creatoriq.com,"ns-991.awsdns-59.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
,api-gw.underarmour.com,"184.72.76.243, 52.205.125.181",ua-mule-prod-dlb.lb.anypointdns.net,"ns-1268.awsdns-30.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
,api.mapmyfitness.com,"99.86.4.59, 99.86.4.111, 99.86.4.17, 99.86.4.19",,"ns-1855.awsdns-39.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,True,cloudfront,,,,,,
,api.myfitnesspal.com,"13.227.219.43, 13.227.219.90, 13.227.219.11, 13.227.219.126",frontend.myfitnesspal.com,"ns-120.awsdns-15.com, awsdns-hostmaster.amazon.com",,NOERROR,True,cloudfront,,,,"2600:9000:21c7:4200:1e:f4a8:3140:93a1, 2600:9000:21c7:0:1e:f4a8:3140:93a1, 2600:9000:21c7:c200:1e:f4a8:3140:93a1, 2600:9000:21c7:e000:1e:f4a8:3140:93a1, 2600:9000:21c7:f800:1e:f4a8:3140:93a1, 2600:9000:21c7:600:1e:f4a8:3140:93a1, 2600:9000:21c7:7e00:1e:f4a8:3140:93a1, 2600:9000:21c7:ce00:1e:f4a8:3140:93a1",,
,api.shop.ua.com,"54.91.24.177, 34.229.5.206, 3.208.235.86",ab46ffff0f5af49b1b345ba3c33e8d55-363347122.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
,api.ua.com,"52.85.242.3, 52.85.242.70, 52.85.242.117, 52.85.242.35",,,,NOERROR,True,cloudfront,,,,,,
,apphouse.underarmour.com,,"vds-production-0002.azurefd.net, star-azurefd-prod.trafficmanager.net, shed.dual-low.part-0016.t-0009.fdv2-t-msedge.net, part-0016.t-0009.fdv2-t-msedge.net","ns1.fdv2-t-msedge.net, msnhst.microsoft.com",,NOERROR,,,,,,"2620:1ec:4e:1::44, 2620:1ec:4f:1::44",,
,applicants.underarmour.com,64.106.245.231,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",,NOERROR,,,,,,,,
,apps.myfitnesspal.com,"54.231.204.45, 54.231.172.197, 52.216.42.181, 52.217.174.85, 52.216.56.93, 52.217.105.75, 54.231.192.173, 52.217.64.155","apps.myfitnesspal.com.s3-website-us-east-1.amazonaws.com, s3-website.us-east-1.amazonaws.com","ns-437.awsdns-54.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
,apps.vaccinetemperature.underarmour.co.uk,204.74.99.103,,"udns1.cscdns.net, hostmaster.cscdns.net",,NOERROR,,,,,,,,
,aqua.comcast.com,96.107.35.50,,"dns101.comcast.net, domregtech.comcastonline.com",,NOERROR,,,,,,,,
,archives.underarmour.com,98.129.229.53,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",,NOERROR,,,,,,,,
,ariba.underarmour.com,204.29.196.139,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",,NOERROR,,,,,,,,
,aribad.underarmour.com,204.29.196.137,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",,NOERROR,,,,,,,,
,armourhouse.ua.com,"96.45.83.103, 96.45.82.74, 96.45.82.161, 96.45.83.195",,"ns20.digicertdns.com, dns.digicertdns.com",,NOERROR,,,,,,,,
,armourhouse.underarmour.com,35.241.48.201,gclb.gcp.ua-ecm.com,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,True,google,,,google-site-verification=POQQ_UuZC53idhyGS64Tw5l_m7QMB8dYEr8l4KAmmTQ,,,
,armournet.underarmour.com,,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",,NOERROR,,,,,,,,
,armournetlab.underarmour.com,204.29.196.94,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",,NOERROR,,,,,,,,
,armouru2.underarmour.com,20.119.8.27,"ua-lms.xceleratemedia.com, app-underarmour-prod.azurewebsites.net, waws-prod-blu-381.sip.azurewebsites.windows.net, waws-prod-blu-381-f3b3.eastus.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,,,,,,,
,armouru2cdn.underarmour.com,185.172.148.128,"ua-lms-cdn.xceleratemedia.com, ualms-6d4e.kxcdn.com, p-defr00.kxcdn.com","ns-572.awsdns-07.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,2a0b:4d07:101::1,,
,aseel.myfitnesspal.com,"104.18.26.189, 104.18.27.189",secure.pageserve.co,"burt.ns.cloudflare.com, dns.cloudflare.com","letsencrypt.org, sectigo.com, digicert.com",NOERROR,True,cloudflare,,,,"2606:4700::6812:1abd, 2606:4700::6812:1bbd",,
,assets.mapmyfitness.com,,d3j6w498uhfgw9.cloudfront.net,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",,NOERROR,,,,,,,,
,assets.mapmywalk.com,"52.222.137.26, 52.222.137.193, 52.222.137.71, 52.222.137.83",d2i3r43q6ffvz8.cloudfront.net,"ns-1420.awsdns-49.org, awsdns-hostmaster.amazon.com",,NOERROR,True,cloudfront,,"ns-827.awsdns-39.net, ns-1420.awsdns-49.org, ns-1761.awsdns-28.co.uk, ns-65.awsdns-08.com",,,,
,assets.myfitnesspal.com,,"www.myfitnesspal.com, web.myfitnesspal.com","ns-120.awsdns-15.com, awsdns-hostmaster.amazon.com",,NOERROR,True,cloudfront,,,,"2600:9000:21f3:b800:1e:f4a8:3140:93a1, 2600:9000:21f3:f400:1e:f4a8:3140:93a1, 2600:9000:21f3:8a00:1e:f4a8:3140:93a1, 2600:9000:21f3:7600:1e:f4a8:3140:93a1, 2600:9000:21f3:8800:1e:f4a8:3140:93a1, 2600:9000:21f3:f600:1e:f4a8:3140:93a1, 2600:9000:21f3:fc00:1e:f4a8:3140:93a1, 2600:9000:21f3:bc00:1e:f4a8:3140:93a1",,
,assets.ua.com,"13.224.245.6, 13.224.245.41, 13.224.245.123, 13.224.245.81",d1zvlyroipjq8s.cloudfront.net,"ns-1478.awsdns-56.org, awsdns-hostmaster.amazon.com",,NOERROR,True,cloudfront,,"ns-810.awsdns-37.net, ns-1478.awsdns-56.org, ns-1616.awsdns-10.co.uk, ns-391.awsdns-48.com",,"2600:9000:20e1:400:1d:83a3:2700:93a1, 2600:9000:20e1:4600:1d:83a3:2700:93a1, 2600:9000:20e1:a200:1d:83a3:2700:93a1, 2600:9000:20e1:f600:1d:83a3:2700:93a1, 2600:9000:20e1:6600:1d:83a3:2700:93a1, 2600:9000:20e1:9400:1d:83a3:2700:93a1, 2600:9000:20e1:b400:1d:83a3:2700:93a1, 2600:9000:20e1:4e00:1d:83a3:2700:93a1",,
,athleteshunt.underarmour.com,104.130.47.83,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",,NOERROR,,,,,,,,
,author-santander-uk-assets-stage-2.underarmour.co.uk,,,"udns1.cscdns.net, hostmaster.cscdns.net",,NOERROR,,,,,,,,
,autodiscover.mapmyfitness.com,"52.98.175.8, 52.98.152.184, 52.98.171.248, 52.98.243.56, 52.98.241.168, 40.99.150.40, 52.98.228.56, 52.98.243.40","autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com","ns1-ms-acdc.office.com, hostmaster.microsoft.com",,NOERROR,,,,,,"2603:1026:c0d:76::8, 2603:1026:c0d:73::8, 2603:1026:c0d:6a::8, 2603:1026:c0d:74::8, 2603:1026:c0d:72::8, 2603:1026:c0d:71::8, 2603:1026:c0d:34::8, 2603:1026:c0d:6b::8",,
,autodiscover.mapmyrun.com,,autodiscoverredirect.mex07a.emailsrvr.com,"pdns219.ultradns.com, postmaster.emailsrvr.com",,NOERROR,,,,,,,,
,autodiscover.ua.com,"52.98.152.184, 40.99.149.216, 52.98.171.232, 52.98.243.24, 40.99.150.56, 40.99.150.88, 52.98.241.200, 52.98.171.248","autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com","ns1-ms-acdc.office.com, hostmaster.microsoft.com",,NOERROR,,,,,,"2603:1026:c0d:70::8, 2603:1026:c0d:71::8, 2603:1026:c0d:73::8",,
,autodiscover.underarmour.com,"40.99.150.40, 40.99.149.216, 52.98.152.168, 40.99.150.24","autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com","ns1-34.azure-dns.com, azuredns-hostmaster.microsoft.com, ns1-ms-acdc.office.com, hostmaster.microsoft.com",,NOERROR,,,,,,"2603:1026:c0d:73::8, 2603:1026:c0d:20::8, 2603:1026:c0d:6b::8",,
,av.underarmour.com,204.29.196.87,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",,NOERROR,,,,,,,,
,b.us.underarmour.com,,u2000052.wl053.sendgrid.net,"aisha.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,mx.sendgrid.net,,v=spf1 ip4:149.72.1.54 ip4:149.72.133.1 ip4:149.72.133.11 ip4:149.72.134.14 ip4:149.72.134.30 ip4:149.72.134.70 ip4:149.72.186.132 ip4:167.89.14.175 ip4:168.245.115.31 ip4:168.245.121.252 -all,,,
,b2b.underarmour.com,104.130.47.83,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",,NOERROR,,,,,,,,
,badges.myfitnesspal.com,"18.66.248.78, 18.66.248.127, 18.66.248.74, 18.66.248.125","api.myfitnesspal.com, frontend.myfitnesspal.com","ns-120.awsdns-15.com, awsdns-hostmaster.amazon.com",,NOERROR,True,cloudfront,,,,"2600:9000:224a:e400:1e:f4a8:3140:93a1, 2600:9000:224a:0:1e:f4a8:3140:93a1, 2600:9000:224a:7800:1e:f4a8:3140:93a1, 2600:9000:224a:2000:1e:f4a8:3140:93a1, 2600:9000:224a:9a00:1e:f4a8:3140:93a1, 2600:9000:224a:2800:1e:f4a8:3140:93a1, 2600:9000:224a:9c00:1e:f4a8:3140:93a1, 2600:9000:224a:f600:1e:f4a8:3140:93a1",,
,balanced.myfitnesspal.com,"104.18.26.189, 104.18.27.189",secure.pageserve.co,"burt.ns.cloudflare.com, dns.cloudflare.com","digicert.com, letsencrypt.org, sectigo.com",NOERROR,True,cloudflare,,,,"2606:4700::6812:1abd, 2606:4700::6812:1bbd",,
,baseball.underarmour.com,104.130.47.83,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",,NOERROR,,,,,,,,
,baybayhay.myfitnesspal.com,"104.18.27.189, 104.18.26.189",secure.pageserve.co,"burt.ns.cloudflare.com, dns.cloudflare.com","sectigo.com, digicert.com, letsencrypt.org",NOERROR,True,cloudflare,,,,"2606:4700::6812:1bbd, 2606:4700::6812:1abd",,
,benefits.underarmour.com,205.156.141.241,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",,NOERROR,,,,,,,,
,beta.ecm.underarmour.com,"76.76.21.164, 76.76.21.61",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","letsencrypt.org, globalsign.com, sectigo.com",NOERROR,,,,,,,,
,beta.underarmour.co.uk,"104.18.221.231, 104.18.222.231","commcloud.production-eu03-underarmour-co-uk.cc-ecdn.net, commcloud.production-eu03-underarmour-co-uk.cc-ecdn.net.cdn.cloudflare.net","ns1.cloudflare.net, dns.cloudflare.com",,NOERROR,True,cloudflare,,,,,,
,beta.underarmour.com,,beta.underarmour.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",,NOERROR,,,,,,,,
,billing.myfitnesspal.com,"104.18.43.204, 172.64.144.52","hosted-checkout.stripecdn.com, hosted-checkout.stripecdn.com.cdn.cloudflare.net","ns1.cloudflare.net, dns.cloudflare.com",,NOERROR,True,cloudflare,,,,,,
,black-clover-grimoire.underarmour.co.uk,204.74.99.103,,"udns1.cscdns.net, hostmaster.cscdns.net",,NOERROR,,,,,,,,
,blacklinedev.underarmour.com,204.29.196.61,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",,NOERROR,,,,,,,,
,blacklineqas.underarmour.com,204.29.196.62,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",,NOERROR,,,,,,,,
,blog.mapmyrun.com,"13.225.78.88, 13.225.78.94, 13.225.78.48, 13.225.78.92",d29u5s8525jzx4.cloudfront.net,"ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",,NOERROR,True,cloudfront,,"ns-1139.awsdns-14.org, ns-136.awsdns-17.com, ns-2028.awsdns-61.co.uk, ns-798.awsdns-35.net",,"2600:9000:21f3:fc00:5:983e:6600:93a1, 2600:9000:21f3:9400:5:983e:6600:93a1, 2600:9000:21f3:d200:5:983e:6600:93a1, 2600:9000:21f3:4400:5:983e:6600:93a1, 2600:9000:21f3:be00:5:983e:6600:93a1, 2600:9000:21f3:9600:5:983e:6600:93a1, 2600:9000:21f3:1a00:5:983e:6600:93a1, 2600:9000:21f3:8c00:5:983e:6600:93a1",,
,blog.myfitnesspal.com,"18.67.65.66, 18.67.65.63, 18.67.65.47, 18.67.65.70, 205.251.192.124, 205.251.195.200, 205.251.197.64, 205.251.199.91",d1af18ykb21ral.cloudfront.net,"ns-124.awsdns-15.com, awsdns-hostmaster.amazon.com",,NOERROR,True,cloudfront,,"ns-124.awsdns-15.com, ns-968.awsdns-57.net, ns-1344.awsdns-40.org, ns-1883.awsdns-43.co.uk",,,,
,blog.underarmour.com,"13.225.78.88, 13.225.78.92, 13.225.78.94, 13.225.78.48",d29u5s8525jzx4.cloudfront.net,"ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",,NOERROR,True,cloudfront,,"ns-136.awsdns-17.com, ns-798.awsdns-35.net, ns-1139.awsdns-14.org, ns-2028.awsdns-61.co.uk",,"2600:9000:21f3:3a00:5:983e:6600:93a1, 2600:9000:21f3:7600:5:983e:6600:93a1, 2600:9000:21f3:7800:5:983e:6600:93a1, 2600:9000:21f3:8c00:5:983e:6600:93a1, 2600:9000:21f3:aa00:5:983e:6600:93a1, 2600:9000:21f3:e800:5:983e:6600:93a1, 2600:9000:21f3:ee00:5:983e:6600:93a1, 2600:9000:21f3:3000:5:983e:6600:93a1",,
,bots.api.ua.com,"108.157.214.74, 108.157.214.89, 108.157.214.28, 108.157.214.77",d2hazghdfb6m8o.cloudfront.net,"ns-1258.awsdns-29.org, awsdns-hostmaster.amazon.com",,NOERROR,True,cloudfront,,"ns-130.awsdns-16.com, ns-1895.awsdns-44.co.uk, ns-552.awsdns-05.net, ns-1258.awsdns-29.org",,"2600:9000:2334:5400:12:6013:4600:93a1, 2600:9000:2334:c000:12:6013:4600:93a1, 2600:9000:2334:a400:12:6013:4600:93a1, 2600:9000:2334:4a00:12:6013:4600:93a1, 2600:9000:2334:9800:12:6013:4600:93a1, 2600:9000:2334:bc00:12:6013:4600:93a1, 2600:9000:2334:1200:12:6013:4600:93a1, 2600:9000:2334:5600:12:6013:4600:93a1",,
,bounce.cf.underarmour.com,74.121.50.42,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",,NOERROR,,,bounce.cf.underarmour.com,,v=spf1 a ip4:208.73.5.15 ip4:74.112.71.44 ip4:74.112.71.47 -all,,,
,bounce.pth.underarmour.com,74.121.50.42,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",,NOERROR,,,bounce.pth.underarmour.com,,v=spf1 a ip4:208.73.5.15 ip4:74.112.71.44 ip4:74.112.71.47 -all,,,
,brand.underarmour.com,,under-armour-brand-prod.adobecqms.net,"ns-1643.awsdns-13.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
,buffdudes.myfitnesspal.com,"104.18.26.189, 104.18.27.189",secure.pageserve.co,"burt.ns.cloudflare.com, dns.cloudflare.com","sectigo.com, digicert.com, letsencrypt.org",NOERROR,True,cloudflare,,,,"2606:4700::6812:1abd, 2606:4700::6812:1bbd",,
,buybuybaby.underarmour.co.uk,204.74.99.103,,"udns1.cscdns.net, hostmaster.cscdns.net",,NOERROR,,,,,,,,
,bwf.myfitnesspal.com,"104.18.27.189, 104.18.26.189",secure.pageserve.co,"burt.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,,,,"2606:4700::6812:1bbd, 2606:4700::6812:1abd",,
,c3login.underarmour.com,69.64.147.244,c3login-ua.totaltechresource.com,,,NOERROR,,,,,,,,
,c3metrics.underarmour.com,69.64.147.244,c3metrics-ua.totaltechresource.com,dns1.name-services.com,,NOERROR,,,,,,,,
,c3tracker.underarmour.com,69.64.147.244,c3tracker-ua.totaltechresource.com,dns1.name-services.com,,NOERROR,,,,,,,,
,cachejira-developer.underarmour.co.uk,204.74.99.103,,"udns1.cscdns.net, hostmaster.cscdns.net",,NOERROR,,,,,,,,
,cf.underarmour.com,96.45.83.103,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",,NOERROR,,,"mail5383.pth.underarmour.com, mail5383.underarmour.mkt5981.com, reply.cf.underarmour.com, mail4546.fit.underarmour.com",,v=spf1 ip4:208.73.5.15 ip4:74.112.71.44 ip4:74.112.71.47 -all,,,
,challenge-assets.mapmyfitness.com,"108.157.214.25, 108.157.214.121, 108.157.214.77, 108.157.214.128",,"ns-1855.awsdns-39.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,True,cloudfront,,,,,,
,challenges.api.ua.com,,,,,NOERROR,True,cloudfront,,,,,,
,chapin.myfitnesspal.com,"104.18.27.189, 104.18.26.189",secure.pageserve.co,"burt.ns.cloudflare.com, dns.cloudflare.com","digicert.com, letsencrypt.org, sectigo.com",NOERROR,True,cloudflare,,"ns-120.awsdns-15.com, ns-1421.awsdns-49.org, ns-1908.awsdns-46.co.uk, ns-733.awsdns-27.net",,"2606:4700::6812:1bbd, 2606:4700::6812:1abd",,
,ci.mapmyfitness.com,,newci.mapmyfitness.com,"ns-1855.awsdns-39.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
,click.em.underarmour.com,13.111.23.133,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",,NOERROR,,,,,,,,
,click.emails.underarmour.com,13.111.23.204,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",,NOERROR,,,,,,,,
,click.mapmyfitness.underarmour.com,13.111.228.231,,"ns-752.awsdns-30.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
,click.teammatecomms.underarmour.com,"23.48.23.159, 23.48.23.147","click.virt.s7.exacttarget.com, click.exacttarget.com.mdc.edgesuite.net, a1467.b.akamai.net","n0b.akamai.net, hostmaster.akamai.com",,NOERROR,,,,,,,,
,click.uarecord.underarmour.com,"95.100.111.152, 95.100.111.209","click.virt.s7.exacttarget.com, click.exacttarget.com.mdc.edgesuite.net, a1467.b.akamai.net","n0b.akamai.net, hostmaster.akamai.com",,NOERROR,,,,,,,,
,click2connect.underarmour.com,204.29.196.24,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",,NOERROR,,,,,,,,
,cloud.emails.underarmour.com,13.111.150.222,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",,NOERROR,,,,,,,,
,cloudpages.emails.underarmour.com,13.111.227.73,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",,NOERROR,,,,,,,,
,cms1.ecm.underarmour.com,"76.76.21.164, 76.76.21.142",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","globalsign.com, letsencrypt.org, sectigo.com",NOERROR,,,,,,,,
,cms2.ecm.underarmour.com,"76.76.21.9, 76.76.21.93",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","globalsign.com, letsencrypt.org, sectigo.com",NOERROR,,,,,,,,
,coaching.myfitnesspal.com,"198.185.159.145, 198.185.159.144, 198.49.23.144, 198.49.23.145","ext.squarespace.com, ext-cust.squarespace.com","dns1.p06.nsone.net, dns-admin.squarespace.com",,NOERROR,,,,,,,,
,cofs-fly-cofs-63.underarmour.co.uk,204.74.99.103,,"udns1.cscdns.net, hostmaster.cscdns.net",,NOERROR,,,,,,,,
,combines.underarmour.com,"96.45.82.161, 96.45.83.195, 96.45.82.74, 96.45.83.103",,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",,NOERROR,,,,,,,,
,community-stage.myfitnesspal.com,,"mfp.multisite.vanillastaging.com, mfpstaging-multisite.onvanilla.net","guss.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,,,,"2606:4700:7::a29f:8a4e, 2606:4700:7::a29f:804f",,
,community.myfitnesspal.com,"162.159.138.78, 162.159.128.79","mfp.multisite.vanillacommunities.com, mfp-multisite.onvanilla.net","guss.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,,,,"2606:4700:7::a29f:8a4e, 2606:4700:7::a29f:804f",,
