input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_subject_org_,tls_mismatched,tls_expired,csp_domains_,final_url,location
artifacts.mercadolibre.com,Nexus Repository Manager,200,8569,artifacts.mercadolibre.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2024-02-03T23:59:59Z,CN=*.mercadolibre.com,*.mercadolibre.com,mercadolibre.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,51ff9061aab4b4ee00d54360bf8fd5ce,a26cc32f12aafb19008b1bed4b28763bf6d7c179fae4d1fe9f2a24476c2b9476,True,ctls,artifacts.mercadolibre.com,,443,https://artifacts.mercadolibre.com:443,https,nginx/1.23.4,text/html,GET,3.95.123.59,/,2014767746,52.87.76.120,Nginx:1.23.4,109,False,,,,,,,
career.mercadolibre.com,Home | MercadoLibre careers,200,225877,career.mercadolibre.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2024-02-03T23:59:59Z,CN=*.mercadolibre.com,*.mercadolibre.com,mercadolibre.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,51ff9061aab4b4ee00d54360bf8fd5ce,a26cc32f12aafb19008b1bed4b28763bf6d7c179fae4d1fe9f2a24476c2b9476,True,ctls,career.mercadolibre.com,cloudfront,443,https://career.mercadolibre.com:443,https,Tengine/2.2.1,text/html,GET,13.32.99.108,/,219898250,13.32.99.77,webpack,360,False,True,,,,,,
careers-meli.mercadolibre.com,Home | MercadoLibre careers,200,225907,careers-meli.mercadolibre.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2024-02-03T23:59:59Z,CN=*.mercadolibre.com,*.mercadolibre.com,mercadolibre.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,51ff9061aab4b4ee00d54360bf8fd5ce,a26cc32f12aafb19008b1bed4b28763bf6d7c179fae4d1fe9f2a24476c2b9476,True,ctls,careers-meli.mercadolibre.com,cloudfront,443,https://careers-meli.mercadolibre.com:443,https,Tengine/2.2.1,text/html,GET,13.32.99.108,/,-1636599478,13.32.99.54,webpack,360,False,True,,,,,,
chat.mercadolibre.com,504 Gateway Time-out,504,661,chat.mercadolibre.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2024-02-03T23:59:59Z,CN=*.mercadolibre.com,*.mercadolibre.com,mercadolibre.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,51ff9061aab4b4ee00d54360bf8fd5ce,a26cc32f12aafb19008b1bed4b28763bf6d7c179fae4d1fe9f2a24476c2b9476,True,ctls,chat.mercadolibre.com,cloudfront,443,https://chat.mercadolibre.com:443,https,Tengine,text/html,GET,13.32.99.118,/,-1060547811,13.32.99.25,Tengine,25,False,True,,,,,,
chattest.mercadolibre.com,504 Gateway Time-out,504,665,chattest.mercadolibre.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2024-02-03T23:59:59Z,CN=*.mercadolibre.com,*.mercadolibre.com,mercadolibre.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,51ff9061aab4b4ee00d54360bf8fd5ce,a26cc32f12aafb19008b1bed4b28763bf6d7c179fae4d1fe9f2a24476c2b9476,True,ctls,chattest.mercadolibre.com,cloudfront,443,https://chattest.mercadolibre.com:443,https,Tengine,text/html,GET,13.32.99.31,/,1112797583,13.32.99.25,Tengine,25,False,True,,,,,,
csd-deployments.prodeng-playground.mercadolibre.com,,404,19,csd-deployments.prodeng-playground.mercadolibre.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-02T00:00:00Z,2024-05-31T23:59:59Z,CN=*.prodeng-playground.mercadolibre.com,*.prodeng-playground.mercadolibre.com,prodeng-playground.mercadolibre.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,c9a0b3b18bb0a06525dd4a8280171c23,2c01e353dd67d2853e072ac90c3c8d483268ee9539fa2954185e38f2250218bb,True,ctls,csd-deployments.prodeng-playground.mercadolibre.com,,443,https://csd-deployments.prodeng-playground.mercadolibre.com:443,https,,text/plain,GET,3.219.127.30,/,-138391155,34.200.158.70,,2,False,,,,,,,
csp.mercadolibre.com,MercadoLibre Argentina - Parece que esta página no existe,404,3772,csp.mercadolibre.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2024-02-03T23:59:59Z,CN=*.mercadolibre.com,*.mercadolibre.com,mercadolibre.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,51ff9061aab4b4ee00d54360bf8fd5ce,a26cc32f12aafb19008b1bed4b28763bf6d7c179fae4d1fe9f2a24476c2b9476,True,ctls,csp.mercadolibre.com,cloudfront,443,https://csp.mercadolibre.com:443,https,Tengine,text/html,GET,13.32.99.99,/,-1270008957,13.32.99.31,Tengine,102,False,True,,,,,,
datasec.mercadolibre.com,403 Forbidden,403,624,datasec.mercadolibre.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2024-02-03T23:59:59Z,CN=*.mercadolibre.com,*.mercadolibre.com,mercadolibre.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,51ff9061aab4b4ee00d54360bf8fd5ce,a26cc32f12aafb19008b1bed4b28763bf6d7c179fae4d1fe9f2a24476c2b9476,True,ctls,datasec.mercadolibre.com,cloudfront,443,https://datasec.mercadolibre.com:443,https,Tengine,text/html,GET,13.32.99.25,/,-1270008957,13.32.99.118,Tengine,25,False,True,,,,,,
deal.mercadolibre.com,MercadoLibre Argentina - Parece que esta página no existe,404,3772,deal.mercadolibre.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2024-02-03T23:59:59Z,CN=*.mercadolibre.com,*.mercadolibre.com,mercadolibre.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,51ff9061aab4b4ee00d54360bf8fd5ce,a26cc32f12aafb19008b1bed4b28763bf6d7c179fae4d1fe9f2a24476c2b9476,True,ctls,deal.mercadolibre.com,cloudfront,443,https://deal.mercadolibre.com:443,https,Tengine,text/html,GET,13.225.78.61,/,-1270008957,13.225.78.118,Tengine,102,False,True,,,,,,
deals.mercadolibre.com,MercadoLibre Argentina - Parece que esta página no existe,404,3772,deals.mercadolibre.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2024-02-03T23:59:59Z,CN=*.mercadolibre.com,*.mercadolibre.com,mercadolibre.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,51ff9061aab4b4ee00d54360bf8fd5ce,a26cc32f12aafb19008b1bed4b28763bf6d7c179fae4d1fe9f2a24476c2b9476,True,ctls,deals.mercadolibre.com,cloudfront,443,https://deals.mercadolibre.com:443,https,Tengine,text/html,GET,13.225.78.96,/,-1270008957,13.225.78.61,Tengine,102,False,True,,,,,,
dejavu.mercadolibre.com,,200,43,dejavu.mercadolibre.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2024-02-03T23:59:59Z,CN=*.mercadolibre.com,*.mercadolibre.com,mercadolibre.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,51ff9061aab4b4ee00d54360bf8fd5ce,a26cc32f12aafb19008b1bed4b28763bf6d7c179fae4d1fe9f2a24476c2b9476,True,ctls,dejavu.mercadolibre.com,cloudfront,443,https://dejavu.mercadolibre.com:443,https,Tengine,image/gif,GET,13.32.99.25,/,97040601,13.32.99.31,Tengine,1,False,True,,,,,,
developers-cbt.mercadolibre.com,MercadoLibre Argentina - Parece que esta página no existe,404,3772,developers-cbt.mercadolibre.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2024-02-03T23:59:59Z,CN=*.mercadolibre.com,*.mercadolibre.com,mercadolibre.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,51ff9061aab4b4ee00d54360bf8fd5ce,a26cc32f12aafb19008b1bed4b28763bf6d7c179fae4d1fe9f2a24476c2b9476,True,ctls,developers-cbt.mercadolibre.com,cloudfront,443,https://developers-cbt.mercadolibre.com:443,https,Tengine,text/html,GET,13.32.99.118,/,-1270008957,13.32.99.99,Tengine,102,False,True,,,,,,
developers-forum.mercadolibre.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,cloudfront,80,http://developers-forum.mercadolibre.com:80,http,CloudFront,text/html,GET,108.138.7.39,/,541460478,2600:9000:2490:3400:b:37a8:bac0:93a1,Amazon Web Services,20,False,True,,,,,,
driver.mercadolibre.com,MercadoLibre Argentina - Parece que esta página no existe,404,3772,driver.mercadolibre.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2024-02-03T23:59:59Z,CN=*.mercadolibre.com,*.mercadolibre.com,mercadolibre.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,51ff9061aab4b4ee00d54360bf8fd5ce,a26cc32f12aafb19008b1bed4b28763bf6d7c179fae4d1fe9f2a24476c2b9476,True,ctls,driver.mercadolibre.com,cloudfront,443,https://driver.mercadolibre.com:443,https,Tengine,text/html,GET,13.32.99.99,/,-1270008957,13.32.99.118,Tengine,102,False,True,,,,,,
efeitlvdcprod-cgtest-in.prodeng-playground.mercadolibre.com,,404,19,efeitlvdcprod-cgtest-in.prodeng-playground.mercadolibre.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-02T00:00:00Z,2024-05-31T23:59:59Z,CN=*.prodeng-playground.mercadolibre.com,*.prodeng-playground.mercadolibre.com,prodeng-playground.mercadolibre.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,c9a0b3b18bb0a06525dd4a8280171c23,2c01e353dd67d2853e072ac90c3c8d483268ee9539fa2954185e38f2250218bb,True,ctls,efeitlvdcprod-cgtest-in.prodeng-playground.mercadolibre.com,,443,https://efeitlvdcprod-cgtest-in.prodeng-playground.mercadolibre.com:443,https,,text/plain,GET,34.200.158.70,/,-138391155,3.219.127.30,,2,False,,,,,,,
encuestas.mercadolibre.com,,200,173,www.surveygizmo.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-03T07:39:41Z,2024-03-06T07:39:41Z,CN=*.surveygizmo.com,*.surveygizmo.com,surveygizmo.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",667770d81bd8f9f4d516b6318f668c13,e6d834abb29da0a09413e64091b20a2b832677d664038cc8769f4863fcde4d9c,True,ctls,www.surveygizmo.com,cloudfront,443,https://encuestas.mercadolibre.com:443,https,AmazonS3,text/html,GET,13.32.99.108,/,1690684002,13.32.99.89,Amazon Web Services,8,False,True,,,,url='https://www.alchemer.com',https://www.surveygizmo.com/,
envios.mercadolibre.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,cloudfront,80,http://envios.mercadolibre.com:80,http,CloudFront,text/html,GET,143.204.98.4,/,1665711198,143.204.98.4,Amazon Web Services,20,False,True,,,,,,
events.mercadolibre.com,404 Not Found,404,611,events.mercadolibre.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2024-02-03T23:59:59Z,CN=*.mercadolibre.com,*.mercadolibre.com,mercadolibre.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,51ff9061aab4b4ee00d54360bf8fd5ce,a26cc32f12aafb19008b1bed4b28763bf6d7c179fae4d1fe9f2a24476c2b9476,True,ctls,events.mercadolibre.com,cloudfront,443,https://events.mercadolibre.com:443,https,Tengine,text/html,GET,13.32.99.99,/,-1601522161,13.32.99.25,Tengine,25,False,True,,,,,,
facturacion.mercadolibre.com,MercadoLibre Argentina - Parece que esta página no existe,404,3772,facturacion.mercadolibre.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2024-02-03T23:59:59Z,CN=*.mercadolibre.com,*.mercadolibre.com,mercadolibre.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,51ff9061aab4b4ee00d54360bf8fd5ce,a26cc32f12aafb19008b1bed4b28763bf6d7c179fae4d1fe9f2a24476c2b9476,True,ctls,facturacion.mercadolibre.com,cloudfront,443,https://facturacion.mercadolibre.com:443,https,Tengine,text/html,GET,13.32.99.31,/,-1270008957,13.32.99.118,Tengine,102,False,True,,,,,,
feeds.mercadolibre.com,403 Forbidden,403,622,feeds.mercadolibre.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2024-02-03T23:59:59Z,CN=*.mercadolibre.com,*.mercadolibre.com,mercadolibre.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,51ff9061aab4b4ee00d54360bf8fd5ce,a26cc32f12aafb19008b1bed4b28763bf6d7c179fae4d1fe9f2a24476c2b9476,True,ctls,feeds.mercadolibre.com,cloudfront,443,https://feeds.mercadolibre.com:443,https,Tengine,text/html,GET,13.225.78.118,/,-1270008957,13.225.78.96,Tengine,25,False,True,,,,,,
frontend.mercadolibre.com,403 Forbidden,403,623,frontend.mercadolibre.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2024-02-03T23:59:59Z,CN=*.mercadolibre.com,*.mercadolibre.com,mercadolibre.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,51ff9061aab4b4ee00d54360bf8fd5ce,a26cc32f12aafb19008b1bed4b28763bf6d7c179fae4d1fe9f2a24476c2b9476,True,ctls,frontend.mercadolibre.com,cloudfront,443,https://frontend.mercadolibre.com:443,https,Tengine,text/html,GET,13.32.99.31,/,-1270008957,13.32.99.25,Tengine,25,False,True,,,,,,
gaia.mercadolibre.com,Sign in - Google Accounts,200,611781,accounts.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-19T08:21:21Z,2023-09-11T08:21:20Z,CN=accounts.google.com,accounts.google.com,*.partner.android.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,7ca79e3005c064e43ffa55bbc2b1fe35,a7ae3b98a859a2cfbc7c67481a42916bc9762b82346d09cc612a57310ce6c82e,True,ctls,accounts.google.com,cloudfront,443,https://gaia.mercadolibre.com:443,https,ESF,text/html,GET,13.32.99.99,/,1905378026,13.32.99.31,HTTP/3,76,False,True,,,,,https://accounts.google.com/v3/signin/identifier?opparams=%253Fcred_ref%253Dtrue&dsh=S-2097062249%3A1688610964900456&client_id=773539637596-8j1usm812jehhj7hrfrec5npkih1egt0.apps.googleusercontent.com&code_challenge=ievA5YSvfVpQbpXSlDckrOfgSWTMmEQiccoFGTKVZhA&code_challenge_method=S256&o2v=2&redirect_uri=https%3A%2F%2Fiap.googleapis.com%2Fv1%2Foauth%2FclientIds%2F773539637596-8j1usm812jehhj7hrfrec5npkih1egt0.apps.googleusercontent.com%3AhandleRedirect&response_type=code&scope=openid+email&service=lso&state=AWdvEPAEKlJw2B-vTbjOPAnfncr6yc1-fc_tZqaLJxT8aRJudXLgO2axTWHC93SEgwRWlncKjOLajhPmz95w78ZhWSkQVRkCSssRul4hmmxg4R97bwECxAlXLr3HcedwYrYjUixx-N6lNFKrCYyCszn8el-P-iEpD5hOn1plS-ylpQRujzz4TuVob_74Y9A_e3MFJ4boZx8ks_4KmMTfJ1EMZWgpgrvOEMXfWb0RAgCb_ffY08zTPJHvA9cLIdwQuXlS60jz5clgHOA29b5Gz1iu3v7EfvexcOaz-9o_3hL0Wg7lDTGtB3mFheEwDpynuOZ58qPdAG9mvmNePybKhqbiKimuW7HF0rIMQLEXCUmGmU2sJrrz0wbv_fIF0lD8-phUxtFa5UrTxcJDIgyVay5Gn6Num84TWO-0Ud5Kl85lUqvcCZaSotyLjyAxRWdTgbe2Emz4xve4DRohvoDmHtCaOBv8KvV0GF1i_qAB6tnIt3Q_yK7BkRFZ6Gb8tGMmxSzgwYS25v1xx1nkf9aCM2A23stYDbzOHpdDzOj392XvTR22MhwlbXIMySsKHGiMcByqylWkQ32SwcYLJ4maBW-WA24OUyjbQQo8TsUxJU7TRIqi4SD-RO9t1Y1s_QmQWXXnHAZnXgaEmiscS_zGrJbtSJctZ0HiTg2_b0hZFJIenInDZAZq_W4_GWPLwAtCOe1AVWIvZKxQdSL5h6tzvoqdeJ7O0FDyClIWT-1jwByOOsp-qSg3x5KIG3nExMNpFpLL7DX9_MFA6SabL4IoWKZnGX8aOXIKY8vbA7xwoNJY60OWJMkqquiwzgOxY8z4qqO4eUIeh7ClqBtiNsXFFWt6Y8T-U2yISNyVtQpzfkgp645Z8HGUKkhIErr2-VXMee2zPAak6FtxW-B4lRH1WwFA5hfyQE6EaAHfmNFWHTl8riHYp156UdK3hdKDqW-E049KpfmVOvzZAvtjkxa7880asLFgCqT-Tviq4uaL7i0EWNEYXlccWH8oRaxYNOpAjxCUeVbDF0Nlf8KRaMG_yANZV2TcL_hZBKk&flowName=GeneralOAuthFlow&continue=https%3A%2F%2Faccounts.google.com%2Fsignin%2Foauth%2Fconsent%3Fauthuser%3Dunknown%26part%3DAJi8hAPDFFvSKzydLq9AkjbSD1JvC6Lva07ZtWVjppyH9M0dGydqpF6UkdVFf1YasAqUWGXMBuGRXhyrFPSMK6JVY0tsXZKr9bMa9Je8KnStxxROGYrGnBlj_bZpdP3vAO7p5Lfd7Axkwexs8tu1FllMDJoMgU88-xgeYP-jFTf-vylunXzOBsGZS-4SU2eYsAyxC00uyMPfm55NXpHIAJohHvB37Pz2JIeUJXi2xHHBHto7nnNYdOISdQfxCRytCOTRoH6AlzsW9AJuF8MxjEQKjNaKv-4nsyOmA2YUNIrD63eCnNbgdY7pAXKal2QKjK1yMhBcjF-skOUZAZP46DcD91O-v8_IUuuWVnhUttHU9OAEKiNhJ-3haunQVY4pUi3LOd073ItpKgP2z4jeAi0eSdleMNR2ONR-6s8Ct0WnAaDvDgJXqQ1sFtczk49sQE0ZgQbxFBeMNKaF5_J3X4IWWWMQVKcfbQ%26as%3DS-2097062249%253A1688610964900456%26client_id%3D773539637596-8j1usm812jehhj7hrfrec5npkih1egt0.apps.googleusercontent.com%23&app_domain=https%3A%2F%2Fiap.googleapis.com&rart=ANgoxcfKIYwb7TlqogCLC8ue-EKwvL3J426CqIXfKqaszETM6gVrmooq6-f89OCQ8v4ePn6uin1-YexC0UA2MBdLsfsQeJTN-w,
