input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,tls_subject_org_,csp_domains_,final_url,location
dzas9mj7ubt6.cloudfront.net,,403,146,dzas9mj7ubt6.cloudfront.net,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-08T00:00:00Z,2023-12-07T23:59:59Z,CN=*.cloudfront.net,*.cloudfront.net,*.cloudfront.net,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,3ce77498ac0d9db2c0fbac4ace488223,0e61dc9128a6d01c3583e46cb871e9590ca7636f3b394e60b910fdb249e90465,True,ctls,dzas9mj7ubt6.cloudfront.net,cloudfront,443,https://dzas9mj7ubt6.cloudfront.net:443,https,CloudFront,text/xml,GET,18.66.121.60,/,-13968365,2600:9000:2250:f000:b:4cb2:9280:21,Amazon Web Services,1,False,True,,,,,
embedly-cdn.trychameleon.com,,403,243,embedly-cdn.trychameleon.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-02T00:00:00Z,2023-10-01T23:59:59Z,CN=embedly-cdn.trychameleon.com,embedly-cdn.trychameleon.com,embedly-cdn.trychameleon.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,7383f8b10c813af99bd44648619c3e29,c23f4e1882f4552dd438fffad5c0bc1410d5b2129dd32dfc10841401d1e18032,,ctls,embedly-cdn.trychameleon.com,cloudfront,443,https://embedly-cdn.trychameleon.com:443,https,cloudflare,application/xml,GET,18.66.122.120,/,-1289459387,2600:9000:2250:9600:6:7360:3c40:93a1,Cloudflare,2,False,True,,,,,
enterpriseenrollment.intigriti.com,Microsoft Intune admin center,200,42121,intune.microsoft.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-07-15T23:09:38Z,2024-06-27T23:59:59Z,"CN=intune.microsoft.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",intune.microsoft.com,intune.microsoft.com,"CN=Microsoft Azure TLS Issuing CA 05, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 05,Microsoft Corporation,cc05305937f68a7eea27d9d7af0caa65,110faef00876766ade3550f2f7525379d91c5b3f225fef3ca414db8c9620b49b,,ctls,intune.microsoft.com,azure,443,https://enterpriseenrollment.intigriti.com:443,https,,text/html,GET,52.236.189.96,/,1631801191,52.236.189.96,HSTS,4,False,True,,Microsoft Corporation,,https://intune.microsoft.com/,
enterpriseregistration.intigriti.com,Service,404,1565,enterpriseregistration.intigriti.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-07-03T00:00:00Z,2024-07-03T23:59:59Z,"CN=graph.windows.net, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",graph.windows.net,sts.windows.net,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,e7df1f16e52638c1dfeed42ec0ca9590,2ac4f3864729a635125d556395e9307bc2967b6675fdc970a1d9e7daad887c7f,True,ctls,enterpriseregistration.intigriti.com,azure,443,https://enterpriseregistration.intigriti.com:443,https,,text/html,GET,40.126.32.66,/,-2070773535,2603:1026:3000:150::2,HSTS,14,False,True,True,Microsoft Corporation,,,
fast.fonts.net,,403,243,fast.fonts.net,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-05T00:00:00Z,2024-05-04T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,fonts.net,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",20fce83bc6a7b377d5f22d198ab611d5,642116b4daecff10773bc0a6324dc12dd2cf4e2806d9baeb88c07726945d7ac9,True,ctls,fast.fonts.net,cloudflare,443,https://fast.fonts.net:443,https,cloudflare,application/xml,GET,104.17.225.78,/,-952660024,2606:4700::6811:e14e,Cloudflare Bot Management,2,False,True,,"Cloudflare, Inc.",,,
fast.ssqt.io,,302,103,auth.saasquatch.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-28T01:45:25Z,2023-09-26T01:45:24Z,CN=auth.saasquatch.com,auth.saasquatch.com,auth.saasquatch.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,1f1317dc202069babfdeea8bf7f6c346,07277b82e5b6b1b2799c4be66dc057509cd21f08ff134afa7980277d7162053c,,ctls,auth.saasquatch.com,fastly,80,http://fast.ssqt.io:80,http,cloudflare,text/plain,GET,151.101.130.133,/,203226930,151.101.2.133,HTTP/3,1,False,True,,,,https://auth.saasquatch.com/login?state=hKFo2SBqX2c3TVY4YjJibDMyZU43MDFCSTJnNmhPWE1mZnA0S6FupWxvZ2luo3RpZNkgcm5jQjVJbzg5Qmh4UHFwakNtZFR1NWZSMlJZUFBhQjGjY2lk2SBCVTF0QkZzd3Q5bGVSS09JeDBtUmwzZThEM3FDMEJXcg&client=BU1tBFswt9leRKOIx0mRl3e8D3qC0BWr&protocol=oauth2&redirect_uri=https%3A%2F%2Fapp.referralsaasquatch.com%2Fauth0%2Fcallback&response_type=code&scope=openid%20email,https://app.referralsaasquatch.com/login?iss=https%3A%2F%2Fauth.saasquatch.com%2F
fast.trychameleon.com,Chameleon | The Deepest Product Adoption Platform | Chameleon,200,259180,www.chameleon.io,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-03T21:03:12Z,2023-10-01T21:03:11Z,CN=www.chameleon.io,www.chameleon.io,www.chameleon.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,91025ac09523d2c93d45d80b54f54deb,9fb3affde7b6de4a2dec04cb01db33d515a557ec8cfe3a65d961ae74d33d3837,,ctls,www.chameleon.io,fastly,443,https://fast.trychameleon.com:443,https,,text/html,GET,146.75.118.137,/,-721766892,146.75.118.137,Linkedin Ads,2698,False,True,,,,https://www.chameleon.io?utm_source=fast.chameleon.io,
fonts.gstatic.com,Error 404 (Not Found)!!1,404,1561,fonts.gstatic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-10T08:21:12Z,2023-10-02T08:21:11Z,CN=*.gstatic.com,*.gstatic.com,*.metric.gstatic.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,094b775d6381284fd7043fc871efdc5c,659210c1a54cc8ad5769aafb5777054e2a82cd6e9c0f3559c21166a97ede41b3,True,ctls,fonts.gstatic.com,,443,https://fonts.gstatic.com:443,https,sffe,text/html,GET,142.250.184.227,/,302920777,2a00:1450:4001:827::2003,HTTP/3,12,False,,,,,,
go.intigriti.com,Intigriti - Bug Bounty & Agile Pentesting Platform,200,271144,www.intigriti.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-07-22T18:55:03Z,2023-10-20T18:55:02Z,CN=www.intigriti.com,www.intigriti.com,www.intigriti.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,d83783404edaa9403d62d6bf7e497c13,9fa9dd147c836d0e500e412b4410ba3fab881b1cc9a87496d9062fb3222f5fcc,,ctls,www.intigriti.com,,443,https://go.intigriti.com:443,https,Vercel,text/html,GET,52.72.49.79,/,1911286335,52.72.49.79,Vercel,1,False,,,,https://www.datocms-assets.com,https://www.intigriti.com/,
https://csp-report.browser-intake-datadoghq.com/api/v2/logs?dd-api-key=pub043e3a57772658a58a4bb910ce747aa1&dd-evp-origin=content-security-policy&ddsource=csp-report&ddtags=env:prod%2cservice:web%2cversion:undefined,,405,96,csp-report.browser-intake-datadoghq.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-17T00:00:00Z,2024-06-18T23:59:59Z,"CN=*.browser-intake-datadoghq.com, O=Datadog\, Inc., L=New York, ST=New York, C=US",*.browser-intake-datadoghq.com,browser-intake-datadoghq.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,f2ba4f99a70e4da0db29b61be68ff777,391b5063b550562be8ab52af008788e26099f35d13982ecf4476cdb97d07ea64,True,ctls,csp-report.browser-intake-datadoghq.com,,443,https://csp-report.browser-intake-datadoghq.com:443/api/v2/logs?dd-api-key=pub043e3a57772658a58a4bb910ce747aa1&dd-evp-origin=content-security-policy&ddsource=csp-report&ddtags=env:prod%2cservice:web%2cversion:undefined,https,,application/json,GET,3.233.152.239,/api/v2/logs?dd-api-key=pub043e3a57772658a58a4bb910ce747aa1&dd-evp-origin=content-security-policy&ddsource=csp-report&ddtags=env:prod%2cservice:web%2cversion:undefined,1077183267,2600:1f18:24e6:b902:ecbc:6ec7:e640:2f00,HSTS,1,False,,,"Datadog, Inc.",,,
https://duploservices-prod01-exports2-415703579972.s3.amazonaws.com,,403,243,duploservices-prod01-exports2-415703579972.s3.amazonaws.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-21T00:00:00Z,2023-12-19T23:59:59Z,CN=*.s3.amazonaws.com,*.s3.amazonaws.com,s3.amazonaws.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,5c786d7d836f7ec7d65e625b0bca2ab2,25b0a7826fcb8f6ae0c7bc14d8e53ea2741097aac08c7243810f2a739d63f6c4,True,ctls,duploservices-prod01-exports2-415703579972.s3.amazonaws.com,,443,https://duploservices-prod01-exports2-415703579972.s3.amazonaws.com:443,https,AmazonS3,application/xml,GET,52.216.38.1,/,-1627408381,52.216.43.169,Amazon Web Services,2,False,,,,,,
https://fonts.google.com,Browse Fonts - Google Fonts,200,9274,fonts.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-10T08:16:18Z,2023-10-02T08:16:17Z,CN=*.google.com,*.google.com,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,dae25a43a6936128ed1b8afa4c2d653b,d9400a529522e19c31ee576709e351b1773254f9bfac91a668c893a61999d5fa,True,ctls,fonts.google.com,,443,https://fonts.google.com:443,https,ESF,text/html,GET,142.250.185.174,/,-925503223,2a00:1450:4001:80e::200e,HTTP/3,1,False,,,,http:,,
https://fonts.googleapis.com,Error 404 (Not Found)!!1,404,1607,fonts.googleapis.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-10T08:21:11Z,2023-10-02T08:21:10Z,CN=upload.video.google.com,upload.video.google.com,bg-call-donation-dev.goog,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,cfdd2a66ea8991c3f2f91f40dc09979d,7d05a79814e48a6c7c101d22747c11252dd8bf06349505306f205a97d0a1ca85,True,ctls,fonts.googleapis.com,,443,https://fonts.googleapis.com:443,https,ESF,text/html,GET,142.250.186.106,/,-606046040,2a00:1450:4001:806::200a,HTTP/3,1,False,,,,,,
intigriti.com,Intigriti - Bug Bounty & Agile Pentesting Platform,200,271144,www.intigriti.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-07-22T18:55:03Z,2023-10-20T18:55:02Z,CN=www.intigriti.com,www.intigriti.com,www.intigriti.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,d83783404edaa9403d62d6bf7e497c13,9fa9dd147c836d0e500e412b4410ba3fab881b1cc9a87496d9062fb3222f5fcc,,ctls,www.intigriti.com,,80,http://intigriti.com:80,http,Vercel,text/html,GET,76.76.21.21,/,1180620370,76.76.21.21,Vercel,1,False,,,,https://www.datocms-assets.com,https://www.intigriti.com/,
intigriti.me,Intigriti - Bug Bounty & Agile Pentesting Platform,200,271144,www.intigriti.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-07-22T18:55:03Z,2023-10-20T18:55:02Z,CN=www.intigriti.com,www.intigriti.com,www.intigriti.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,d83783404edaa9403d62d6bf7e497c13,9fa9dd147c836d0e500e412b4410ba3fab881b1cc9a87496d9062fb3222f5fcc,,ctls,www.intigriti.com,cloudfront,443,https://intigriti.me:443,https,Vercel,text/html,GET,108.138.7.19,/,1911286335,108.138.7.68,Vercel,1,False,True,,,https://www.datocms-assets.com,https://www.intigriti.com,
