new,host,a,soa,status_code,cdn,cdn-name,cname,caa,txt,aaaa,mx,ns
,communication-demo.intigriti.com,"18.66.112.37, 18.66.112.83, 18.66.112.5, 18.66.112.56","ns-515.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,communication-stage.intigriti.com,"18.66.112.56, 18.66.112.5, 18.66.112.83, 18.66.112.37","ns-515.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,communication-uat.intigriti.com,,"ns-515.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,communication.intigriti.com,,"ns-515.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,enterpriseenrollment.intigriti.com,52.236.189.96,"ns1-201.azure-dns.com, msnhst.microsoft.com, ns1-07.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,,,"enterpriseenrollment.manage.microsoft.com, manage-pe.trafficmanager.net, pexsucpeu02.westeurope.cloudapp.azure.com, pexsucpeu01.northeurope.cloudapp.azure.com, pexsucpeu03.swedencentral.cloudapp.azure.com",,,,,
,enterpriseregistration.intigriti.com,"40.126.32.129, 40.126.32.6, 40.126.32.131, 40.126.32.66","internal.akadns.net, hostmaster.akamai.com",NOERROR,True,azure,"enterpriseregistration.windows.net, adrs.privatelink.msidentity.com, www.tm.prd.adrs.akadns.net, na.privatelink.msidentity.com, prdf.aadg.msidentity.com, www.tm.f.prd.aadg.akadns.net",,,"2603:1027:1:148::b, 2603:1026:3000:150::2, 2603:1026:3000:150::3, 2603:1027:1:158::7",,
,go.intigriti.com,52.72.49.79,"ns-515.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,,,,letsencrypt.org,,,,
,jobs-demo.intigriti.com,"108.138.7.28, 108.138.7.34, 108.138.7.48, 108.138.7.24","ns-515.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,jobs-stage.intigriti.com,"52.222.149.109, 52.222.149.35, 52.222.149.95, 52.222.149.28","ns-515.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,jobs-uat.intigriti.com,"52.222.149.35, 52.222.149.95, 52.222.149.28, 52.222.149.109","ns-515.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,kb.intigriti.com,,"ns-515.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,login-demo.intigriti.com,"18.155.129.6, 18.155.129.123, 18.155.129.126, 18.155.129.107","ns-515.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,login-uat.intigriti.com,"99.86.4.79, 99.86.4.117, 99.86.4.44, 99.86.4.128","ns-515.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,login.intigriti.com,"99.86.4.44, 99.86.4.128, 99.86.4.79, 99.86.4.117","ns-515.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,mail.intigriti.com,"199.60.103.227, 199.60.103.29","jerry.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,"7473434.group34.sites.hubspot.net, group34.sites.hscoscdn30.net",,,"2606:2c40::c73c:67e3, 2606:2c40::c73c:671d",,
,mail1.intigriti.me,35.205.170.110,"ns-124.awsdns-15.com, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,
,mail1.test.intigriti.me,34.77.70.208,"ns-124.awsdns-15.com, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,"heritage=external-dns,external-dns/owner=default,external-dns/resource=service/mail-forwarder/mail1",,,
,mail2.intigriti.me,35.189.246.54,"ns-124.awsdns-15.com, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,
,mail2.test.intigriti.me,35.205.205.140,"ns-124.awsdns-15.com, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,"heritage=external-dns,external-dns/owner=default,external-dns/resource=service/mail-forwarder/mail2",,,
,mta-sts.intigriti.com,"99.86.91.45, 99.86.91.97, 99.86.91.80, 99.86.91.112","ns-515.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,payments.intigriti.com,,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,u2306935.wl186.sendgrid.net,,v=spf1 ip4:159.183.223.14 ip4:167.89.105.42 -all,,mx.sendgrid.net,
,status.intigriti.com,"52.14.73.211, 3.136.110.218","ns-1918.awsdns-47.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,cname.uptime.com,,,,,
,swag.intigriti.com,23.227.38.74,"ns1.dnsimple.com, admin.dnsimple.com, dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,shops.myshopify.com,"digicert.com, globalsign.com, letsencrypt.org",,,,
,t.intigriti.com,"54.147.61.87, 52.54.201.11, 54.144.52.150","ns-834.awsdns-40.net, awsdns-hostmaster.amazon.com",NOERROR,,,custom-tracking.salesloft.com,,,,,"ns-1248.awsdns-28.org, ns-1651.awsdns-14.co.uk, ns-482.awsdns-60.com, ns-834.awsdns-40.net"
,trust.intigriti.com,,"austin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,6095b20d8041cfc51601b06b.cname.vantatrust.com,,,,,
,www-demo.intigriti.com,,"ns-515.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,www-stage.intigriti.com,,"ns-515.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,www.intigriti.com,"76.76.21.93, 76.76.21.123","dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,cname.vercel-dns.com,"letsencrypt.org, globalsign.com, sectigo.com",,,,
