new,host,a,cname,soa,ns,txt,status_code,mx,has_internal_ips,internal_ips,cdn,cdn-name
[x],tx2p130c-ios-2-0.mobile-sdk-api.intercom.io,,,"ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,
[x],uegli0cw-ios-2-2-1.mobile-sdk-api.intercom.io,"54.85.18.248, 44.199.73.192",,"ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,
[x],uf6i4339-android.mobile-sdk-api.intercom.io,"54.85.18.248, 44.199.73.192",,"ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,
[x],viruslib-ifepaosc-android.mobile-sdk-api.intercom.io,"44.199.73.192, 54.85.18.248",,"ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,
[x],virusy53em61-ios-3-0-1.mobile-sdk-api.intercom.io,,,"ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,
[x],vsaq.intercom.io,,,"ns-97.awsdns-12.com, awsdns-hostmaster.amazon.com",,,NOERROR,,,,True,cloudfront
[x],vy53em61-ios-3-0.mobile-sdk-api.intercom.io,"54.85.18.248, 44.199.73.192",,"ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,
[x],wb1whb4b-ios-3-1-0.mobile-sdk-api.intercom.io,"54.85.18.248, 44.199.73.192",,"ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,
[x],wb1whb4b-ios-3-2-0.mobile-sdk-api.intercom.io,"44.199.73.192, 54.85.18.248",,"ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,
[x],wb1whb4b-ios-3-4-0.mobile-sdk-api.intercom.io,"54.85.18.248, 44.199.73.192",,"ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,
[x],wb1whb4b-ios-3-4-1.mobile-sdk-api.intercom.io,"44.199.73.192, 54.85.18.248",,"ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,
[x],wh6jbuql-android-1-1-0-0.mobile-sdk-api.intercom.io,"44.199.73.192, 54.85.18.248",,"ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,
[x],www.affiliate-m8sdhldi-ios-7-9-0.mobile-sdk-api.intercom.io,"54.85.18.248, 44.199.73.192",,"ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,
[x],www.intercom.io,"52.222.214.34, 52.222.214.95, 52.222.214.17, 52.222.214.20",,"ns-97.awsdns-12.com, awsdns-hostmaster.amazon.com",,d38xc8nflzxfm6.cloudfront.net,NOERROR,,,,True,cloudfront
[x],www.virusy53em61-ios-3-0-1.mobile-sdk-api.intercom.io,,,"ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,
[x],x8o64ufr-android-1-1-3-0-0.mobile-sdk-api.intercom.io,,,"ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,
[x],x8o64ufr-android-2-9-5-1.mobile-sdk-api.intercom.io,"54.85.18.248, 44.199.73.192",,"ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,
[x],x8o64ufr-android-2-9-7-1.mobile-sdk-api.intercom.io,"54.85.18.248, 44.199.73.192",,"ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,
[x],x8o64ufr-android-3-7-1.mobile-sdk-api.intercom.io,"54.85.18.248, 44.199.73.192",,"ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,
[x],x8o64ufr-android-7-1-0-0.mobile-sdk-api.intercom.io,"54.85.18.248, 44.199.73.192",,"ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,
[x],x8o64ufr-android-7-3-0-0.mobile-sdk-api.intercom.io,"44.199.73.192, 54.85.18.248",,"ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,
[x],x8o64ufr-android-7-7-0-0.mobile-sdk-api.intercom.io,"44.199.73.192, 54.85.18.248",,"ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,
[x],x8o64ufr-android.mobile-sdk-api.intercom.io,"54.85.18.248, 44.199.73.192",,"ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,
[x],x8o64ufr-ios-113-0-0.mobile-sdk-api.intercom.io,"54.85.18.248, 44.199.73.192",,"ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,
[x],x8o64ufr-ios-146-0-0.mobile-sdk-api.intercom.io,"54.85.18.248, 44.199.73.192",,"ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,
[x],x8o64ufr-ios-59-0-0.mobile-sdk-api.intercom.io,"54.85.18.248, 44.199.73.192",,"ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,
[x],x8o64ufr-ios-60-0-0.mobile-sdk-api.intercom.io,"54.85.18.248, 44.199.73.192",,"ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,
[x],x8o64ufr-ios-65-0-0.mobile-sdk-api.intercom.io,"54.85.18.248, 44.199.73.192",,"ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,
[x],x8o64ufr-ios-69-0-0.mobile-sdk-api.intercom.io,"44.199.73.192, 54.85.18.248",,"ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,
[x],x8o64ufr-ios-79-0-0.mobile-sdk-api.intercom.io,"44.199.73.192, 54.85.18.248",,"ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,
[x],x8o64ufr-ios-85-0-0.mobile-sdk-api.intercom.io,"44.199.73.192, 54.85.18.248",,"ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,
[x],xawv0n6r-ios-10-1.mobile-sdk-api.intercom.io,"54.85.18.248, 44.199.73.192",,"ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com","ns-1156.awsdns-16.org, ns-1896.awsdns-45.co.uk, ns-25.awsdns-03.com, ns-945.awsdns-54.net",,NOERROR,,,,,
[x],xf58euqd-android-0-1-2-6-0.mobile-sdk-api.intercom.io,"44.199.73.192, 54.85.18.248",,"ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,
[x],yhisve4w-android.mobile-sdk-api.intercom.io,"44.199.73.192, 54.85.18.248",,"ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,
[x],z08qgmx4-android-1-3-1-1.mobile-sdk-api.intercom.io,"54.85.18.248, 44.199.73.192",,"ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,
[x],z6a86tef-ios-7-1-0.mobile-sdk-api.intercom.io,"54.85.18.248, 44.199.73.192",,"ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,
[x],z6a86tef-ios-7-5-0.mobile-sdk-api.intercom.io,"44.199.73.192, 54.85.18.248",,"ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,
[x],zdotpjus-android.mobile-sdk-api.intercom.io,"44.199.73.192, 54.85.18.248",,"ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,
[x],zendesk.intercom.io,"34.205.233.112, 44.215.29.207",,"ns-97.awsdns-12.com, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,
[x],zorz11ml-ios-1-16-0.mobile-sdk-api.intercom.io,"44.199.73.192, 54.85.18.248",,"ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,
[x],zorz11ml-ios-1-25-0.mobile-sdk-api.intercom.io,"44.199.73.192, 54.85.18.248",,"ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,
[x],zorz11ml-ios-1-29-0.mobile-sdk-api.intercom.io,"54.85.18.248, 44.199.73.192",,"ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,
[x],zorz11ml-ios-1-33-0.mobile-sdk-api.intercom.io,"54.85.18.248, 44.199.73.192",,"ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,
[x],ztawwxuu-android.mobile-sdk-api.intercom.io,"54.85.18.248, 44.199.73.192",,"ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,
[x],ztawwxuu-ios.mobile-sdk-api.intercom.io,"44.199.73.192, 54.85.18.248",,"ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,
,app.mobile-sdk-api.intercom.io,"44.199.73.192, 54.85.18.248",,"ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,
