input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_wildcard_certificate,csp_domains_,tls_mismatched,final_url,tls_expired,tls_self_signed,location
ami.epam.com,EPAM Connect - Everything you need in one app,200,273,ami.epam.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-07-20T00:00:00Z,2024-07-20T23:59:59Z,"CN=ami.epam.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",ami.epam.com,Microsoft Corporation,ami.epam.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,6c0f9f774c66f3b486aec0bbaaff9857,919c8da97718701c542539fd30acccb507bbeb39f5cacdf583669f5d2e9d404f,ctls,ami.epam.com,,443,https://ami.epam.com:443,https,,text/html,GET,13.107.246.45,/,238669232,2620:1ec:46::63,HSTS,13,False,,,url=https://connect.epam.com,,,,,
anywhere-referral.epam.com,Refer IT talent and get paid | Anywhere Referral,200,100477,anywhere-referral.epam.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-31T00:00:00Z,2024-08-28T23:59:59Z,CN=*.anywhere-referral.epam.com,*.anywhere-referral.epam.com,,anywhere-referral.epam.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,6aedf67aedbc1e057f0879570d2c521b,971d6eff7776b928a78d1848ce8eb0ef82723e3f4eb12f678d9ed82fabd7fcc7,ctls,anywhere-referral.epam.com,cloudfront,443,https://anywhere-referral.epam.com:443,https,CloudFront,text/html,GET,52.222.250.174,/,140002855,52.222.250.119,webpack,9,False,True,True,*.sumologic.com,,,,,
anywhere.epam.com,EPAM Anywhere,200,430396,anywhere.epam.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-28T00:00:00Z,2023-12-27T23:59:59Z,CN=anywhere.epam.com,anywhere.epam.com,,anywhere.epam.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,4e17ee231d176d24a7f3c083968e809d,cc9c3b253d7e1c6000a6cc44d3e57dd80d32e9224f8137dee21ea5af92809e0b,ctls,anywhere.epam.com,cloudfront,443,https://anywhere.epam.com:443,https,CloudFront,text/html,GET,18.65.39.89,/,273778791,18.65.39.119,webpack,29,False,True,,*.gstatic.com,,https://anywhere.epam.com/en,,,
apex.lab.epam.com,Apex,200,1706,apex.lab.epam.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2023-10-22T23:59:59Z,CN=*.lab.epam.com,*.lab.epam.com,,*.lab.epam.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,49532342e01a3eea6eb93207b211d802,f4b5990383cac144847102b727b532294d5d535b2fc5a8272c788eaa00007ce7,ctls,apex.lab.epam.com,,80,http://apex.lab.epam.com:80,http,envoy,text/html,GET,52.206.151.43,/,-1654974418,34.204.114.239,React,44,False,,True,,,https://apex.lab.epam.com:443/,,,
api-qa.connect.epam.com,,403,16,api-qa.connect.epam.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-18T00:00:00Z,2024-07-16T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",api-qa.connect.epam.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",2616f409be4b424d0d19dcc752aea988,746122488d76342a71835373d751dcb889d7222724a4e44ca451b31313593362,ctls,api-qa.connect.epam.com,cloudflare,443,https://api-qa.connect.epam.com:443,https,cloudflare,text/plain,GET,104.18.12.91,/,1253481126,2606:4700::6812:d5b,HTTP/3,1,False,True,,,,,,,
api.connect.epam.com,Back to EPAM Connect app,200,3016,api.connect.epam.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-04T00:00:00Z,2024-04-03T23:59:59Z,CN=api.connect.epam.com,api.connect.epam.com,,www.api.connect.epam.com,"CN=ZeroSSL RSA Domain Secure Site CA, O=ZeroSSL, C=AT",ZeroSSL RSA Domain Secure Site CA,ZeroSSL,7f363e7134e3f5d6bd12a4d19e915742,57ebe9db2562d601bdf6ae7814868295e29e46372830e51efbfb8a30f3e782e6,ctls,api.connect.epam.com,azure,443,https://api.connect.epam.com:443,https,nginx,text/html,GET,13.93.34.61,/,-335384448,13.93.34.61,Nginx,110,False,True,,,,,,,
api.dev.epmp-aos.projects.epam.com,AosEdge – Open Functions Management System,200,4368,api.dev.epmp-aos.projects.epam.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-19T08:41:43Z,2023-08-19T08:41:43Z,CN=*.dev.epmp-aos.projects.epam.com,*.dev.epmp-aos.projects.epam.com,,dev.epmp-aos.projects.epam.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",147430e2da898afb03b61c542d117c09,858ecd26547223e7aa3974f0155ca52d756e684d1a42bbc0126c43fa0c758498,ctls,api.dev.epmp-aos.projects.epam.com,,443,https://api.dev.epmp-aos.projects.epam.com:443,https,-,text/html,GET,20.126.209.112,/,1494302000,20.126.209.112,HSTS,22,False,,True,*.dev.epmp-aos.projects.epam.com:*,,,,,
api.epam.com,api.epam.com - programmable EPAM,200,28220,api.epam.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-22T00:00:00Z,2023-12-21T23:59:59Z,CN=api.epam.com,api.epam.com,,api.epam.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,297302590726e54ad0021a9a18018cfb,1e149db3a225ff3e8a53914a3dfc3a9f239d68eee9a5b78d7c1a24e427ebd914,ctls,api.epam.com,cloudfront,443,https://api.epam.com:443,https,AmazonS3,text/html,GET,13.225.78.49,/,207847866,13.225.78.14,HSTS,4,False,True,,api.epam.com,,,,,
api.opportunities.epam.com,,404,23,api.opportunities.epam.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2024-02-22T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",api.opportunities.epam.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",a68bef376b4d1471925040c5156d7f52,1e547ed8addb50e66bfe42e64b51ff776e7c4d1d46a09a9d371bc7058379f4ab,ctls,api.opportunities.epam.com,cloudflare,443,https://api.opportunities.epam.com:443,https,cloudflare,application/json,GET,104.18.12.91,/,631524574,2606:4700::6812:d5b,HTTP/3,1,False,True,,,,,,,
api.stage.epmp-aos.projects.epam.com,AosEdge – Open Functions Management System,200,4368,api.stage.epmp-aos.projects.epam.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-19T08:50:51Z,2023-08-19T08:50:51Z,CN=*.stage.epmp-aos.projects.epam.com,*.stage.epmp-aos.projects.epam.com,,stage.epmp-aos.projects.epam.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",5c09b001934801f863d5cb67812900e1,b3a7bdee9f45fe02b15661581bfa2854f5604dd64856da250872e1042f27f293,ctls,api.stage.epmp-aos.projects.epam.com,,443,https://api.stage.epmp-aos.projects.epam.com:443,https,-,text/html,GET,20.101.29.52,/,1494302000,20.101.29.52,HSTS,22,False,,True,*.stage.epmp-aos.projects.epam.com:*,,,,,
api.videoportal.epam.com,"An Error Occurred: No route found for ""GET https://api.videoportal.epam.com/""",404,6280,api.videoportal.epam.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-23T00:00:00Z,2024-03-21T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",api.videoportal.epam.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",07abcad497732343063e04ba24398b7a,3a7d12c678cce10c41d512077ee9f6f648d9f6a9eb43dcb76308f5ab01b8a3a5,ctls,api.videoportal.epam.com,cloudflare,443,https://api.videoportal.epam.com:443,https,cloudflare,text/html,GET,104.18.20.23,/,855951512,2606:4700::6812:1517,PHP,72,False,True,,,,,,,
apm-cluster12.cloudapp.epam.com,,200,,apm-cluster12.cloudapp.epam.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-17T08:05:33Z,2023-11-15T15:06:02Z,CN=*.cloudapp.epam.com,*.cloudapp.epam.com,,cloudapp.epam.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",4ce5a0a5658b2642063487e327f98928,71a970837c2abd5bc35ce21d4508e5ffa4dbb73aec7026d37e008e0b0826dd86,ctls,apm-cluster12.cloudapp.epam.com,google,443,https://apm-cluster12.cloudapp.epam.com:443,https,,,GET,34.36.124.10,/,722737114,34.36.124.10,HTTP/3,1,False,True,True,,,,,,
apm-cluster6.cloudapp.epam.com,,200,,apm-cluster6.cloudapp.epam.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-17T08:05:33Z,2023-11-15T15:06:02Z,CN=*.cloudapp.epam.com,*.cloudapp.epam.com,,cloudapp.epam.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",4ce5a0a5658b2642063487e327f98928,71a970837c2abd5bc35ce21d4508e5ffa4dbb73aec7026d37e008e0b0826dd86,ctls,apm-cluster6.cloudapp.epam.com,google,443,https://apm-cluster6.cloudapp.epam.com:443,https,,,GET,34.36.124.10,/,722737114,34.36.124.10,HTTP/3,1,False,True,True,,,,,,
asmt.epam.com,Error,400,16492,access.epam.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-17T07:26:42Z,2023-09-15T07:26:41Z,CN=access.epam.com,access.epam.com,,access.epam.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,ffaf61f780c64ded4d3062e8bb6b4f4e,b405f5e06bbf5dc375348bce1add75eb81b61a44512147faa6c4b0c4f3675689,ctls,access.epam.com,cloudflare,80,http://asmt.epam.com:80,http,cloudflare,text/html,GET,104.18.8.37,/,-2132869292,2606:4700::6812:925,HTTP/3,355,False,True,True,*.googleapis.com,,https://access.epam.com/auth/realms/plusx/broker/epam-microsoft/login?session_code=QNRdGucLBDBTpHut-7pPZn1bbDmK8rm6nmYhPnr7Yjc&client_id=oauth-client.epm-eag.ztna.prod&tab_id=8z4gZ8hrSRo,,,
assist.epam.com,Error,400,16492,access.epam.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-17T07:26:42Z,2023-09-15T07:26:41Z,CN=access.epam.com,access.epam.com,,access.epam.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,ffaf61f780c64ded4d3062e8bb6b4f4e,b405f5e06bbf5dc375348bce1add75eb81b61a44512147faa6c4b0c4f3675689,ctls,access.epam.com,cloudflare,443,https://assist.epam.com:443,https,cloudflare,text/html,GET,104.18.12.91,/,1613988629,2606:4700::6812:d5b,HTTP/3,355,False,True,True,https://*.mtcaptcha.com,,https://access.epam.com/auth/realms/plusx/broker/epam-microsoft/login?session_code=Q5syYPWy7KVUlgBFIXXU6Bznlj1-t4PrFR2LbXMpYHI&client_id=oauth-client.epm-eag.ztna.prod&tab_id=TuPnb-jXxn0,,,
auth.crm.epam.com,Error,400,16565,access.epam.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-17T07:26:42Z,2023-09-15T07:26:41Z,CN=access.epam.com,access.epam.com,,access.epam.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,ffaf61f780c64ded4d3062e8bb6b4f4e,b405f5e06bbf5dc375348bce1add75eb81b61a44512147faa6c4b0c4f3675689,ctls,access.epam.com,cloudflare,443,https://auth.crm.epam.com:443,https,cloudflare,text/html,GET,104.18.6.36,/,-386835212,2606:4700::6812:724,HTTP/3,356,False,True,True,fonts.googleapis.com,,https://access.epam.com/auth/realms/plusx/protocol/openid-connect/auth?state=EIpAW6I07T1ZPJQueLbE3ajnSkN2NyWhMvWc4IyCn2GUPcGlFMErgS5VElGtQaRQ-SAEh7SPC9ULtM6xw8CY6wz7nVOhCaJ-ceFHIs5Q8UE_Izf1VXpTfoeOrcKMyT-b0BQSsg==&response_type=code&client_id=oauth-client.epm-eag.ztna.prod&redirect_uri=https%3A%2F%2Fauth.crm.epam.com%2Fztna-callback&target_client_id=oauth-client.epm-crm.crm-client.prod,,,
auth.stageaz.epm-crm.projects.epam.com,,403,16,auth.stageaz.epm-crm.projects.epam.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-11T00:00:00Z,2024-06-10T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",22fbd7c8cc13ba363193a707270bcb4e,afde38943615a81a7c0cef503a43e8c17b76e5db0bbd6a4bc0a516a84048d4cb,ctls,auth.stageaz.epm-crm.projects.epam.com,cloudflare,443,https://auth.stageaz.epm-crm.projects.epam.com:443,https,cloudflare,text/plain,GET,104.18.12.91,/,1253481126,2606:4700::6812:d5b,HTTP/3,1,False,True,,,,,,,
autocode-next.lab.epam.com,Autocode: Ultimate automation for your coding assignments,200,2316,autocode-next.lab.epam.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-02T00:00:00Z,2024-03-01T23:59:59Z,CN=*.lab.epam.com,*.lab.epam.com,,lab.epam.com,"CN=ZeroSSL RSA Domain Secure Site CA, O=ZeroSSL, C=AT",ZeroSSL RSA Domain Secure Site CA,ZeroSSL,c2be33e51a4512f3b53dd884d35921cc,6e64a26e3a97c71bf050e36c853a67dff87f2b23157f57b946ffe9204ef44eea,ctls,autocode-next.lab.epam.com,cloudfront,80,http://autocode-next.lab.epam.com:80,http,nginx,text/html,GET,108.139.243.17,/,-17174987,108.139.243.68,Nginx,1,False,True,True,https://*.thoughtindustries.com,,https://autocode-next.lab.epam.com/,,,
autocode.lab.epam.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,cloudfront,80,http://autocode.lab.epam.com:80,http,CloudFront,text/html,GET,18.65.39.65,/,-1337122339,18.65.39.127,Amazon Web Services,20,False,True,,,,,,,
autoint.epam.com,,200,2,autoint.epam.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-20T00:00:00Z,2024-02-19T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",autoint.epam.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",1bd7b67809c632cb7e979e580cafb9f8,ad0cb915e0b793b72fca0f2ae10a2fa0debc8a7e7a8bb643710a54670d9c51d6,ctls,autoint.epam.com,cloudflare,443,https://autoint.epam.com:443,https,cloudflare,application/json,GET,104.18.12.91,/,-1295196367,2606:4700::6812:d5b,HTTP/3,1,False,True,,https://*.epam.com,,,,,
benefits.epam.com,Error,400,16492,access.epam.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-17T07:26:42Z,2023-09-15T07:26:41Z,CN=access.epam.com,access.epam.com,,access.epam.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,ffaf61f780c64ded4d3062e8bb6b4f4e,b405f5e06bbf5dc375348bce1add75eb81b61a44512147faa6c4b0c4f3675689,ctls,access.epam.com,cloudflare,443,https://benefits.epam.com:443,https,cloudflare,text/html,GET,104.18.12.91,/,1613988629,2606:4700::6812:d5b,HTTP/3,355,False,True,True,*.google.com,,https://access.epam.com/auth/realms/plusx/broker/epam-microsoft/login?session_code=GTDmnemmWxLcNTb6YeszQLOakNDuAVdzDsWgXp3YDHU&client_id=oauth-client.epm-eag.ztna.prod&tab_id=7JnhVsOAwzc,,,
billing.epam.com,,403,16,billing.epam.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-30T00:00:00Z,2024-03-28T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",cd2005c610b3f3c557fff5d14150a6dd,89dc2ba7e41cf5ba68a2ddaa7aded858aa7a6b99fe7702811a4b287226006ee6,ctls,billing.epam.com,cloudflare,443,https://billing.epam.com:443,https,cloudflare,text/plain,GET,104.18.24.148,/,1253481126,2606:4700::6812:1994,HTTP/3,1,False,True,,,,,,,
blackbook.epam.com,Error,400,16348,access.epam.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-17T07:26:42Z,2023-09-15T07:26:41Z,CN=access.epam.com,access.epam.com,,access.epam.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,ffaf61f780c64ded4d3062e8bb6b4f4e,b405f5e06bbf5dc375348bce1add75eb81b61a44512147faa6c4b0c4f3675689,ctls,access.epam.com,cloudflare,443,https://blackbook.epam.com:443,https,cloudflare,text/html,GET,104.18.2.19,/,-1466822297,2606:4700::6812:313,HTTP/3,355,False,True,True,https://*.opswat.com,,https://access.epam.com/auth/realms/plusx/broker/epam-microsoft/login?session_code=-rJJZV7-e_zUjLlNM4jgmYTY5I_abtmtaZLyVEO5rYc&client_id=oauth-client.epm-bbw&tab_id=mpf9ilSTIZ0,,,
